#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647285,28801052,BH789_gp002,BH789_gp002,GMA6_2,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20201221,-
1647285,28801123,BH789_gp073,BH789_gp073,GMA6_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801124,BH789_gp074,BH789_gp074,GMA6_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801125,BH789_gp075,BH789_gp075,GMA6_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801126,BH789_gp076,BH789_gp076,GMA6_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801127,BH789_gp077,BH789_gp077,GMA6_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801128,BH789_gp078,BH789_gp078,GMA6_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801129,BH789_gp079,BH789_gp079,GMA6_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801130,BH789_gp080,BH789_gp080,GMA6_80,-,-,-,putative DNA polymerase III alpha subunit,protein-coding,-,-,-,putative DNA polymerase III alpha subunit,20201221,-
1647285,28801131,BH789_gp081,BH789_gp081,GMA6_81,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20201221,-
1647285,28801132,BH789_gp082,BH789_gp082,GMA6_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801133,BH789_gp083,BH789_gp083,GMA6_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801134,BH789_gp084,BH789_gp084,GMA6_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801135,BH789_gp085,BH789_gp085,GMA6_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801136,BH789_gp086,BH789_gp086,GMA6_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801137,BH789_gp087,BH789_gp087,GMA6_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801138,BH789_gp088,BH789_gp088,GMA6_88,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20201221,-
1647285,28801139,BH789_gp089,BH789_gp089,GMA6_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801140,BH789_gp090,BH789_gp090,GMA6_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801141,BH789_gp091,BH789_gp091,GMA6_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801142,BH789_gp092,BH789_gp092,GMA6_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801143,BH789_gp093,BH789_gp093,GMA6_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801144,BH789_gp094,BH789_gp094,GMA6_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801145,BH789_gp095,BH789_gp095,GMA6_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801146,BH789_gp096,BH789_gp096,GMA6_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801147,BH789_gp097,BH789_gp097,GMA6_97,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20201221,-
1647285,28801148,BH789_gp098,BH789_gp098,GMA6_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801149,BH789_gp099,BH789_gp099,GMA6_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801150,BH789_gp100,BH789_gp100,GMA6_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801151,BH789_gp101,BH789_gp101,GMA6_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801152,BH789_gp102,BH789_gp102,GMA6_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801153,BH789_gp103,BH789_gp103,GMA6_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801154,BH789_gp104,BH789_gp104,GMA6_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801155,BH789_gp105,BH789_gp105,GMA6_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801156,BH789_gp106,BH789_gp106,GMA6_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801157,BH789_gp107,BH789_gp107,GMA6_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801158,BH789_gp108,BH789_gp108,GMA6_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801159,BH789_gp109,BH789_gp109,GMA6_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801160,BH789_gp110,BH789_gp110,GMA6_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801161,BH789_gp111,BH789_gp111,GMA6_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801162,BH789_gp112,BH789_gp112,GMA6_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801163,BH789_gp113,BH789_gp113,GMA6_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801164,BH789_gp114,BH789_gp114,GMA6_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801165,BH789_gp115,BH789_gp115,GMA6_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,28801166,BH789_gp001,BH789_gp001,GMA6_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647285,29122319,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
