#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182408,55608264,2,HWB61_gp02,SEA_FLOWERPOWER_2,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2182408,55608279,17,HWB61_gt04,SEA_FLOWERPOWER_17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608280,18,HWB61_gt05,SEA_FLOWERPOWER_18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608281,19,HWB61_gt06,SEA_FLOWERPOWER_19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608282,20,HWB61_gt07,SEA_FLOWERPOWER_20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608283,21,HWB61_gt08,SEA_FLOWERPOWER_21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608284,22,HWB61_gt09,SEA_FLOWERPOWER_22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608285,23,HWB61_gt10,SEA_FLOWERPOWER_23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608286,24,HWB61_gt11,SEA_FLOWERPOWER_24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608287,25,HWB61_gt12,SEA_FLOWERPOWER_25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608288,26,HWB61_gt13,SEA_FLOWERPOWER_26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608289,27,HWB61_gt14,SEA_FLOWERPOWER_27,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608290,28,HWB61_gt15,SEA_FLOWERPOWER_28,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608291,29,HWB61_gt16,SEA_FLOWERPOWER_29,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608292,30,HWB61_gt17,SEA_FLOWERPOWER_30,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608293,31,HWB61_gt18,SEA_FLOWERPOWER_31,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608294,32,HWB61_gt19,SEA_FLOWERPOWER_32,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608295,33,HWB61_gt20,SEA_FLOWERPOWER_33,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608296,34,HWB61_gt21,SEA_FLOWERPOWER_34,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182408,55608297,35,HWB61_gp66,SEA_FLOWERPOWER_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608298,1,HWB61_gp01,SEA_FLOWERPOWER_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2182408,55608299,36,HWB61_gp65,SEA_FLOWERPOWER_36,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2182408,55608300,37,HWB61_gp64,SEA_FLOWERPOWER_37,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200620,-
2182408,55608301,38,HWB61_gp63,SEA_FLOWERPOWER_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608302,39,HWB61_gp62,SEA_FLOWERPOWER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608303,40,HWB61_gp61,SEA_FLOWERPOWER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608304,41,HWB61_gp60,SEA_FLOWERPOWER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608305,42,HWB61_gp59,SEA_FLOWERPOWER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608306,43,HWB61_gp58,SEA_FLOWERPOWER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608307,44,HWB61_gp57,SEA_FLOWERPOWER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608308,45,HWB61_gp56,SEA_FLOWERPOWER_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608309,46,HWB61_gp55,SEA_FLOWERPOWER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608310,47,HWB61_gp54,SEA_FLOWERPOWER_47,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2182408,55608311,48,HWB61_gp53,SEA_FLOWERPOWER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608312,49,HWB61_gp52,SEA_FLOWERPOWER_49,-,-,-,holin,protein-coding,-,-,-,holin,20200620,-
2182408,55608313,50,HWB61_gp51,SEA_FLOWERPOWER_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608314,51,HWB61_gp50,SEA_FLOWERPOWER_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608315,52,HWB61_gp49,SEA_FLOWERPOWER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608316,53,HWB61_gp48,SEA_FLOWERPOWER_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182408,55608317,54,HWB61_gp47,SEA_FLOWERPOWER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608318,55,HWB61_gp46,SEA_FLOWERPOWER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608319,56,HWB61_gp45,SEA_FLOWERPOWER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608320,57,HWB61_gp44,SEA_FLOWERPOWER_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2182408,55608321,58,HWB61_gp43,SEA_FLOWERPOWER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608322,59,HWB61_gp42,SEA_FLOWERPOWER_59,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210424,-
2182408,55608323,60,HWB61_gp41,SEA_FLOWERPOWER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608324,61,HWB61_gp40,SEA_FLOWERPOWER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608325,62,HWB61_gp39,SEA_FLOWERPOWER_62,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2182408,55608326,63,HWB61_gp38,SEA_FLOWERPOWER_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200620,-
2182408,55608327,64,HWB61_gp37,SEA_FLOWERPOWER_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2182408,55608328,65,HWB61_gp36,SEA_FLOWERPOWER_65,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200620,-
2182408,55608329,66,HWB61_gp35,SEA_FLOWERPOWER_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200919,-
2182408,55608330,67,HWB61_gp34,SEA_FLOWERPOWER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608331,68,HWB61_gp33,SEA_FLOWERPOWER_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608332,69,HWB61_gp32,SEA_FLOWERPOWER_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608333,70,HWB61_gp31,SEA_FLOWERPOWER_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608334,71,HWB61_gp30,SEA_FLOWERPOWER_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608335,72,HWB61_gp29,SEA_FLOWERPOWER_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608336,73,HWB61_gp28,SEA_FLOWERPOWER_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608337,74,HWB61_gp27,SEA_FLOWERPOWER_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608338,75,HWB61_gp26,SEA_FLOWERPOWER_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608339,76,HWB61_gp25,SEA_FLOWERPOWER_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182408,55608340,77,HWB61_gp24,SEA_FLOWERPOWER_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608341,78,HWB61_gp23,SEA_FLOWERPOWER_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608342,79,HWB61_gp22,SEA_FLOWERPOWER_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608343,80,HWB61_gp21,SEA_FLOWERPOWER_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608344,81,HWB61_gp20,SEA_FLOWERPOWER_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608345,82,HWB61_gp19,SEA_FLOWERPOWER_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608346,83,HWB61_gp18,SEA_FLOWERPOWER_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608347,84,HWB61_gp17,SEA_FLOWERPOWER_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608348,85,HWB61_gp16,SEA_FLOWERPOWER_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608349,86,HWB61_gp15,SEA_FLOWERPOWER_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55608350,87,HWB61_gp14,SEA_FLOWERPOWER_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182408,55635792,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
