#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1732063,26797477,yorK,AXJ01_gp002,SPbetalike_00002,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210424,-
1732063,26797535,AXJ01_gp060,AXJ01_gp060,SPbetalike_00060,-,-,-,SGNH/GDSL hydrolase family protein,protein-coding,-,-,-,SGNH/GDSL hydrolase family protein,20201219,-
1732063,26797536,AXJ01_gp061,AXJ01_gp061,SPbetalike_00061,-,-,-,integrase core domain protein,protein-coding,-,-,-,integrase core domain protein,20201219,-
1732063,26797537,AXJ01_gp062,AXJ01_gp062,SPbetalike_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797538,AXJ01_gp063,AXJ01_gp063,SPbetalike_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1732063,26797539,AXJ01_gp064,AXJ01_gp064,SPbetalike_00064,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201219,-
1732063,26797540,AXJ01_gp065,AXJ01_gp065,SPbetalike_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797541,AXJ01_gp066,AXJ01_gp066,SPbetalike_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797542,AXJ01_gp067,AXJ01_gp067,SPbetalike_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1732063,26797543,AXJ01_gp068,AXJ01_gp068,SPbetalike_00068,-,-,-,LPXTG cell wall anchor domain-containing protein,protein-coding,-,-,-,LPXTG cell wall anchor domain-containing protein,20201219,-
1732063,26797544,AXJ01_gp069,AXJ01_gp069,SPbetalike_00069,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20210129,-
1732063,26797545,AXJ01_gp070,AXJ01_gp070,SPbetalike_00070,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210424,-
1732063,26797546,AXJ01_gp071,AXJ01_gp071,SPbetalike_00071,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201219,-
1732063,26797547,AXJ01_gp072,AXJ01_gp072,SPbetalike_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797548,AXJ01_gp073,AXJ01_gp073,SPbetalike_00073,-,-,-,NTP pyrophosphohydrolase,protein-coding,-,-,-,NTP pyrophosphohydrolase,20201219,-
1732063,26797549,AXJ01_gp074,AXJ01_gp074,SPbetalike_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797550,trxA,AXJ01_gp075,SPbetalike_00075,-,-,-,thioredoxin family protein,protein-coding,-,-,-,thioredoxin family protein,20201219,-
1732063,26797551,AXJ01_gp076,AXJ01_gp076,SPbetalike_00076,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210424,-
1732063,26797552,nrdF,AXJ01_gp077,SPbetalike_00077,-,-,-,class 1b ribonucleoside-diphosphate reductase subunit beta,protein-coding,-,-,-,class 1b ribonucleoside-diphosphate reductase subunit beta,20210424,-
1732063,26797553,AXJ01_gp078,AXJ01_gp078,SPbetalike_00078,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1732063,26797554,nrdE2,AXJ01_gp079,SPbetalike_00079,-,-,-,intein-containing class 1b ribonucleoside-diphosphate reductase subunit alpha,protein-coding,-,-,-,intein-containing class 1b ribonucleoside-diphosphate reductase subunit alpha,20201219,-
1732063,26797555,AXJ01_gp080,AXJ01_gp080,SPbetalike_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797556,AXJ01_gp081,AXJ01_gp081,SPbetalike_00081,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,protein-coding,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,20210417,-
1732063,26797557,AXJ01_gp082,AXJ01_gp082,SPbetalike_00082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797558,AXJ01_gp083,AXJ01_gp083,SPbetalike_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797559,AXJ01_gp084,AXJ01_gp084,SPbetalike_00084,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210417,-
1732063,26797560,AXJ01_gp085,AXJ01_gp085,SPbetalike_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797561,AXJ01_gp086,AXJ01_gp086,SPbetalike_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797562,AXJ01_gp087,AXJ01_gp087,SPbetalike_00087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797563,AXJ01_gp088,AXJ01_gp088,SPbetalike_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797564,hhaIM,AXJ01_gp089,SPbetalike_00089,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201219,-
1732063,26797565,cmoA,AXJ01_gp090,SPbetalike_00090,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210424,-
1732063,26797566,AXJ01_gp091,AXJ01_gp091,SPbetalike_00091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797567,AXJ01_gp092,AXJ01_gp092,SPbetalike_00092,-,-,-,nucleoside 2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside 2-deoxyribosyltransferase,20210424,-
1732063,26797568,AXJ01_gp093,AXJ01_gp093,SPbetalike_00093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797569,AXJ01_gp094,AXJ01_gp094,SPbetalike_00094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797570,AXJ01_gp095,AXJ01_gp095,SPbetalike_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797571,AXJ01_gp096,AXJ01_gp096,SPbetalike_00096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797572,AXJ01_gp097,AXJ01_gp097,SPbetalike_00097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797573,AXJ01_gp098,AXJ01_gp098,SPbetalike_00098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797574,AXJ01_gp099,AXJ01_gp099,SPbetalike_00099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797575,AXJ01_gp100,AXJ01_gp100,SPbetalike_00100,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20201219,-
1732063,26797576,AXJ01_gp101,AXJ01_gp101,SPbetalike_00101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797577,AXJ01_gp102,AXJ01_gp102,SPbetalike_00102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797578,dnaE_1,AXJ01_gp103,SPbetalike_00103,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20201219,-
1732063,26797579,AXJ01_gp104,AXJ01_gp104,SPbetalike_00104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797580,dnaE_2,AXJ01_gp105,SPbetalike_00105,-,-,-,PHP domain-containing protein,protein-coding,-,-,-,PHP domain-containing protein,20201219,-
1732063,26797581,AXJ01_gp106,AXJ01_gp106,SPbetalike_00106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797582,AXJ01_gp107,AXJ01_gp107,SPbetalike_00107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797583,AXJ01_gp108,AXJ01_gp108,SPbetalike_00108,-,-,-,YolD-like family protein,protein-coding,-,-,-,YolD-like family protein,20210424,-
1732063,26797584,AXJ01_gp109,AXJ01_gp109,SPbetalike_00109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797585,AXJ01_gp110,AXJ01_gp110,SPbetalike_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797586,AXJ01_gp111,AXJ01_gp111,SPbetalike_00111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797587,AXJ01_gp112,AXJ01_gp112,SPbetalike_00112,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210129,-
1732063,26797588,AXJ01_gp113,AXJ01_gp113,SPbetalike_00113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797589,AXJ01_gp114,AXJ01_gp114,SPbetalike_00114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797590,AXJ01_gp115,AXJ01_gp115,SPbetalike_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797591,AXJ01_gp116,AXJ01_gp116,SPbetalike_00116,-,-,-,type II toxin-antitoxin system death-on-curing family toxin,protein-coding,-,-,-,type II toxin-antitoxin system death-on-curing family toxin,20210424,-
1732063,26797592,AXJ01_gp117,AXJ01_gp117,SPbetalike_00117,-,-,-,addiction module antitoxin,protein-coding,-,-,-,addiction module antitoxin,20210417,-
1732063,26797593,AXJ01_gp118,AXJ01_gp118,SPbetalike_00118,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201219,-
1732063,26797594,AXJ01_gp119,AXJ01_gp119,SPbetalike_00119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797595,AXJ01_gp120,AXJ01_gp120,SPbetalike_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797596,AXJ01_gp121,AXJ01_gp121,SPbetalike_00121,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201219,-
1732063,26797597,AXJ01_gp122,AXJ01_gp122,SPbetalike_00122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797598,AXJ01_gp123,AXJ01_gp123,SPbetalike_00123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797599,AXJ01_gp124,AXJ01_gp124,SPbetalike_00124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797600,AXJ01_gp125,AXJ01_gp125,SPbetalike_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797601,AXJ01_gp126,AXJ01_gp126,SPbetalike_00126,-,-,-,transcriptional activator RinB,protein-coding,-,-,-,transcriptional activator RinB,20201219,-
1732063,26797602,AXJ01_gp127,AXJ01_gp127,SPbetalike_00127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797603,AXJ01_gp128,AXJ01_gp128,SPbetalike_00128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797604,AXJ01_gp129,AXJ01_gp129,SPbetalike_00129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797605,AXJ01_gp130,AXJ01_gp130,SPbetalike_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797606,AXJ01_gp131,AXJ01_gp131,SPbetalike_00131,-,-,-,Lar family restriction alleviation protein,protein-coding,-,-,-,Lar family restriction alleviation protein,20210417,-
1732063,26797607,AXJ01_gp132,AXJ01_gp132,SPbetalike_00132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797608,AXJ01_gp133,AXJ01_gp133,SPbetalike_00133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797609,AXJ01_gp134,AXJ01_gp134,SPbetalike_00134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797610,AXJ01_gp135,AXJ01_gp135,SPbetalike_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797611,AXJ01_gp136,AXJ01_gp136,SPbetalike_00136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797612,nucH,AXJ01_gp137,SPbetalike_00137,-,-,-,thermonuclease family protein,protein-coding,-,-,-,thermonuclease family protein,20201219,-
1732063,26797613,AXJ01_gp138,AXJ01_gp138,SPbetalike_00138,-,-,-,YopX protein,protein-coding,-,-,-,YopX protein,20210424,-
1732063,26797614,AXJ01_gp139,AXJ01_gp139,SPbetalike_00139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797615,AXJ01_gp140,AXJ01_gp140,SPbetalike_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797616,AXJ01_gp141,AXJ01_gp141,SPbetalike_00141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797617,AXJ01_gp142,AXJ01_gp142,SPbetalike_00142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797618,AXJ01_gp143,AXJ01_gp143,SPbetalike_00143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797619,AXJ01_gp144,AXJ01_gp144,SPbetalike_00144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797620,AXJ01_gp145,AXJ01_gp145,SPbetalike_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1732063,26797621,AXJ01_gp146,AXJ01_gp146,SPbetalike_00146,-,-,-,IS6-like element IS257 family transposase,protein-coding,-,-,-,IS6-like element IS257 family transposase,20210129,-
1732063,26797622,AXJ01_gp147,AXJ01_gp147,SPbetalike_00147,-,-,-,DegV family protein,protein-coding,-,-,-,DegV family protein,20201219,-
1732063,26797623,AXJ01_gp148,AXJ01_gp148,SPbetalike_00148,-,-,-,transposase mutator family,protein-coding,-,-,-,transposase mutator family,20201219,-
1732063,26797624,AXJ01_gp149,AXJ01_gp149,SPbetalike_00149,-,-,-,transposase mutator family,protein-coding,-,-,-,transposase mutator family,20201219,-
1732063,26797625,aacA-aphD,AXJ01_gp150,SPbetalike_00150,-,-,-,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,protein-coding,-,-,-,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,20210123,-
1732063,26797626,AXJ01_gp151,AXJ01_gp151,SPbetalike_00151,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210212,-
1732063,26797627,AXJ01_gp152,AXJ01_gp152,SPbetalike_00152,-,-,-,transposase mutator family,protein-coding,-,-,-,transposase mutator family,20201219,-
1732063,26797628,AXJ01_gp153,AXJ01_gp153,SPbetalike_00153,-,-,-,transposase mutator family,protein-coding,-,-,-,transposase mutator family,20201219,-
1732063,26797629,dfrA,AXJ01_gp154,SPbetalike_00154,-,-,-,trimethoprim-resistant dihydrofolate reductase DfrC,protein-coding,-,-,-,trimethoprim-resistant dihydrofolate reductase DfrC,20210212,-
1732063,26797630,thyA,AXJ01_gp155,SPbetalike_00155,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201219,-
1732063,26797631,AXJ01_gp156,AXJ01_gp156,SPbetalike_00156,-,-,-,IS6-like element IS257 family transposase,protein-coding,-,-,-,IS6-like element IS257 family transposase,20210212,-
1732063,26797632,AXJ01_gp001,AXJ01_gp001,SPbetalike_00001,-,-,-,ribonuclease Z,protein-coding,-,-,-,ribonuclease Z,20201219,-
1732063,26823916,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201125,-
