#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656575,60327856,2,I5H31_gp002,PBI_EISH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201203,-
2656575,60327900,50,I5H31_gp050,PBI_EISH_50,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2656575,60327901,51,I5H31_gp051,PBI_EISH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327902,52,I5H31_gp052,PBI_EISH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656575,60327903,53,I5H31_gp053,PBI_EISH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327904,54,I5H31_gp054,PBI_EISH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327905,55,I5H31_gp055,PBI_EISH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327906,56,I5H31_gp056,PBI_EISH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327907,57,I5H31_gp057,PBI_EISH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327908,58,I5H31_gp058,PBI_EISH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327909,59,I5H31_gp059,PBI_EISH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327910,60,I5H31_gp060,PBI_EISH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656575,60327911,61,I5H31_gp061,PBI_EISH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656575,60327912,62,I5H31_gp062,PBI_EISH_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201217,-
2656575,60327913,63,I5H31_gp063,PBI_EISH_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2656575,60327914,64,I5H31_gp064,PBI_EISH_64,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2656575,60327915,65,I5H31_gp065,PBI_EISH_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2656575,60327916,66,I5H31_gp066,PBI_EISH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327917,67,I5H31_gp067,PBI_EISH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656575,60327918,68,I5H31_gp068,PBI_EISH_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201203,-
2656575,60327919,69,I5H31_gp069,PBI_EISH_69,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2656575,60327920,70,I5H31_gp070,PBI_EISH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327921,71,I5H31_gp071,PBI_EISH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327922,72,I5H31_gp072,PBI_EISH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327923,73,I5H31_gp073,PBI_EISH_73,-,-,-,PAPS reductase-like domain protein,protein-coding,-,-,-,PAPS reductase-like domain protein,20201129,-
2656575,60327924,74,I5H31_gp074,PBI_EISH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327925,75,I5H31_gp075,PBI_EISH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327926,76,I5H31_gp076,PBI_EISH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327927,77,I5H31_gp077,PBI_EISH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327928,78,I5H31_gp078,PBI_EISH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327929,79,I5H31_gp079,PBI_EISH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327930,80,I5H31_gp080,PBI_EISH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327931,81,I5H31_gp081,PBI_EISH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327932,82,I5H31_gp082,PBI_EISH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327933,83,I5H31_gp083,PBI_EISH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656575,60327934,84,I5H31_gp084,PBI_EISH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327935,85,I5H31_gp085,PBI_EISH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327936,86,I5H31_gp086,PBI_EISH_86,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2656575,60327937,87,I5H31_gp087,PBI_EISH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327938,89,I5H31_gp089,PBI_EISH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327939,90,I5H31_gp090,PBI_EISH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327940,91,I5H31_gp091,PBI_EISH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327941,92,I5H31_gp092,PBI_EISH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327942,93,I5H31_gp093,PBI_EISH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327943,94,I5H31_gp094,PBI_EISH_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327944,95,I5H31_gp095,PBI_EISH_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327945,96,I5H31_gp096,PBI_EISH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327946,99,I5H31_gp099,PBI_EISH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327947,100,I5H31_gp100,PBI_EISH_100,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210129,-
2656575,60327948,101,I5H31_gp101,PBI_EISH_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327949,102,I5H31_gp102,PBI_EISH_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327950,103,I5H31_gp103,PBI_EISH_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327951,104,I5H31_gp104,PBI_EISH_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327952,105,I5H31_gp105,PBI_EISH_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327953,106,I5H31_gp106,PBI_EISH_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656575,60327954,107,I5H31_gp107,PBI_EISH_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327955,108,I5H31_gp108,PBI_EISH_108,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656575,60327956,109,I5H31_gp109,PBI_EISH_109,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2656575,60327957,40,I5H31_gp040,PBI_EISH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327958,88,I5H31_gp088,PBI_EISH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327959,97,I5H31_gp097,PBI_EISH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327960,98,I5H31_gp098,PBI_EISH_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327961,37,I5H31_gp037,PBI_EISH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656575,60327962,43,I5H31_gp043,PBI_EISH_43,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2656575,60327963,46,I5H31_gp046,PBI_EISH_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2656575,60327964,1,I5H31_gp001,PBI_EISH_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2656575,60338811,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
