#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1104324,11593814,P186_RS10315,P186_RS10315,P186_2210,-,-,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20201217,-
1104324,11593829,P186_RS10390,P186_RS10390,P186_2225,-,-,-,circadian clock protein KaiC,protein-coding,-,-,-,circadian clock protein KaiC,20200905,-
1104324,11593830,P186_RS10395,P186_RS10395,P186_2226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593831,P186_RS10400,P186_RS10400,P186_2227,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200905,-
1104324,11593833,P186_RS10410,P186_RS10410,P186_2229,-,-,-,30S ribosomal protein S7,protein-coding,-,-,-,30S ribosomal protein S7,20201217,-
1104324,11593834,P186_RS10415,P186_RS10415,P186_2230,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200905,-
1104324,11593835,P186_RS10420,P186_RS10420,P186_2231,-,-,-,replication factor C large subunit,protein-coding,-,-,-,replication factor C large subunit,20200905,-
1104324,11593836,P186_RS10425,P186_RS10425,P186_2232,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11593837,P186_RS10430,P186_RS10430,P186_2233,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200905,-
1104324,11593838,P186_RS10435,P186_RS10435,P186_2234,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20200218,-
1104324,11593839,P186_RS10440,P186_RS10440,P186_2235,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201217,-
1104324,11593840,P186_RS10445,P186_RS10445,P186_2236,-,-,-,S-methyl-5-thioribose-1-phosphate isomerase,protein-coding,-,-,-,S-methyl-5-thioribose-1-phosphate isomerase,20200905,-
1104324,11593841,P186_RS10450,P186_RS10450,P186_2237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593842,P186_RS10455,P186_RS10455,P186_2238,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,protein-coding,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,20200905,-
1104324,11593844,P186_RS10465,P186_RS10465,P186_2240,-,-,-,TIGR00296 family protein,protein-coding,-,-,-,TIGR00296 family protein,20200218,-
1104324,11593845,P186_RS10470,P186_RS10470,P186_2241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593847,P186_RS10475,P186_RS10475,P186_2243,-,-,-,nodulation protein NfeD,protein-coding,-,-,-,nodulation protein NfeD,20200905,-
1104324,11593848,P186_RS10480,P186_RS10480,P186_2244,-,-,-,slipin family protein,protein-coding,-,-,-,slipin family protein,20200905,-
1104324,11593849,P186_RS10485,P186_RS10485,P186_2245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593850,P186_RS10490,P186_RS10490,P186_2246,-,-,-,V-type ATPase subunit,protein-coding,-,-,-,V-type ATPase subunit,20201028,-
1104324,11593851,P186_RS10495,P186_RS10495,P186_2247,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201217,-
1104324,11593853,P186_RS10500,P186_RS10500,P186_2249,-,-,-,V-type ATP synthase subunit D,protein-coding,-,-,-,V-type ATP synthase subunit D,20200218,-
1104324,11593854,P186_RS10505,P186_RS10505,P186_2250,-,-,-,50S ribosome-binding GTPase,protein-coding,-,-,-,50S ribosome-binding GTPase,20201028,-
1104324,11593855,P186_RS10510,P186_RS10510,P186_2251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593856,P186_RS10515,P186_RS10515,P186_2252,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20201028,-
1104324,11593857,P186_RS10520,P186_RS10520,P186_2253,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200905,-
1104324,11593858,P186_RS10525,P186_RS10525,P186_2254,-,-,-,phosphomannomutase/phosphoglucomutase,protein-coding,-,-,-,phosphomannomutase/phosphoglucomutase,20200905,-
1104324,11593859,P186_RS10530,P186_RS10530,P186_2255,-,-,-,DUF763 domain-containing protein,protein-coding,-,-,-,DUF763 domain-containing protein,20200218,-
1104324,11593860,P186_RS10535,P186_RS10535,P186_2256,-,-,-,orotidine 5'-phosphate decarboxylase,protein-coding,-,-,-,orotidine 5'-phosphate decarboxylase,20200905,-
1104324,11593861,pyrB,P186_RS10540,P186_2257,-,-,-,aspartate carbamoyltransferase,protein-coding,-,-,-,aspartate carbamoyltransferase,20200905,-
1104324,11593862,rimI,P186_RS10545,P186_2258,-,-,-,ribosomal protein S18-alanine N-acetyltransferase,protein-coding,-,-,-,ribosomal protein S18-alanine N-acetyltransferase,20200905,-
1104324,11593863,P186_RS10550,P186_RS10550,P186_2259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11593864,tgtA,P186_RS10555,P186_2260,-,-,-,tRNA guanosine(15) transglycosylase TgtA,protein-coding,-,-,-,tRNA guanosine(15) transglycosylase TgtA,20200905,-
1104324,11593865,P186_RS10560,P186_RS10560,P186_2261,-,-,-,proteasome assembly chaperone family protein,protein-coding,-,-,-,proteasome assembly chaperone family protein,20200218,-
1104324,11593866,P186_RS10565,P186_RS10565,P186_2262,-,-,-,transcription factor,protein-coding,-,-,-,transcription factor,20200905,-
1104324,11593867,hflX,P186_RS10570,P186_2263,-,-,-,GTPase HflX,protein-coding,-,-,-,GTPase HflX,20201217,-
1104324,11593868,P186_RS10575,P186_RS10575,P186_2264,-,-,-,TIGR00270 family protein,protein-coding,-,-,-,TIGR00270 family protein,20200905,-
1104324,11593869,P186_RS10580,P186_RS10580,P186_2265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11593870,P186_RS10585,P186_RS10585,P186_2266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593871,P186_RS10590,P186_RS10590,P186_2267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11593873,P186_RS10595,P186_RS10595,P186_2269,-,-,-,small nuclear ribonucleoprotein (Sm),protein-coding,-,-,-,small nuclear ribonucleoprotein (Sm),20201217,-
1104324,11593874,P186_RS10605,P186_RS10605,P186_2270,-,-,-,MarC family protein,protein-coding,-,-,-,MarC family protein,20200218,-
1104324,11593875,P186_RS10610,P186_RS10610,P186_2271,-,-,-,Mrp/NBP35 family ATP-binding protein,protein-coding,-,-,-,Mrp/NBP35 family ATP-binding protein,20200905,-
1104324,11593876,P186_RS10615,P186_RS10615,P186_2272,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200905,-
1104324,11593877,P186_RS10620,P186_RS10620,P186_2273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593878,P186_RS10625,P186_RS10625,P186_2274,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20200905,-
1104324,11593879,P186_RS10630,P186_RS10630,P186_2275,-,-,-,serine hydroxymethyltransferase,protein-coding,-,-,-,serine hydroxymethyltransferase,20200218,-
1104324,11593880,P186_RS10635,P186_RS10635,P186_2276,-,-,-,molybdenum cofactor biosynthesis protein MoaC,protein-coding,-,-,-,molybdenum cofactor biosynthesis protein MoaC,20200905,-
1104324,11593881,P186_RS10640,P186_RS10640,P186_2277,-,-,-,TFIIB-type zinc ribbon-containing protein,protein-coding,-,-,-,TFIIB-type zinc ribbon-containing protein,20201217,-
1104324,11593882,fni,P186_RS10645,P186_2278,-,-,-,type 2 isopentenyl-diphosphate Delta-isomerase,protein-coding,-,-,-,type 2 isopentenyl-diphosphate Delta-isomerase,20200905,-
1104324,11593883,P186_RS10650,P186_RS10650,P186_2279,-,-,-,50S ribosomal protein L2,protein-coding,-,-,-,50S ribosomal protein L2,20201217,-
1104324,11593884,P186_RS10655,P186_RS10655,P186_2280,-,-,-,30S ribosomal protein S17e,protein-coding,-,-,-,30S ribosomal protein S17e,20201217,-
1104324,11593885,P186_RS10660,P186_RS10660,P186_2281,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20200905,-
1104324,11593886,P186_RS10665,P186_RS10665,P186_2282,-,-,-,proteasome subunit beta,protein-coding,-,-,-,proteasome subunit beta,20200905,-
1104324,11593887,P186_RS10670,P186_RS10670,P186_2283,-,-,-,enolase,protein-coding,-,-,-,enolase,20200905,-
1104324,11593888,P186_RS10675,P186_RS10675,P186_2284,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20200905,-
1104324,11593889,moaA,P186_RS10680,P186_2285,-,-,-,"GTP 3',8-cyclase MoaA",protein-coding,-,-,-,"GTP 3',8-cyclase MoaA",20201217,-
1104324,11593890,P186_RS10685,P186_RS10685,P186_2286,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20201217,-
1104324,11593891,P186_RS10690,P186_RS10690,P186_2287,-,-,-,FHA domain-containing protein,protein-coding,-,-,-,FHA domain-containing protein,20200905,-
1104324,11593892,P186_RS10695,P186_RS10695,P186_2288,-,-,-,30S ribosomal protein S2,protein-coding,-,-,-,30S ribosomal protein S2,20200218,-
1104324,11593893,amrB,P186_RS10700,P186_2289,-,-,-,AmmeMemoRadiSam system protein B,protein-coding,-,-,-,AmmeMemoRadiSam system protein B,20200218,-
1104324,11593894,pyk,P186_RS10705,P186_2290,-,-,-,pyruvate kinase,protein-coding,-,-,-,pyruvate kinase,20200905,-
1104324,11593895,P186_RS10710,P186_RS10710,P186_2291,-,-,-,beta-CASP ribonuclease aCPSF1,protein-coding,-,-,-,beta-CASP ribonuclease aCPSF1,20201217,-
1104324,11593896,P186_RS10715,P186_RS10715,P186_2292,-,-,-,cysteine--tRNA ligase,protein-coding,-,-,-,cysteine--tRNA ligase,20200905,-
1104324,11593897,P186_RS10720,P186_RS10720,P186_2293,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201028,-
1104324,11593898,P186_RS10725,P186_RS10725,P186_2294,-,-,-,aspartyl protease family protein,protein-coding,-,-,-,aspartyl protease family protein,20201028,-
1104324,11593899,P186_RS10730,P186_RS10730,P186_2295,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201217,-
1104324,11593902,P186_RS10740,P186_RS10740,P186_2298,-,-,-,transposase,protein-coding,-,-,-,transposase,20200905,-
1104324,11593903,P186_RS10745,P186_RS10745,P186_2299,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593904,P186_RS10750,P186_RS10750,P186_2300,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11593905,P186_RS10755,P186_RS10755,P186_2301,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11593906,P186_RS10760,P186_RS10760,P186_2303,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593907,P186_RS10765,P186_RS10765,P186_2304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593908,P186_RS10770,P186_RS10770,P186_2305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593909,P186_RS10775,P186_RS10775,P186_2306,-,-,-,AMMECR1 domain-containing protein,protein-coding,-,-,-,AMMECR1 domain-containing protein,20201217,-
1104324,11593910,P186_RS10780,P186_RS10780,P186_2307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593911,cyaB,P186_RS10785,P186_2308,-,-,-,class IV adenylate cyclase,protein-coding,-,-,-,class IV adenylate cyclase,20200218,-
1104324,11593912,P186_RS10790,P186_RS10790,P186_2309,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20201217,-
1104324,11593913,P186_RS10795,P186_RS10795,P186_2310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593914,P186_RS10800,P186_RS10800,P186_2311,-,-,-,carbohydrate kinase family protein,protein-coding,-,-,-,carbohydrate kinase family protein,20200218,-
1104324,11593915,P186_RS10805,P186_RS10805,P186_2312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593916,P186_RS10810,P186_RS10810,P186_2313,-,-,-,nucleotidyltransferase family protein,protein-coding,-,-,-,nucleotidyltransferase family protein,20200905,-
1104324,11593917,P186_RS10815,P186_RS10815,P186_2314,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593918,P186_RS10820,P186_RS10820,P186_2315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11593919,P186_RS10825,P186_RS10825,P186_2316,-,-,-,NfeD family protein,protein-coding,-,-,-,NfeD family protein,20201217,-
1104324,11593920,P186_RS10830,P186_RS10830,P186_2317,-,-,-,GTPase,protein-coding,-,-,-,GTPase,20200905,-
1104324,11593921,P186_RS10835,P186_RS10835,P186_2318,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11593922,P186_RS10840,P186_RS10840,P186_R0032,-,-,-,tRNA,tRNA,-,-,-,-,20201028,-
1104324,11593923,P186_RS10845,P186_RS10845,P186_2319,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593924,P186_RS10850,P186_RS10850,P186_2320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593925,P186_RS10860,P186_RS10860,P186_2321,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593926,P186_RS10865,P186_RS10865,P186_2322,-,-,-,4Fe-4S ferredoxin,protein-coding,-,-,-,4Fe-4S ferredoxin,20200905,-
1104324,11593927,P186_RS10870,P186_RS10870,P186_2323,-,-,-,YkgJ family cysteine cluster protein,protein-coding,-,-,-,YkgJ family cysteine cluster protein,20200218,-
1104324,11593928,P186_RS10875,P186_RS10875,P186_2324,-,-,-,50S ribosomal protein L14e,protein-coding,-,-,-,50S ribosomal protein L14e,20200905,-
1104324,11593929,P186_RS10880,P186_RS10880,P186_2325,-,-,-,RNA-guided pseudouridylation complex pseudouridine synthase subunit Cbf5,protein-coding,-,-,-,RNA-guided pseudouridylation complex pseudouridine synthase subunit Cbf5,20200905,-
1104324,11593930,P186_RS10885,P186_RS10885,P186_2326,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11593931,P186_RS10890,P186_RS10890,P186_2327,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11593932,P186_RS10895,P186_RS10895,P186_2328,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593933,P186_RS00040,P186_RS00040,P186_0008,-,-,-,RNA-binding protein,protein-coding,-,-,-,RNA-binding protein,20200905,-
1104324,11593934,P186_RS10900,P186_RS10900,P186_2329,-,-,-,Gfo/Idh/MocA family oxidoreductase,protein-coding,-,-,-,Gfo/Idh/MocA family oxidoreductase,20200905,-
1104324,11593935,P186_RS10905,P186_RS10905,P186_2330,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200905,-
1104324,11593936,P186_RS10910,P186_RS10910,P186_2331,-,-,-,CPBP family intramembrane metalloprotease,protein-coding,-,-,-,CPBP family intramembrane metalloprotease,20210208,-
1104324,11593937,P186_RS10915,P186_RS10915,P186_2332,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593938,P186_RS10920,P186_RS10920,P186_2333,-,-,-,nicotinamide mononucleotide deamidase-related protein,protein-coding,-,-,-,nicotinamide mononucleotide deamidase-related protein,20201217,-
1104324,11593939,P186_RS10925,P186_RS10925,P186_2334,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20200218,-
1104324,11593940,P186_RS10930,P186_RS10930,P186_2335,-,-,-,peroxiredoxin,protein-coding,-,-,-,peroxiredoxin,20201217,-
1104324,11593941,P186_RS10940,P186_RS10940,P186_2337,-,-,-,DsrE/DsrF/DrsH-like family protein,protein-coding,-,-,-,DsrE/DsrF/DrsH-like family protein,20201217,-
1104324,11593942,P186_RS10945,P186_RS10945,P186_2339,-,-,-,endonuclease III,protein-coding,-,-,-,endonuclease III,20200905,-
1104324,11593943,P186_RS10950,P186_RS10950,P186_2338,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593944,P186_RS10955,P186_RS10955,P186_2340,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200218,-
1104324,11593945,P186_RS10960,P186_RS10960,P186_2341,-,-,-,carboxypeptidase M32,protein-coding,-,-,-,carboxypeptidase M32,20201217,-
1104324,11593946,P186_RS10965,P186_RS10965,P186_2342,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1104324,11593947,P186_RS10970,P186_RS10970,P186_2343,-,-,-,phosphopantetheine adenylyltransferase,protein-coding,-,-,-,phosphopantetheine adenylyltransferase,20200905,-
1104324,11593948,P186_RS10975,P186_RS10975,P186_2344,-,-,-,M28 family peptidase,protein-coding,-,-,-,M28 family peptidase,20200905,-
1104324,11593949,P186_RS10980,P186_RS10980,P186_2345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593950,P186_RS10985,P186_RS10985,P186_2346,-,-,-,acylphosphatase,protein-coding,-,-,-,acylphosphatase,20200905,-
1104324,11593951,P186_RS10990,P186_RS10990,P186_2347,-,-,-,deacetylase,protein-coding,-,-,-,deacetylase,20200905,-
1104324,11593952,P186_RS10995,P186_RS10995,P186_2348,-,-,-,prephenate dehydratase,protein-coding,-,-,-,prephenate dehydratase,20201217,-
1104324,11593953,P186_RS11000,P186_RS11000,P186_2349,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20201217,-
1104324,11593954,P186_RS11010,P186_RS11010,P186_2351,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593955,P186_RS11015,P186_RS11015,P186_2352,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11593957,P186_RS11020,P186_RS11020,P186_2354,-,-,-,minichromosome maintenance protein MCM,protein-coding,-,-,-,minichromosome maintenance protein MCM,20200905,-
1104324,11593958,P186_RS11025,P186_RS11025,P186_2355,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201028,-
1104324,11593959,P186_RS11030,P186_RS11030,P186_2356,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593961,P186_RS11035,P186_RS11035,P186_2358,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1104324,11593962,P186_RS11040,P186_RS11040,P186_2359,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201028,-
1104324,11593964,P186_RS11050,P186_RS11050,P186_2361,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593966,P186_RS11055,P186_RS11055,P186_2363,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11593967,P186_RS11060,P186_RS11060,P186_2364,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593968,P186_RS11065,P186_RS11065,P186_2365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593969,P186_RS11070,P186_RS11070,P186_2366,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593970,P186_RS11075,P186_RS11075,P186_2367,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593971,P186_RS11080,P186_RS11080,P186_2368,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593972,P186_RS11085,P186_RS11085,P186_2369,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593973,P186_RS11090,P186_RS11090,P186_2370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593974,P186_RS11095,P186_RS11095,P186_2371,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,protein-coding,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,20201217,-
1104324,11593975,P186_RS11100,P186_RS11100,P186_2372,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1104324,11593976,P186_RS11110,P186_RS11110,P186_2374,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20200905,-
1104324,11593977,P186_RS11115,P186_RS11115,P186_2375,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20201028,-
1104324,11593978,P186_RS11120,P186_RS11120,P186_2376,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593979,P186_RS11125,P186_RS11125,P186_2377,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201217,-
1104324,11593980,P186_RS11130,P186_RS11130,P186_2378,-,-,-,DUF1743 domain-containing protein,protein-coding,-,-,-,DUF1743 domain-containing protein,20200905,-
1104324,11593981,P186_RS11135,P186_RS11135,P186_2379,-,-,-,SufD family Fe-S cluster assembly protein,protein-coding,-,-,-,SufD family Fe-S cluster assembly protein,20201217,-
1104324,11593982,P186_RS11140,P186_RS11140,P186_2380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1104324,11593983,P186_RS11145,P186_RS11145,P186_2381,-,-,-,histidinol-phosphate aminotransferase family protein,protein-coding,-,-,-,histidinol-phosphate aminotransferase family protein,20200905,-
1104324,11593985,P186_RS11150,P186_RS11150,P186_2383,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593986,P186_RS11155,P186_RS11155,P186_2384,-,-,-,pseudo,pseudo,-,-,-,-,20201028,-
1104324,11593989,P186_RS11160,P186_RS11160,P186_2387,-,-,-,YkgJ family cysteine cluster protein,protein-coding,-,-,-,YkgJ family cysteine cluster protein,20200905,-
1104324,11593990,P186_RS11165,P186_RS11165,P186_2388,-,-,-,2-oxoacid:ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid:ferredoxin oxidoreductase subunit beta,20201217,-
1104324,11593991,P186_RS11170,P186_RS11170,P186_2389,-,-,-,2-oxoacid:acceptor oxidoreductase family protein,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase family protein,20201028,-
1104324,11593992,P186_RS11175,P186_RS11175,P186_2390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200218,-
1104324,11593993,P186_RS11180,P186_RS11180,P186_2391,-,-,-,MarC family protein,protein-coding,-,-,-,MarC family protein,20201217,-
1104324,11593995,P186_RS11190,P186_RS11190,P186_2393,-,-,-,"fructose 1,6-bisphosphatase",protein-coding,-,-,-,"fructose 1,6-bisphosphatase",20200905,-
1104324,11593996,P186_RS11195,P186_RS11195,P186_2394,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210529,-
1104324,11593997,carA,P186_RS11200,P186_2395,-,-,-,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,protein-coding,-,-,-,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,20201217,-
1104324,11593998,carB,P186_RS11205,P186_2396,-,-,-,carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit,protein-coding,-,-,-,carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit,20200905,-
1104324,11593999,P186_RS11210,P186_RS11210,P186_2397,-,-,-,RimK family alpha-L-glutamate ligase,protein-coding,-,-,-,RimK family alpha-L-glutamate ligase,20201217,-
1104324,11594000,P186_RS11215,P186_RS11215,P186_2398,-,-,-,AIR synthase family protein,protein-coding,-,-,-,AIR synthase family protein,20201028,-
1104324,11594001,P186_RS11220,P186_RS11220,P186_2399,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20200905,-
1104324,11594002,P186_RS11225,P186_RS11225,P186_2400,-,-,-,DUF99 family protein,protein-coding,-,-,-,DUF99 family protein,20201217,-
1104324,11594003,P186_RS11230,P186_RS11230,P186_2401,-,-,-,spermidine/putrescine ABC transporter substrate-binding protein,protein-coding,-,-,-,spermidine/putrescine ABC transporter substrate-binding protein,20200905,-
