#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719185,58557072,H6S69_gp79,H6S69_gp79,13_00079,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200817,-
2719185,58557108,H6S69_gp34,H6S69_gp34,13_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557109,H6S69_gp15,H6S69_gp15,13_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557110,H6S69_gp58,H6S69_gp58,13_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557111,H6S69_gp78,H6S69_gp78,13_00078,-,-,-,DNA polymerase III alpha chain,protein-coding,-,-,-,DNA polymerase III alpha chain,20210320,-
2719185,58557112,H6S69_gp85,H6S69_gp85,13_00085,-,-,-,ATP dependent DNA ligase,protein-coding,-,-,-,ATP dependent DNA ligase,20210320,-
2719185,58557113,H6S69_gp16,H6S69_gp16,13_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557114,H6S69_gp08,H6S69_gp08,13_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557115,H6S69_gp03,H6S69_gp03,13_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557116,H6S69_gp09,H6S69_gp09,13_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557117,H6S69_gp18,H6S69_gp18,13_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557118,H6S69_gp13,H6S69_gp13,13_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719185,58557119,H6S69_gp19,H6S69_gp19,13_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719185,58557120,H6S69_gp35,H6S69_gp35,13_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557121,H6S69_gp10,H6S69_gp10,13_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557122,H6S69_gp06,H6S69_gp06,13_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557123,H6S69_gp89,H6S69_gp89,13_00089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557124,H6S69_gp66,H6S69_gp66,13_00066,-,-,-,5' to 3' DNA helicase-like protein,protein-coding,-,-,-,5' to 3' DNA helicase-like protein,20210320,-
2719185,58557125,H6S69_gp63,H6S69_gp63,13_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557126,H6S69_gp80,H6S69_gp80,13_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557127,H6S69_gp27,H6S69_gp27,13_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557128,H6S69_gp37,H6S69_gp37,13_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557129,H6S69_gp17,H6S69_gp17,13_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2719185,58557130,H6S69_gp40,H6S69_gp40,13_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557131,H6S69_gp11,H6S69_gp11,13_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557132,H6S69_gp38,H6S69_gp38,13_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557133,H6S69_gp32,H6S69_gp32,13_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557134,H6S69_gp51,H6S69_gp51,13_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557135,H6S69_gp12,H6S69_gp12,13_00012,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200817,-
2719185,58557136,H6S69_gp28,H6S69_gp28,13_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557137,H6S69_gp30,H6S69_gp30,13_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557138,H6S69_gp55,H6S69_gp55,13_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557139,H6S69_gp44,H6S69_gp44,13_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557140,H6S69_gp73,H6S69_gp73,13_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557141,H6S69_gp53,H6S69_gp53,13_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557142,H6S69_gp87,H6S69_gp87,13_00087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557143,H6S69_gp70,H6S69_gp70,13_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557144,H6S69_gp52,H6S69_gp52,13_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557145,H6S69_gp54,H6S69_gp54,13_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557146,H6S69_gp39,H6S69_gp39,13_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557147,H6S69_gp71,H6S69_gp71,13_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557148,H6S69_gp72,H6S69_gp72,13_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557149,H6S69_gp48,H6S69_gp48,13_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557150,H6S69_gp49,H6S69_gp49,13_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557151,H6S69_gp24,H6S69_gp24,13_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557152,H6S69_gp74,H6S69_gp74,13_00074,-,-,-,FAD dependent thymidylate synthase,protein-coding,-,-,-,FAD dependent thymidylate synthase,20210403,-
2719185,58557153,H6S69_gp29,H6S69_gp29,13_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557154,H6S69_gp47,H6S69_gp47,13_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557155,H6S69_gp76,H6S69_gp76,13_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719185,58557156,H6S69_gp46,H6S69_gp46,13_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557157,H6S69_gp61,H6S69_gp61,13_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719185,58557158,H6S69_gp31,H6S69_gp31,13_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557159,H6S69_gp42,H6S69_gp42,13_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557160,H6S69_gp43,H6S69_gp43,13_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719185,58557161,H6S69_gp23,H6S69_gp23,13_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719185,58557162,H6S69_gp01,H6S69_gp01,13_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2719185,58729613,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200819,-
