#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1432848,18499652,CF85_gp54,CF85_gp54,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1432848,18499689,CF85_gp17,CF85_gp17,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1432848,18499690,CF85_gp16,CF85_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499691,CF85_gp15,CF85_gp15,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1432848,18499692,CF85_gp14,CF85_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499693,CF85_gp13,CF85_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499694,CF85_gp12,CF85_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499695,CF85_gp11,CF85_gp11,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20200629,-
1432848,18499696,CF85_gp10,CF85_gp10,-,-,-,-,Hol44,protein-coding,-,-,-,Hol44,20200629,-
1432848,18499697,CF85_gp09,CF85_gp09,-,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20201221,-
1432848,18499698,CF85_gp08,CF85_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499699,CF85_gp07,CF85_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499700,CF85_gp06,CF85_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499701,CF85_gp05,CF85_gp05,-,-,-,-,DUF2513 domain-containing protein,protein-coding,-,-,-,DUF2513 domain-containing protein,20201221,-
1432848,18499702,CF85_gp04,CF85_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499703,CF85_gp03,CF85_gp03,-,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20201221,-
1432848,18499704,CF85_gp02,CF85_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499705,CF85_gp01,CF85_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432848,18499706,CF85_gt01,CF85_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1432848,18506827,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Oenococcus oeni bacteriophage phiS13).,other,-,-,-,-,20200513,-
