#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250323,54997826,2,HOT73_gp02,SEA_RUTHY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2250323,54997846,22,HOT73_gp22,SEA_RUTHY_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250323,54997847,23,HOT73_gp23,SEA_RUTHY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250323,54997848,24,HOT73_gp24,SEA_RUTHY_24,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210403,-
2250323,54997849,25,HOT73_gp25,SEA_RUTHY_25,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210403,-
2250323,54997850,26,HOT73_gp26,SEA_RUTHY_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2250323,54997851,27,HOT73_gp27,SEA_RUTHY_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2250323,54997852,28,HOT73_gp28,SEA_RUTHY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997853,29,HOT73_gp29,SEA_RUTHY_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2250323,54997854,30,HOT73_gp30,SEA_RUTHY_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2250323,54997855,31,HOT73_gp31,SEA_RUTHY_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2250323,54997856,32,HOT73_gp32,SEA_RUTHY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250323,54997857,33,HOT73_gp33,SEA_RUTHY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997858,34,HOT73_gp34,SEA_RUTHY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997859,35,HOT73_gp35,SEA_RUTHY_35,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2250323,54997860,36,HOT73_gp36,SEA_RUTHY_36,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20201221,-
2250323,54997861,37,HOT73_gp37,SEA_RUTHY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997862,38,HOT73_gp38,SEA_RUTHY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997863,39,HOT73_gp39,SEA_RUTHY_39,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2250323,54997864,40,HOT73_gp40,SEA_RUTHY_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2250323,54997865,41,HOT73_gp41,SEA_RUTHY_41,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
2250323,54997866,42,HOT73_gp42,SEA_RUTHY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997867,43,HOT73_gp43,SEA_RUTHY_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2250323,54997868,44,HOT73_gp44,SEA_RUTHY_44,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2250323,54997869,45,HOT73_gp45,SEA_RUTHY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997870,46,HOT73_gp46,SEA_RUTHY_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210403,-
2250323,54997871,47,HOT73_gp47,SEA_RUTHY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997872,48,HOT73_gp48,SEA_RUTHY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997873,49,HOT73_gp49,SEA_RUTHY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997874,50,HOT73_gp50,SEA_RUTHY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997875,51,HOT73_gp51,SEA_RUTHY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997876,52,HOT73_gp52,SEA_RUTHY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997877,53,HOT73_gp53,SEA_RUTHY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997878,54,HOT73_gp54,SEA_RUTHY_54,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2250323,54997879,55,HOT73_gp55,SEA_RUTHY_55,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
2250323,54997880,56,HOT73_gp56,SEA_RUTHY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997881,57,HOT73_gp57,SEA_RUTHY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997882,58,HOT73_gp58,SEA_RUTHY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997883,59,HOT73_gp59,SEA_RUTHY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997884,60,HOT73_gp60,SEA_RUTHY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997885,61,HOT73_gp61,SEA_RUTHY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997886,62,HOT73_gp62,SEA_RUTHY_62,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2250323,54997887,63,HOT73_gp63,SEA_RUTHY_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2250323,54997888,64,HOT73_gp64,SEA_RUTHY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997889,65,HOT73_gp65,SEA_RUTHY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250323,54997890,66,HOT73_gp66,SEA_RUTHY_66,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210403,-
2250323,54997891,67,HOT73_gp67,SEA_RUTHY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997892,68,HOT73_gp68,SEA_RUTHY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997893,69,HOT73_gp69,SEA_RUTHY_69,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2250323,54997894,70,HOT73_gp70,SEA_RUTHY_70,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2250323,54997895,71,HOT73_gp71,SEA_RUTHY_71,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2250323,54997896,72,HOT73_gp72,SEA_RUTHY_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2250323,54997897,73,HOT73_gp73,SEA_RUTHY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250323,54997898,1,HOT73_gp01,SEA_RUTHY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2250323,55154034,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
