#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458697,18502949,P106B_02,P106B_02,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1458697,18502966,P106B_20,P106B_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502967,P106B_21,P106B_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502968,P106B_22,P106B_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502969,P106B_23,P106B_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502970,P106B_24,P106B_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502971,P106B_25,P106B_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502972,P106B_26,P106B_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502973,P106B_27,P106B_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502974,P106B_28,P106B_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502975,P106B_29,P106B_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502976,P106B_30,P106B_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502977,P106B_31,P106B_31,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1458697,18502978,P106B_32,P106B_32,-,-,-,-,putative tail length tape measure protein precursor,protein-coding,-,-,-,putative tail length tape measure protein precursor,20200910,-
1458697,18502979,P106B_33,P106B_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1458697,18502980,P106B_34,P106B_34,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1458697,18502981,P106B_35,P106B_35,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200910,-
1458697,18502982,P106B_36,P106B_36,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1458697,18502983,P106B_37,P106B_37,-,-,-,-,putative tail component,protein-coding,-,-,-,putative tail component,20200910,-
1458697,18502984,P106B_38,P106B_38,-,-,-,-,tail collar domain-containing protein,protein-coding,-,-,-,tail collar domain-containing protein,20200910,-
1458697,18502985,P106B_39,P106B_39,-,-,-,-,putative tail fiber assembly-like protein,protein-coding,-,-,-,putative tail fiber assembly-like protein,20200910,-
1458697,18502986,P106B_40,P106B_40,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200910,-
1458697,18502987,P106B_41,P106B_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502988,P106B_42,P106B_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502989,P106B_43,P106B_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502990,P106B_44,P106B_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502991,P106B_45,P106B_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502992,P106B_46,P106B_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502993,P106B_47,P106B_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502994,P106B_48,P106B_48,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200910,-
1458697,18502995,P106B_49,P106B_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502996,P106B_50,P106B_50,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200910,-
1458697,18502997,P106B_51,P106B_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18502998,CH00_gt01,CH00_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1458697,18502999,P106B_53,P106B_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503000,P106B_54,P106B_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503001,P106B_55,P106B_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503002,P106B_56,P106B_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503003,P106B_57,P106B_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503004,P106B_58,P106B_58,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200910,-
1458697,18503005,P106B_59,P106B_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503006,P106B_60,P106B_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503007,P106B_61,P106B_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503008,P106B_62,P106B_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503009,P106B_63,P106B_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503010,P106B_64,P106B_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503011,P106B_65,P106B_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503012,P106B_66,P106B_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503013,P106B_67,P106B_67,-,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20200910,-
1458697,18503014,P106B_68,P106B_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503015,P106B_69,P106B_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503016,P106B_70,P106B_70,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200910,-
1458697,18503017,P106B_71,P106B_71,-,-,-,-,DNA Primase,protein-coding,-,-,-,DNA Primase,20200910,-
1458697,18503018,P106B_72,P106B_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503019,P106B_73,P106B_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503020,P106B_74,P106B_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503021,P106B_75,P106B_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503022,P106B_76,P106B_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503023,P106B_77,P106B_77,-,-,-,-,tail assembly-like protein,protein-coding,-,-,-,tail assembly-like protein,20200910,-
1458697,18503024,P106B_78,P106B_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503025,P106B_79,P106B_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503026,P106B_80,P106B_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503027,P106B_81,P106B_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503028,P106B_82,P106B_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503029,P106B_83,P106B_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503030,P106B_84,P106B_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503031,P106B_85,P106B_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503032,P106B_86,P106B_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503033,P106B_87,P106B_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503034,P106B_88,P106B_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503035,P106B_89,P106B_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503036,P106B_90,P106B_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503037,P106B_91,P106B_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503038,P106B_92,P106B_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503039,P106B_93,P106B_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503040,P106B_94,P106B_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503041,P106B_95,P106B_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503042,P106B_52,P106B_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18503043,P106B_01,P106B_01,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1458697,18503044,P106B_03,P106B_03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1458697,18558815,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
