#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599852,62974305,2,JZX81_gp02,PBI_TOAST_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210228,-
2599852,62974338,35,JZX81_gp35,PBI_TOAST_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974339,36,JZX81_gp36,PBI_TOAST_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974340,37,JZX81_gp37,PBI_TOAST_37,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210228,-
2599852,62974341,38,JZX81_gp38,PBI_TOAST_38,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210228,-
2599852,62974342,39,JZX81_gp39,PBI_TOAST_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974343,41,JZX81_gp41,PBI_TOAST_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974344,42,JZX81_gp42,PBI_TOAST_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974345,43,JZX81_gp43,PBI_TOAST_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210228,-
2599852,62974346,44,JZX81_gp44,PBI_TOAST_44,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210228,-
2599852,62974347,45,JZX81_gp45,PBI_TOAST_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974348,46,JZX81_gp46,PBI_TOAST_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974349,47,JZX81_gp47,PBI_TOAST_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974350,48,JZX81_gp48,PBI_TOAST_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974351,49,JZX81_gp49,PBI_TOAST_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974352,50,JZX81_gp50,PBI_TOAST_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974353,51,JZX81_gp51,PBI_TOAST_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974354,52,JZX81_gp52,PBI_TOAST_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974355,53,JZX81_gp53,PBI_TOAST_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974356,54,JZX81_gp54,PBI_TOAST_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974357,55,JZX81_gp55,PBI_TOAST_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974358,56,JZX81_gp56,PBI_TOAST_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974359,57,JZX81_gp57,PBI_TOAST_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974360,58,JZX81_gp58,PBI_TOAST_58,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210228,-
2599852,62974361,59,JZX81_gp59,PBI_TOAST_59,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210228,-
2599852,62974362,60,JZX81_gp60,PBI_TOAST_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974363,61,JZX81_gp61,PBI_TOAST_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974364,62,JZX81_gp62,PBI_TOAST_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974365,63,JZX81_gp63,PBI_TOAST_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974366,64,JZX81_gp64,PBI_TOAST_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974367,65,JZX81_gp65,PBI_TOAST_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974368,67,JZX81_gp67,PBI_TOAST_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974369,68,JZX81_gp68,PBI_TOAST_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974370,69,JZX81_gp69,PBI_TOAST_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974371,70,JZX81_gp70,PBI_TOAST_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974372,71,JZX81_gp71,PBI_TOAST_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974373,72,JZX81_gp72,PBI_TOAST_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974374,73,JZX81_gp73,PBI_TOAST_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974375,74,JZX81_gp74,PBI_TOAST_74,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210228,-
2599852,62974376,75,JZX81_gp75,PBI_TOAST_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974377,76,JZX81_gp76,PBI_TOAST_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974378,78,JZX81_gp78,PBI_TOAST_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974379,79,JZX81_gp79,PBI_TOAST_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974380,80,JZX81_gp80,PBI_TOAST_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974381,81,JZX81_gp81,PBI_TOAST_81,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210228,-
2599852,62974382,66,JZX81_gp66,PBI_TOAST_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2599852,62974383,40,JZX81_gp40,PBI_TOAST_40,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210228,-
2599852,62974384,77,JZX81_gp77,PBI_TOAST_77,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210228,-
2599852,62974385,1,JZX81_gp01,PBI_TOAST_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210228,-
2599852,62974903,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210301,-
