#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588502,55619410,2,HWC46_gp02,SEA_LEDERBERG_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2588502,55619438,30,HWC46_gp30,SEA_LEDERBERG_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
2588502,55619439,31,HWC46_gp31,SEA_LEDERBERG_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619440,32,HWC46_gp32,SEA_LEDERBERG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619441,33,HWC46_gp33,SEA_LEDERBERG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619442,34,HWC46_gp34,SEA_LEDERBERG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619443,35,HWC46_gp35,SEA_LEDERBERG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619444,36,HWC46_gp36,SEA_LEDERBERG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619445,37,HWC46_gp37,SEA_LEDERBERG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619446,38,HWC46_gp38,SEA_LEDERBERG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619447,39,HWC46_gp39,SEA_LEDERBERG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619448,40,HWC46_gp40,SEA_LEDERBERG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619449,41,HWC46_gp41,SEA_LEDERBERG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619450,42,HWC46_gp42,SEA_LEDERBERG_42,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200912,-
2588502,55619451,43,HWC46_gp43,SEA_LEDERBERG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619452,44,HWC46_gp44,SEA_LEDERBERG_44,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201217,-
2588502,55619453,45,HWC46_gp45,SEA_LEDERBERG_45,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200912,-
2588502,55619454,46,HWC46_gp46,SEA_LEDERBERG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588502,55619455,47,HWC46_gp47,SEA_LEDERBERG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619456,48,HWC46_gp48,SEA_LEDERBERG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619457,49,HWC46_gp49,SEA_LEDERBERG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619458,50,HWC46_gp50,SEA_LEDERBERG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619459,51,HWC46_gp51,SEA_LEDERBERG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619460,52,HWC46_gp52,SEA_LEDERBERG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619461,53,HWC46_gp53,SEA_LEDERBERG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619462,54,HWC46_gp54,SEA_LEDERBERG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619463,55,HWC46_gp55,SEA_LEDERBERG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619464,56,HWC46_gp56,SEA_LEDERBERG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619465,57,HWC46_gp57,SEA_LEDERBERG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619466,58,HWC46_gp58,SEA_LEDERBERG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55619467,59,HWC46_gp59,SEA_LEDERBERG_59,-,-,-,RtcB-like RNA ligase,protein-coding,-,-,-,RtcB-like RNA ligase,20210417,-
2588502,55619468,60,HWC46_gt01,SEA_LEDERBERG_60,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2588502,55619469,61,HWC46_gp60,SEA_LEDERBERG_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2588502,55619470,1,HWC46_gp01,SEA_LEDERBERG_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588502,55635972,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
