#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887646,29068908,2,BIZ73_gp02,SEA_EYRE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1887646,29068940,34,BIZ73_gp34,SEA_EYRE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068941,35,BIZ73_gp35,SEA_EYRE_35,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1887646,29068942,36,BIZ73_gp36,SEA_EYRE_36,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1887646,29068943,37,BIZ73_gp37,SEA_EYRE_37,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1887646,29068944,38,BIZ73_gp38,SEA_EYRE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068945,39,BIZ73_gp39,SEA_EYRE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068946,40,BIZ73_gp40,SEA_EYRE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068947,41,BIZ73_gp41,SEA_EYRE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068948,42,BIZ73_gp42,SEA_EYRE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068949,43,BIZ73_gp43,SEA_EYRE_43,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1887646,29068950,44,BIZ73_gp44,SEA_EYRE_44,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1887646,29068951,45,BIZ73_gp45,SEA_EYRE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068952,46,BIZ73_gp46,SEA_EYRE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068953,47,BIZ73_gp47,SEA_EYRE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068954,48,BIZ73_gp48,SEA_EYRE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068955,49,BIZ73_gp49,SEA_EYRE_49,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1887646,29068956,50,BIZ73_gp50,SEA_EYRE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068957,51,BIZ73_gp51,SEA_EYRE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068958,52,BIZ73_gp52,SEA_EYRE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068959,53,BIZ73_gp53,SEA_EYRE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068960,54,BIZ73_gp54,SEA_EYRE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068961,55,BIZ73_gp55,SEA_EYRE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068962,56,BIZ73_gp56,SEA_EYRE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068963,57,BIZ73_gp57,SEA_EYRE_57,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1887646,29068964,58,BIZ73_gp58,SEA_EYRE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068965,59,BIZ73_gp59,SEA_EYRE_59,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1887646,29068966,60,BIZ73_gp60,SEA_EYRE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068967,61,BIZ73_gp61,SEA_EYRE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068968,62,BIZ73_gp62,SEA_EYRE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068969,63,BIZ73_gp63,SEA_EYRE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068970,64,BIZ73_gp64,SEA_EYRE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068971,65,BIZ73_gp65,SEA_EYRE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068972,66,BIZ73_gp66,SEA_EYRE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068973,68,BIZ73_gp68,SEA_EYRE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068974,69,BIZ73_gp69,SEA_EYRE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068975,70,BIZ73_gp70,SEA_EYRE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068976,71,BIZ73_gp71,SEA_EYRE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068977,72,BIZ73_gp72,SEA_EYRE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068978,73,BIZ73_gp73,SEA_EYRE_73,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1887646,29068979,74,BIZ73_gp74,SEA_EYRE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068980,67,BIZ73_gp67,SEA_EYRE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29068981,1,BIZ73_gp01,SEA_EYRE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887646,29140078,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
