#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182393,60326287,2,I5H16_gp002,SEA_BOBAPHETT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2182393,60326317,32,I5H16_gp032,SEA_BOBAPHETT_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2182393,60326318,33,I5H16_gp033,SEA_BOBAPHETT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182393,60326319,34,I5H16_gp034,SEA_BOBAPHETT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326320,35,I5H16_gp035,SEA_BOBAPHETT_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210123,-
2182393,60326321,36,I5H16_gp036,SEA_BOBAPHETT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326322,37,I5H16_gp037,SEA_BOBAPHETT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326323,38,I5H16_gp038,SEA_BOBAPHETT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326324,39,I5H16_gp039,SEA_BOBAPHETT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326325,40,I5H16_gp040,SEA_BOBAPHETT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326326,41,I5H16_gp041,SEA_BOBAPHETT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326327,42,I5H16_gp042,SEA_BOBAPHETT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2182393,60326328,43,I5H16_gp043,SEA_BOBAPHETT_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
2182393,60326329,44,I5H16_gp044,SEA_BOBAPHETT_44,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2182393,60326330,45,I5H16_gp045,SEA_BOBAPHETT_45,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2182393,60326331,46,I5H16_gp046,SEA_BOBAPHETT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326332,47,I5H16_gp047,SEA_BOBAPHETT_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2182393,60326333,48,I5H16_gp048,SEA_BOBAPHETT_48,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20210424,-
2182393,60326334,49,I5H16_gp049,SEA_BOBAPHETT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2182393,60326335,50,I5H16_gp050,SEA_BOBAPHETT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326336,51,I5H16_gp051,SEA_BOBAPHETT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326337,52,I5H16_gp052,SEA_BOBAPHETT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326338,53,I5H16_gp053,SEA_BOBAPHETT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326339,54,I5H16_gp054,SEA_BOBAPHETT_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2182393,60326340,55,I5H16_gp055,SEA_BOBAPHETT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326341,56,I5H16_gp056,SEA_BOBAPHETT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326342,58,I5H16_gp058,SEA_BOBAPHETT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326343,59,I5H16_gp059,SEA_BOBAPHETT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326344,60,I5H16_gp060,SEA_BOBAPHETT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182393,60326345,61,I5H16_gp061,SEA_BOBAPHETT_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2182393,60326346,62,I5H16_gp062,SEA_BOBAPHETT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2182393,60326347,63,I5H16_gp063,SEA_BOBAPHETT_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2182393,60326348,64,I5H16_gp064,SEA_BOBAPHETT_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2182393,60326349,65,I5H16_gp065,SEA_BOBAPHETT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326350,66,I5H16_gp066,SEA_BOBAPHETT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326351,67,I5H16_gp067,SEA_BOBAPHETT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326352,68,I5H16_gp068,SEA_BOBAPHETT_68,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2182393,60326353,69,I5H16_gp069,SEA_BOBAPHETT_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2182393,60326354,70,I5H16_gp070,SEA_BOBAPHETT_70,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
2182393,60326355,71,I5H16_gp071,SEA_BOBAPHETT_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2182393,60326356,72,I5H16_gp072,SEA_BOBAPHETT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326357,73,I5H16_gp073,SEA_BOBAPHETT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326358,74,I5H16_gp074,SEA_BOBAPHETT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326359,75,I5H16_gp075,SEA_BOBAPHETT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326360,77,I5H16_gp077,SEA_BOBAPHETT_77,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
2182393,60326361,78,I5H16_gp078,SEA_BOBAPHETT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2182393,60326362,79,I5H16_gp079,SEA_BOBAPHETT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326363,80,I5H16_gp080,SEA_BOBAPHETT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326364,81,I5H16_gp081,SEA_BOBAPHETT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326365,82,I5H16_gp082,SEA_BOBAPHETT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326366,83,I5H16_gp083,SEA_BOBAPHETT_83,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2182393,60326367,84,I5H16_gp084,SEA_BOBAPHETT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326368,86,I5H16_gp086,SEA_BOBAPHETT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326369,87,I5H16_gp087,SEA_BOBAPHETT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326370,88,I5H16_gp088,SEA_BOBAPHETT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326371,89,I5H16_gp089,SEA_BOBAPHETT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326372,90,I5H16_gp090,SEA_BOBAPHETT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326373,92,I5H16_gp092,SEA_BOBAPHETT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326374,93,I5H16_gp093,SEA_BOBAPHETT_93,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
2182393,60326375,94,I5H16_gp094,SEA_BOBAPHETT_94,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201129,-
2182393,60326376,95,I5H16_gp095,SEA_BOBAPHETT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326377,96,I5H16_gp096,SEA_BOBAPHETT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326378,97,I5H16_gp097,SEA_BOBAPHETT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326379,98,I5H16_gp098,SEA_BOBAPHETT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326380,99,I5H16_gp099,SEA_BOBAPHETT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326381,100,I5H16_gp100,SEA_BOBAPHETT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326382,101,I5H16_gp101,SEA_BOBAPHETT_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326383,102,I5H16_gp102,SEA_BOBAPHETT_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326384,103,I5H16_gp103,SEA_BOBAPHETT_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326385,105,I5H16_gp105,SEA_BOBAPHETT_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326386,106,I5H16_gp106,SEA_BOBAPHETT_106,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20201129,-
2182393,60326387,107,I5H16_gp107,SEA_BOBAPHETT_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182393,60326388,108,I5H16_gp108,SEA_BOBAPHETT_108,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2182393,60326389,85,I5H16_gp085,SEA_BOBAPHETT_85,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201129,-
2182393,60326390,57,I5H16_gp057,SEA_BOBAPHETT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182393,60326391,76,I5H16_gp076,SEA_BOBAPHETT_76,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210313,-
2182393,60326392,91,I5H16_gp091,SEA_BOBAPHETT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182393,60326393,104,I5H16_gp104,SEA_BOBAPHETT_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2182393,60326394,1,I5H16_gp001,SEA_BOBAPHETT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2182393,60338665,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
