#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500793,60332862,2,I5H79_gp002,SEA_POENANYA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2500793,60332885,29,I5H79_gp029,SEA_POENANYA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332886,31,I5H79_gp031,SEA_POENANYA_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2500793,60332887,32,I5H79_gp032,SEA_POENANYA_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2500793,60332888,33,I5H79_gp033,SEA_POENANYA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500793,60332889,34,I5H79_gp034,SEA_POENANYA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332890,35,I5H79_gp035,SEA_POENANYA_35,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2500793,60332891,36,I5H79_gp036,SEA_POENANYA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332892,38,I5H79_gp038,SEA_POENANYA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332893,39,I5H79_gp039,SEA_POENANYA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332894,41,I5H79_gp041,SEA_POENANYA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332895,42,I5H79_gp042,SEA_POENANYA_42,-,-,-,transposase,protein-coding,-,-,-,transposase,20210424,-
2500793,60332896,44,I5H79_gp044,SEA_POENANYA_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2500793,60332897,47,I5H79_gp047,SEA_POENANYA_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
2500793,60332898,48,I5H79_gp048,SEA_POENANYA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332899,49,I5H79_gp049,SEA_POENANYA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2500793,60332900,51,I5H79_gp051,SEA_POENANYA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332901,52,I5H79_gp052,SEA_POENANYA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332902,54,I5H79_gp054,SEA_POENANYA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332903,55,I5H79_gp055,SEA_POENANYA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332904,56,I5H79_gp056,SEA_POENANYA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2500793,60332905,57,I5H79_gp057,SEA_POENANYA_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2500793,60332906,59,I5H79_gp059,SEA_POENANYA_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2500793,60332907,60,I5H79_gp060,SEA_POENANYA_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2500793,60332908,61,I5H79_gp061,SEA_POENANYA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332909,62,I5H79_gp062,SEA_POENANYA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332910,63,I5H79_gp063,SEA_POENANYA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500793,60332911,64,I5H79_gp064,SEA_POENANYA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2500793,60332912,65,I5H79_gp065,SEA_POENANYA_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2500793,60332913,67,I5H79_gp067,SEA_POENANYA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2500793,60332914,68,I5H79_gp068,SEA_POENANYA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332915,69,I5H79_gp069,SEA_POENANYA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332916,70,I5H79_gp070,SEA_POENANYA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332917,72,I5H79_gp072,SEA_POENANYA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332918,73,I5H79_gp073,SEA_POENANYA_73,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2500793,60332919,74,I5H79_gp074,SEA_POENANYA_74,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201129,-
2500793,60332920,75,I5H79_gp075,SEA_POENANYA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332921,76,I5H79_gp076,SEA_POENANYA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332922,77,I5H79_gp077,SEA_POENANYA_77,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2500793,60332923,78,I5H79_gp078,SEA_POENANYA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332924,79,I5H79_gp079,SEA_POENANYA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332925,80,I5H79_gp080,SEA_POENANYA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2500793,60332926,81,I5H79_gp081,SEA_POENANYA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332927,83,I5H79_gp083,SEA_POENANYA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332928,84,I5H79_gp084,SEA_POENANYA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332929,85,I5H79_gp085,SEA_POENANYA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332930,86,I5H79_gp086,SEA_POENANYA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332931,87,I5H79_gp087,SEA_POENANYA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332932,88,I5H79_gp088,SEA_POENANYA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332933,89,I5H79_gp089,SEA_POENANYA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332934,90,I5H79_gp090,SEA_POENANYA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332935,91,I5H79_gp091,SEA_POENANYA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332936,92,I5H79_gp092,SEA_POENANYA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332937,94,I5H79_gp094,SEA_POENANYA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332938,95,I5H79_gp095,SEA_POENANYA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332939,97,I5H79_gp097,SEA_POENANYA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332940,98,I5H79_gp098,SEA_POENANYA_98,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2500793,60332941,99,I5H79_gp099,SEA_POENANYA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332942,100,I5H79_gp100,SEA_POENANYA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332943,101,I5H79_gp101,SEA_POENANYA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332944,102,I5H79_gp102,SEA_POENANYA_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332945,103,I5H79_gp103,SEA_POENANYA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332946,104,I5H79_gp104,SEA_POENANYA_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332947,105,I5H79_gp105,SEA_POENANYA_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2500793,60332948,106,I5H79_gp106,SEA_POENANYA_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201129,-
2500793,60332949,107,I5H79_gp107,SEA_POENANYA_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210425,-
2500793,60332950,4,I5H79_gp004,SEA_POENANYA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2500793,60332951,6,I5H79_gp006,SEA_POENANYA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2500793,60332952,19,I5H79_gp019,SEA_POENANYA_19,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
2500793,60332953,50,I5H79_gp050,SEA_POENANYA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2500793,60332954,53,I5H79_gp053,SEA_POENANYA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332955,93,I5H79_gp093,SEA_POENANYA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332956,96,I5H79_gp096,SEA_POENANYA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332957,66,I5H79_gp066,SEA_POENANYA_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2500793,60332958,71,I5H79_gp071,SEA_POENANYA_71,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2500793,60332959,30,I5H79_gp030,SEA_POENANYA_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201203,-
2500793,60332960,37,I5H79_gp037,SEA_POENANYA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332961,46,I5H79_gp046,SEA_POENANYA_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2500793,60332962,58,I5H79_gp058,SEA_POENANYA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2500793,60332963,82,I5H79_gp082,SEA_POENANYA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332964,43,I5H79_gp043,SEA_POENANYA_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2500793,60332965,40,I5H79_gp040,SEA_POENANYA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2500793,60332966,45,I5H79_gp045,SEA_POENANYA_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2500793,60332967,12,I5H79_gp013,SEA_POENANYA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2500793,60332968,1,I5H79_gp001,SEA_POENANYA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2500793,60338747,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
