#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163891,65112286,KNT86_gp002,KNT86_gp002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2163891,65112440,KNT86_gp156,KNT86_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112441,KNT86_gp157,KNT86_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112442,KNT86_gp158,KNT86_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112443,KNT86_gp159,KNT86_gp159,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2163891,65112444,KNT86_gp160,KNT86_gp160,-,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210609,-
2163891,65112445,KNT86_gp161,KNT86_gp161,-,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210607,-
2163891,65112446,KNT86_gp162,KNT86_gp162,-,-,-,-,endonuclease V N-glycosylase UV repair enzyme,protein-coding,-,-,-,endonuclease V N-glycosylase UV repair enzyme,20210607,-
2163891,65112447,KNT86_gp163,KNT86_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112448,KNT86_gp164,KNT86_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112449,KNT86_gp165,KNT86_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112450,KNT86_gp166,KNT86_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112451,KNT86_gp167,KNT86_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112452,KNT86_gp168,KNT86_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112453,KNT86_gp169,KNT86_gp169,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2163891,65112454,KNT86_gp170,KNT86_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112455,KNT86_gp171,KNT86_gp171,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2163891,65112456,KNT86_gp172,KNT86_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112457,KNT86_gp173,KNT86_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112458,KNT86_gp174,KNT86_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112459,KNT86_gp175,KNT86_gp175,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2163891,65112460,KNT86_gp176,KNT86_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112461,KNT86_gp177,KNT86_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112462,KNT86_gp178,KNT86_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112463,KNT86_gp179,KNT86_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112464,KNT86_gp180,KNT86_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112465,KNT86_gp181,KNT86_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112466,KNT86_gp182,KNT86_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112467,KNT86_gp183,KNT86_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112468,KNT86_gp184,KNT86_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112469,KNT86_gp185,KNT86_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112470,KNT86_gp186,KNT86_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112471,KNT86_gp187,KNT86_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112472,KNT86_gp188,KNT86_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112473,KNT86_gp189,KNT86_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112474,KNT86_gp190,KNT86_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163891,65112475,KNT86_gp191,KNT86_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
