#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448312,37169529,BO86DRAFT_100071,BO86DRAFT_100071,-,-,Unknown,-,OPT superfamily oligopeptide transporter,protein-coding,-,-,-,OPT superfamily oligopeptide transporter,20200919,-
1448312,37169568,BO86DRAFT_103033,BO86DRAFT_103033,-,-,Unknown,-,UbiE/COQ5 methyltransferase,protein-coding,-,-,-,UbiE/COQ5 methyltransferase,20200919,-
1448312,37169569,BO86DRAFT_103042,BO86DRAFT_103042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169570,BO86DRAFT_103079,BO86DRAFT_103079,-,-,Unknown,-,alcohol dehydrogenase,protein-coding,-,-,-,alcohol dehydrogenase,20200919,-
1448312,37169571,BO86DRAFT_103118,BO86DRAFT_103118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169572,BO86DRAFT_103333,BO86DRAFT_103333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169573,BO86DRAFT_103336,BO86DRAFT_103336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169574,BO86DRAFT_103351,BO86DRAFT_103351,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448312,37169575,BO86DRAFT_103599,BO86DRAFT_103599,-,-,Unknown,-,nucleoside diphosphatase,protein-coding,-,-,-,nucleoside diphosphatase,20200919,-
1448312,37169576,BO86DRAFT_103732,BO86DRAFT_103732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169577,BO86DRAFT_104659,BO86DRAFT_104659,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169578,BO86DRAFT_104830,BO86DRAFT_104830,-,-,Unknown,-,DAO-domain-containing protein,protein-coding,-,-,-,DAO-domain-containing protein,20200919,-
1448312,37169579,BO86DRAFT_104850,BO86DRAFT_104850,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169580,BO86DRAFT_105056,BO86DRAFT_105056,-,-,Unknown,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20200919,-
1448312,37169581,BO86DRAFT_105523,BO86DRAFT_105523,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169582,BO86DRAFT_105552,BO86DRAFT_105552,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169583,BO86DRAFT_105563,BO86DRAFT_105563,-,-,Unknown,-,DUF1763-domain-containing protein,protein-coding,-,-,-,DUF1763-domain-containing protein,20200919,-
1448312,37169584,BO86DRAFT_105582,BO86DRAFT_105582,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169585,BO86DRAFT_105626,BO86DRAFT_105626,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169586,BO86DRAFT_106148,BO86DRAFT_106148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169587,BO86DRAFT_1071,BO86DRAFT_1071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169588,BO86DRAFT_107129,BO86DRAFT_107129,-,-,Unknown,-,methylenetetrahydrofolate dehydrogenase,protein-coding,-,-,-,methylenetetrahydrofolate dehydrogenase,20200919,-
1448312,37169589,BO86DRAFT_107216,BO86DRAFT_107216,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169590,BO86DRAFT_107292,BO86DRAFT_107292,-,-,Unknown,-,putative bZIP transcription factor,protein-coding,-,-,-,putative bZIP transcription factor,20200919,-
1448312,37169591,BO86DRAFT_107308,BO86DRAFT_107308,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169592,BO86DRAFT_107580,BO86DRAFT_107580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169593,BO86DRAFT_107598,BO86DRAFT_107598,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169594,BO86DRAFT_107604,BO86DRAFT_107604,-,-,Unknown,-,protein phosphatase 2A regulatory subunit PR55,protein-coding,-,-,-,protein phosphatase 2A regulatory subunit PR55,20200919,-
1448312,37169595,BO86DRAFT_107769,BO86DRAFT_107769,-,-,Unknown,-,WD repeat protein,protein-coding,-,-,-,WD repeat protein,20200919,-
1448312,37169596,BO86DRAFT_107855,BO86DRAFT_107855,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169597,BO86DRAFT_108396,BO86DRAFT_108396,-,-,Unknown,-,HCP-like protein,protein-coding,-,-,-,HCP-like protein,20200919,-
1448312,37169598,BO86DRAFT_108595,BO86DRAFT_108595,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169599,BO86DRAFT_108757,BO86DRAFT_108757,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169600,BO86DRAFT_108760,BO86DRAFT_108760,-,-,Unknown,-,serine/threonine-protein kinase gad8,protein-coding,-,-,-,serine/threonine-protein kinase gad8,20200919,-
1448312,37169601,BO86DRAFT_108886,BO86DRAFT_108886,-,-,Unknown,-,putative C2H2 transcription factor,protein-coding,-,-,-,putative C2H2 transcription factor,20200919,-
1448312,37169602,BO86DRAFT_108927,BO86DRAFT_108927,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169603,BO86DRAFT_108939,BO86DRAFT_108939,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169604,BO86DRAFT_109298,BO86DRAFT_109298,-,-,Unknown,-,CBD9-like protein,protein-coding,-,-,-,CBD9-like protein,20200919,-
1448312,37169605,BO86DRAFT_10930,BO86DRAFT_10930,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169606,BO86DRAFT_109475,BO86DRAFT_109475,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169607,BO86DRAFT_109480,BO86DRAFT_109480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169608,BO86DRAFT_109708,BO86DRAFT_109708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169609,BO86DRAFT_109959,BO86DRAFT_109959,-,-,Unknown,-,ARM repeat-containing protein,protein-coding,-,-,-,ARM repeat-containing protein,20200919,-
1448312,37169610,BO86DRAFT_110197,BO86DRAFT_110197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169611,BO86DRAFT_110244,BO86DRAFT_110244,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169612,BO86DRAFT_110316,BO86DRAFT_110316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169613,BO86DRAFT_110337,BO86DRAFT_110337,-,-,Unknown,-,sulfate transporter family protein,protein-coding,-,-,-,sulfate transporter family protein,20200919,-
1448312,37169614,BO86DRAFT_110526,BO86DRAFT_110526,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169615,BO86DRAFT_110552,BO86DRAFT_110552,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200919,-
1448312,37169616,BO86DRAFT_110671,BO86DRAFT_110671,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169617,BO86DRAFT_110672,BO86DRAFT_110672,-,-,Unknown,-,rho guanyl nucleotide exchange factor,protein-coding,-,-,-,rho guanyl nucleotide exchange factor,20200919,-
1448312,37169618,BO86DRAFT_110770,BO86DRAFT_110770,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169619,BO86DRAFT_110825,BO86DRAFT_110825,-,-,Unknown,-,"oxidative stress survival, Svf1-like protein",protein-coding,-,-,-,"oxidative stress survival, Svf1-like protein",20200919,-
1448312,37169620,BO86DRAFT_111050,BO86DRAFT_111050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169621,BO86DRAFT_111051,BO86DRAFT_111051,-,-,Unknown,-,DNA mismatch repair protein MutL,protein-coding,-,-,-,DNA mismatch repair protein MutL,20200919,-
1448312,37169622,BO86DRAFT_111078,BO86DRAFT_111078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169623,BO86DRAFT_111390,BO86DRAFT_111390,-,-,Unknown,-,GDPD-domain-containing protein,protein-coding,-,-,-,GDPD-domain-containing protein,20200919,-
1448312,37169624,BO86DRAFT_111410,BO86DRAFT_111410,-,-,Unknown,-,N-terminal nucleophile aminohydrolase,protein-coding,-,-,-,N-terminal nucleophile aminohydrolase,20200919,-
1448312,37169625,BO86DRAFT_111458,BO86DRAFT_111458,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20200919,-
1448312,37169626,BO86DRAFT_111485,BO86DRAFT_111485,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169627,BO86DRAFT_111521,BO86DRAFT_111521,-,-,Unknown,-,histidine acid phosphatase,protein-coding,-,-,-,histidine acid phosphatase,20200919,-
1448312,37169628,BO86DRAFT_111737,BO86DRAFT_111737,-,-,Unknown,-,quinone oxidoreductase,protein-coding,-,-,-,quinone oxidoreductase,20200919,-
1448312,37169629,BO86DRAFT_111857,BO86DRAFT_111857,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169630,BO86DRAFT_111938,BO86DRAFT_111938,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169631,BO86DRAFT_11197,BO86DRAFT_11197,-,-,Unknown,-,longevity assurance proteins LAG1/LAC1,protein-coding,-,-,-,longevity assurance proteins LAG1/LAC1,20200919,-
1448312,37169632,BO86DRAFT_112048,BO86DRAFT_112048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169633,BO86DRAFT_112184,BO86DRAFT_112184,-,-,Unknown,-,MHYT domain signaling protein,protein-coding,-,-,-,MHYT domain signaling protein,20200919,-
1448312,37169634,BO86DRAFT_112251,BO86DRAFT_112251,-,-,Unknown,-,COPI-coated vesicle protein,protein-coding,-,-,-,COPI-coated vesicle protein,20200919,-
1448312,37169635,BO86DRAFT_112520,BO86DRAFT_112520,-,-,Unknown,-,PTH11-like integral membrane protein,protein-coding,-,-,-,PTH11-like integral membrane protein,20200919,-
1448312,37169636,BO86DRAFT_112573,BO86DRAFT_112573,-,-,Unknown,-,protein ras-1,protein-coding,-,-,-,protein ras-1,20200919,-
1448312,37169637,BO86DRAFT_11360,BO86DRAFT_11360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169638,BO86DRAFT_11370,BO86DRAFT_11370,-,-,Unknown,-,aromatic amino acid transport protein aroP,protein-coding,-,-,-,aromatic amino acid transport protein aroP,20200919,-
1448312,37169639,BO86DRAFT_113757,BO86DRAFT_113757,-,-,Unknown,-,putative NAD dependent epimerase/dehydratase,protein-coding,-,-,-,putative NAD dependent epimerase/dehydratase,20200919,-
1448312,37169640,BO86DRAFT_113778,BO86DRAFT_113778,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200919,-
1448312,37169641,BO86DRAFT_113842,BO86DRAFT_113842,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169642,BO86DRAFT_114018,BO86DRAFT_114018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169643,BO86DRAFT_114033,BO86DRAFT_114033,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169644,BO86DRAFT_114099,BO86DRAFT_114099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169645,BO86DRAFT_114112,BO86DRAFT_114112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169646,BO86DRAFT_114235,BO86DRAFT_114235,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169647,BO86DRAFT_114246,BO86DRAFT_114246,-,-,Unknown,-,eukaryotic translation initiation factor 3,protein-coding,-,-,-,eukaryotic translation initiation factor 3,20200919,-
1448312,37169648,BO86DRAFT_114266,BO86DRAFT_114266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169649,BO86DRAFT_114364,BO86DRAFT_114364,-,-,Unknown,-,NPD-domain-containing protein,protein-coding,-,-,-,NPD-domain-containing protein,20200919,-
1448312,37169650,BO86DRAFT_114871,BO86DRAFT_114871,-,-,Unknown,-,phytanoyl-CoA dioxygenase family protein,protein-coding,-,-,-,phytanoyl-CoA dioxygenase family protein,20200919,-
1448312,37169651,BO86DRAFT_114970,BO86DRAFT_114970,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169652,BO86DRAFT_115107,BO86DRAFT_115107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169653,BO86DRAFT_115478,BO86DRAFT_115478,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169654,BO86DRAFT_1156,BO86DRAFT_1156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169655,BO86DRAFT_11567,BO86DRAFT_11567,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169656,BO86DRAFT_115849,BO86DRAFT_115849,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169657,BO86DRAFT_116710,BO86DRAFT_116710,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169658,BO86DRAFT_116946,BO86DRAFT_116946,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169659,BO86DRAFT_116950,BO86DRAFT_116950,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169660,BO86DRAFT_117085,BO86DRAFT_117085,-,-,Unknown,-,SPX-domain-containing protein,protein-coding,-,-,-,SPX-domain-containing protein,20200919,-
1448312,37169661,BO86DRAFT_117128,BO86DRAFT_117128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169662,BO86DRAFT_117260,BO86DRAFT_117260,-,-,Unknown,-,ubiquitin carboxyl-terminal hydrolase 19,protein-coding,-,-,-,ubiquitin carboxyl-terminal hydrolase 19,20200919,-
1448312,37169663,BO86DRAFT_117296,BO86DRAFT_117296,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169664,BO86DRAFT_117297,BO86DRAFT_117297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169665,BO86DRAFT_117310,BO86DRAFT_117310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169666,BO86DRAFT_117313,BO86DRAFT_117313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169667,BO86DRAFT_117343,BO86DRAFT_117343,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169668,BO86DRAFT_117532,BO86DRAFT_117532,-,-,Unknown,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20200919,-
1448312,37169669,BO86DRAFT_117594,BO86DRAFT_117594,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169670,BO86DRAFT_117731,BO86DRAFT_117731,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169671,BO86DRAFT_117818,BO86DRAFT_117818,-,-,Unknown,-,"DNA-directed RNA polymerase II, largest subunit",protein-coding,-,-,-,"DNA-directed RNA polymerase II, largest subunit",20200919,-
1448312,37169672,BO86DRAFT_117926,BO86DRAFT_117926,-,-,Unknown,-,regulator of secondary metabolism LaeA,protein-coding,-,-,-,regulator of secondary metabolism LaeA,20200919,-
1448312,37169673,BO86DRAFT_117985,BO86DRAFT_117985,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169674,BO86DRAFT_118160,BO86DRAFT_118160,-,-,Unknown,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20200919,-
1448312,37169675,BO86DRAFT_11824,BO86DRAFT_11824,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169676,BO86DRAFT_118240,BO86DRAFT_118240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169677,BO86DRAFT_118463,BO86DRAFT_118463,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169678,BO86DRAFT_11854,BO86DRAFT_11854,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169679,BO86DRAFT_118596,BO86DRAFT_118596,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169680,BO86DRAFT_118794,BO86DRAFT_118794,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169681,BO86DRAFT_118846,BO86DRAFT_118846,-,-,Unknown,-,putative peptidyl-prolyl cis-trans isomerase,protein-coding,-,-,-,putative peptidyl-prolyl cis-trans isomerase,20200919,-
1448312,37169682,BO86DRAFT_118905,BO86DRAFT_118905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169683,BO86DRAFT_118912,BO86DRAFT_118912,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169684,BO86DRAFT_118927,BO86DRAFT_118927,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20200919,-
1448312,37169685,BO86DRAFT_118979,BO86DRAFT_118979,-,-,Unknown,-,GPI anchored CFEM domain protein,protein-coding,-,-,-,GPI anchored CFEM domain protein,20200919,-
1448312,37169686,BO86DRAFT_119083,BO86DRAFT_119083,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20200919,-
1448312,37169687,BO86DRAFT_119241,BO86DRAFT_119241,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169688,BO86DRAFT_119296,BO86DRAFT_119296,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
1448312,37169689,BO86DRAFT_119411,BO86DRAFT_119411,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37169690,BO86DRAFT_119454,BO86DRAFT_119454,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20200919,-
1448312,37169691,BO86DRAFT_119615,BO86DRAFT_119615,-,-,Unknown,-,putative cytochrome P450,protein-coding,-,-,-,putative cytochrome P450,20200919,-
1448312,37169692,BO86DRAFT_119666,BO86DRAFT_119666,-,-,Unknown,-,"MFS peptide transporter, putative",protein-coding,-,-,-,"MFS peptide transporter, putative",20200919,-
1448312,37169693,BO86DRAFT_11969,BO86DRAFT_11969,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20200919,-
1448312,37169694,BO86DRAFT_119830,BO86DRAFT_119830,-,-,Unknown,-,root hair defective 3 GTP-binding protein,protein-coding,-,-,-,root hair defective 3 GTP-binding protein,20200919,-
