#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419949,55006426,2,HOU46_gp02,PBI_BRIDGETTE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419949,55006462,39,HOU46_gp39,PBI_BRIDGETTE_39,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419949,55006463,40,HOU46_gp40,PBI_BRIDGETTE_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2419949,55006464,41,HOU46_gp41,PBI_BRIDGETTE_41,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2419949,55006465,42,HOU46_gp42,PBI_BRIDGETTE_42,-,-,-,excise,protein-coding,-,-,-,excise,20201221,-
2419949,55006466,43,HOU46_gp43,PBI_BRIDGETTE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006467,44,HOU46_gp44,PBI_BRIDGETTE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006468,45,HOU46_gp45,PBI_BRIDGETTE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006469,46,HOU46_gp46,PBI_BRIDGETTE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006470,47,HOU46_gp47,PBI_BRIDGETTE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006471,48,HOU46_gp48,PBI_BRIDGETTE_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2419949,55006472,49,HOU46_gp49,PBI_BRIDGETTE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006473,50,HOU46_gp50,PBI_BRIDGETTE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006474,51,HOU46_gp51,PBI_BRIDGETTE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006475,52,HOU46_gp52,PBI_BRIDGETTE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006476,53,HOU46_gp53,PBI_BRIDGETTE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419949,55006477,54,HOU46_gp54,PBI_BRIDGETTE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006478,55,HOU46_gp55,PBI_BRIDGETTE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006479,56,HOU46_gp56,PBI_BRIDGETTE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419949,55006480,57,HOU46_gp57,PBI_BRIDGETTE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006481,58,HOU46_gp58,PBI_BRIDGETTE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006482,59,HOU46_gp59,PBI_BRIDGETTE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006483,60,HOU46_gp60,PBI_BRIDGETTE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006484,61,HOU46_gp61,PBI_BRIDGETTE_61,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210403,-
2419949,55006485,62,HOU46_gp62,PBI_BRIDGETTE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006486,63,HOU46_gp63,PBI_BRIDGETTE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006487,64,HOU46_gp64,PBI_BRIDGETTE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006488,65,HOU46_gp65,PBI_BRIDGETTE_65,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2419949,55006489,66,HOU46_gp66,PBI_BRIDGETTE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006490,67,HOU46_gp67,PBI_BRIDGETTE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006491,68,HOU46_gp68,PBI_BRIDGETTE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006492,69,HOU46_gp69,PBI_BRIDGETTE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006493,70,HOU46_gp70,PBI_BRIDGETTE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006494,71,HOU46_gp71,PBI_BRIDGETTE_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2419949,55006495,33,HOU46_gp33,PBI_BRIDGETTE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419949,55006496,1,HOU46_gp01,PBI_BRIDGETTE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2419949,55154212,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
