#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445684,10328349,gp33,Syn19_221,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445684,10328388,Syn19_181,Syn19_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328389,Syn19_180,Syn19_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328390,Syn19_179,Syn19_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328391,Syn19_178,Syn19_178,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200909,-
445684,10328392,Syn19_177,Syn19_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328393,Syn19_176,Syn19_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328394,gp185,Syn19_175,-,-,-,-,gp185,protein-coding,-,-,-,gp185,20200909,-
445684,10328395,Syn19_174,Syn19_174,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
445684,10328396,Syn19_173,Syn19_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328397,Syn19_172,Syn19_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328398,Syn19_171,Syn19_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328399,Syn19_170,Syn19_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328400,Syn19_169,Syn19_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328401,Syn19_168,Syn19_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328402,mazG,Syn19_167,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
445684,10328403,gp41,Syn19_166,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
445684,10328404,Syn19_165,Syn19_165,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445684,10328405,uvsX,Syn19_164,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
445684,10328406,Syn19_163,Syn19_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328407,gp43,Syn19_162,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
445684,10328408,Syn19_161,Syn19_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328409,Syn19_160,Syn19_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328410,pstS,Syn19_159,-,-,-,-,phosphate transporter subunit,protein-coding,-,-,-,phosphate transporter subunit,20200909,-
445684,10328411,Syn19_158,Syn19_158,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445684,10328412,hsp20,Syn19_157,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
445684,10328413,Syn19_156,Syn19_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328414,Syn19_155,Syn19_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328415,dam,Syn19_154,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445684,10328416,Syn19_153,Syn19_153,-,-,-,-,R.RsaI endonuclease,protein-coding,-,-,-,R.RsaI endonuclease,20200909,-
445684,10328417,Syn19_152,Syn19_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328418,Syn19_151,Syn19_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328419,Syn19_150,Syn19_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328420,Syn19_149,Syn19_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328421,Syn19_148,Syn19_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328422,Syn19_147,Syn19_147,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20200909,-
445684,10328423,Syn19_146,Syn19_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328424,Syn19_145,Syn19_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328425,regA,Syn19_144,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
445684,10328426,gp62,Syn19_143,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445684,10328427,dam,Syn19_142,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445684,10328428,Syn19_141,Syn19_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328429,gp44,Syn19_140,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445684,10328430,gp45,Syn19_139,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
445684,10328431,Syn19_138,Syn19_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328432,cobS,Syn19_137,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200909,-
445684,10328433,Syn19_136,Syn19_136,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
445684,10328434,Syn19_135,Syn19_135,-,-,-,-,Rnf-Nqr,protein-coding,-,-,-,Rnf-Nqr,20200909,-
445684,10328435,gp46,Syn19_134,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445684,10328436,Syn19_133,Syn19_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328437,gp47,Syn19_132,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445684,10328438,gp55,Syn19_131,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
445684,10328439,Syn19_130,Syn19_130,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20200909,-
445684,10328440,uvsW,Syn19_129,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
445684,10328441,Syn19_128,Syn19_128,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445684,10328442,uvsY,Syn19_127,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200909,-
445684,10328443,Syn19_126,Syn19_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328444,gp3,Syn19_125,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
445684,10328445,Syn19_124,Syn19_124,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445684,10328446,Syn19_123,Syn19_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328447,Syn19_122,Syn19_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328448,gp23,Syn19_121,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
445684,10328449,gp22,Syn19_120,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
445684,10328450,gp21,Syn19_119,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
445684,10328451,Syn19_118,Syn19_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328452,gp20,Syn19_117,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
445684,10328453,gp19,Syn19_116,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
445684,10328454,gp18,Syn19_115,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
445684,10328455,gp17,Syn19_114,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
445684,10328456,Syn19_113,Syn19_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328457,Syn19_112,Syn19_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328458,Syn19_111,Syn19_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328459,Syn19_110,Syn19_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328460,Syn19_109,Syn19_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328461,zwf,Syn19_108,-,-,-,-,glucose-6-phosphate dehydrogenase,protein-coding,-,-,-,glucose-6-phosphate dehydrogenase,20200909,-
445684,10328462,gnd,Syn19_107,-,-,-,-,6-phosphogluconate dehydrogenase,protein-coding,-,-,-,6-phosphogluconate dehydrogenase,20200909,-
445684,10328463,Syn19_106,Syn19_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328464,Syn19_105,Syn19_105,-,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20200909,-
445684,10328465,Syn19_104,Syn19_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328466,petE,Syn19_103,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200909,-
445684,10328467,Syn19_102,Syn19_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328468,Syn19_101,Syn19_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328469,Syn19_100,Syn19_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328470,gp16,Syn19_099,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
445684,10328471,gp15,Syn19_098,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
445684,10328472,gp14,Syn19_097,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445684,10328473,gp13,Syn19_096,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445684,10328474,Syn19_095,Syn19_095,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200909,-
445684,10328475,Syn19_094,Syn19_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328476,Syn19_093,Syn19_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328477,Syn19_092,Syn19_092,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20200909,-
445684,10328478,gp8,Syn19_091,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445684,10328479,Syn19_090,Syn19_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328480,gp9,Syn19_089,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
445684,10328481,Syn19_088,Syn19_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328482,gp6,Syn19_087,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445684,10328483,gp25,Syn19_086,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200909,-
445684,10328484,Syn19_085,Syn19_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328485,Syn19_084,Syn19_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328486,Syn19_083,Syn19_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328487,Syn19_082,Syn19_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328488,Syn19_081,Syn19_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328489,Syn19_080,Syn19_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328490,Syn19_079,Syn19_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328491,Syn19_078,Syn19_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328492,Syn19_077,Syn19_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328493,Syn19_076,Syn19_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328494,Syn19_075,Syn19_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328495,Syn19_074,Syn19_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328496,Syn19_073,Syn19_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328497,Syn19_072,Syn19_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328498,Syn19_071,Syn19_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328499,Syn19_070,Syn19_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328500,Syn19_069,Syn19_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328501,Syn19_068,Syn19_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328502,Syn19_067,Syn19_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328503,Syn19_066,Syn19_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328504,Syn19_065,Syn19_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328505,Syn19_064,Syn19_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328506,Syn19_063,Syn19_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328507,Syn19_062,Syn19_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328508,Syn19_061,Syn19_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328509,Syn19_060,Syn19_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328510,Syn19_059,Syn19_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328511,Syn19_058,Syn19_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328512,Syn19_057,Syn19_057,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
445684,10328513,Syn19_056,Syn19_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328514,Syn19_055,Syn19_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328515,Syn19_054,Syn19_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328516,Syn19_053,Syn19_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328517,Syn19_052,Syn19_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328518,Syn19_051,Syn19_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328519,Syn19_050,Syn19_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328520,Syn19_049,Syn19_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328521,Syn19_048,Syn19_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328522,denV,Syn19_047,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445684,10328523,Syn19_046,Syn19_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328524,Syn19_045,Syn19_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328525,Syn19_044,Syn19_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328526,Syn19_043,Syn19_043,-,-,-,-,sericin 1 precursor-like protein,protein-coding,-,-,-,sericin 1 precursor-like protein,20200909,-
445684,10328527,Syn19_042,Syn19_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328528,Syn19_041,Syn19_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328529,Syn19_040,Syn19_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328530,Syn19_039,Syn19_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328531,Syn19_038,Syn19_038,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
445684,10328532,Syn19_037,Syn19_037,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445684,10328533,Syn19_036,Syn19_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328534,Syn19_035,Syn19_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328535,Syn19_034,Syn19_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328536,purM,Syn19_033,-,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200909,-
445684,10328537,Syn19_028,Syn19_028,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445684,10328538,Syn19_027,Syn19_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328539,denV,Syn19_026,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445684,10328540,Syn19_025,Syn19_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328541,Syn19_024,Syn19_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328542,gp5,Syn19_023,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200909,-
445684,10328543,Syn19_022,Syn19_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328544,Syn19_021,Syn19_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328545,Syn19_019,Syn19_019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445684,10328546,cpeT,Syn19_018,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200909,-
445684,10328547,Syn19_017,Syn19_017,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
445684,10328548,Syn19_016,Syn19_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328549,Syn19_015,Syn19_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328550,Syn19_014,Syn19_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328551,Syn19_013,Syn19_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328552,gp26,Syn19_012,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
445684,10328553,Syn19_011,Syn19_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328554,gp4,Syn19_010,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
445684,10328555,gp48,Syn19_009,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
445684,10328556,gp53,Syn19_008,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
445684,10328557,Syn19_007,Syn19_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328558,Syn19_006,Syn19_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445684,10328559,gp7,Syn19_005,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
445684,10328560,Syn19_004,Syn19_004,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
445684,10328561,gp32,Syn19_003,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
