#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1079894,18565038,2,CL59_gp02,REDI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1079894,18565089,53,CL59_gp53,REDI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565090,54,CL59_gp54,REDI_54,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200927,-
1079894,18565091,55,CL59_gp55,REDI_55,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
1079894,18565092,56,CL59_gp56,REDI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565093,57,CL59_gp57,REDI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565094,58,CL59_gp58,REDI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565095,59,CL59_gp59,REDI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565096,60,CL59_gp60,REDI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565097,61,CL59_gp61,REDI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565098,62,CL59_gp62,REDI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565099,63,CL59_gp63,REDI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565100,64,CL59_gp64,REDI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565101,65,CL59_gp65,REDI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565102,66,CL59_gp66,REDI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565103,67,CL59_gp67,REDI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565104,68,CL59_gp68,REDI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18565105,70,CL59_gp69,REDI_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1079894,18565106,1,CL59_gp01,REDI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079894,18669563,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Redi).,other,-,-,-,-,20200513,-
