#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647286,26517362,AU104_gp002,AU104_gp002,GMA7_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1647286,26517425,AU104_gp053,AU104_gp053,GMA7_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517426,AU104_gp052,AU104_gp052,GMA7_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517427,AU104_gp051,AU104_gp051,GMA7_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517428,AU104_gp050,AU104_gp050,GMA7_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517429,AU104_gp049,AU104_gp049,GMA7_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517430,AU104_gp048,AU104_gp048,GMA7_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517431,AU104_gp047,AU104_gp047,GMA7_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517432,AU104_gp046,AU104_gp046,GMA7_72,-,-,-,putative ATPase family protein,protein-coding,-,-,-,putative ATPase family protein,20200910,-
1647286,26517433,AU104_gp045,AU104_gp045,GMA7_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517434,AU104_gp044,AU104_gp044,GMA7_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517435,AU104_gp043,AU104_gp043,GMA7_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517436,AU104_gp042,AU104_gp042,GMA7_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517437,AU104_gp041,AU104_gp041,GMA7_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517438,AU104_gp040,AU104_gp040,GMA7_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517439,AU104_gp039,AU104_gp039,GMA7_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517440,AU104_gp038,AU104_gp038,GMA7_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517441,AU104_gp037,AU104_gp037,GMA7_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517442,AU104_gp036,AU104_gp036,GMA7_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517443,AU104_gp035,AU104_gp035,GMA7_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517444,AU104_gp034,AU104_gp034,GMA7_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517445,AU104_gp033,AU104_gp033,GMA7_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517446,AU104_gp032,AU104_gp032,GMA7_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517447,AU104_gp031,AU104_gp031,GMA7_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517448,AU104_gp030,AU104_gp030,GMA7_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517449,AU104_gp029,AU104_gp029,GMA7_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517450,AU104_gp028,AU104_gp028,GMA7_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517451,AU104_gp027,AU104_gp027,GMA7_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517452,AU104_gp026,AU104_gp026,GMA7_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517453,AU104_gp025,AU104_gp025,GMA7_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517454,AU104_gp024,AU104_gp024,GMA7_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517455,AU104_gp023,AU104_gp023,GMA7_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517456,AU104_gp022,AU104_gp022,GMA7_97,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20200910,-
1647286,26517457,AU104_gp021,AU104_gp021,GMA7_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517458,AU104_gp020,AU104_gp020,GMA7_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517459,AU104_gp019,AU104_gp019,GMA7_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517460,AU104_gp018,AU104_gp018,GMA7_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517461,AU104_gp017,AU104_gp017,GMA7_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647286,26517462,AU104_gp100,AU104_gp100,GMA7_18,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1647286,26517463,AU104_gp001,AU104_gp001,GMA7_1,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20200910,-
1647286,26591603,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
