#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10255,1486384,C4R,VARVgp024,-,-,-,-,unchracterized protein,protein-coding,-,-,-,unchracterized protein,20201220,-
10255,1486411,E5R,VARVgp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486412,E6R,VARVgp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486413,E7R,VARVgp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486414,E8R,VARVgp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486415,E9L,VARVgp050,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
10255,1486416,F10R,VARVgp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486417,F1R,VARVgp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486418,F2L,VARVgp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486419,F3R,VARVgp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486420,F4R,VARVgp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486421,F5R,VARVgp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486422,F6R,VARVgp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486423,F7R,VARVgp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486424,F8L,VARVgp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486425,F9R,VARVgp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486426,G3R,VARVgp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486427,G4R,VARVgp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486428,G5R,VARVgp197,-,-,-,-,chemokine binding protein,protein-coding,-,-,-,chemokine binding protein,20201220,-
10255,1486429,H1L,VARVgp063,-,-,-,-,putative metalloprotease,protein-coding,-,-,-,putative metalloprotease,20201220,-
10255,1486430,H2L,VARVgp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486431,H3R,VARVgp065,-,-,-,-,transcriptional elongation factor,protein-coding,-,-,-,transcriptional elongation factor,20201220,-
10255,1486432,H4L,VARVgp066,-,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20201220,-
10255,1486433,H5R,VARVgp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486434,H5_5R,VARVgp068,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201220,-
10255,1486435,H6R,VARVgp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486436,H7L,VARVgp070,-,-,-,-,putative virion core protein,protein-coding,-,-,-,putative virion core protein,20201220,-
10255,1486437,H8R,VARVgp071,-,-,-,-,late transcription factor VLTF-1,protein-coding,-,-,-,late transcription factor VLTF-1,20201220,-
10255,1486438,H9R,VARVgp072,-,-,-,-,poxvirus myristoylprotein,protein-coding,-,-,-,poxvirus myristoylprotein,20201220,-
10255,1486439,I1L,VARVgp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486440,I2R,VARVgp085,-,-,-,-,putative viral membrane protein,protein-coding,-,-,-,putative viral membrane protein,20201220,-
10255,1486441,I3L,VARVgp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486442,I4L,VARVgp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486443,I5R,VARVgp088,-,-,-,-,late transcription factor VLTF-4,protein-coding,-,-,-,late transcription factor VLTF-4,20201220,-
10255,1486444,I6R,VARVgp089,-,-,-,-,DNA topoisomerase type I,protein-coding,-,-,-,DNA topoisomerase type I,20201220,-
10255,1486445,I7R,VARVgp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486446,J10R,VARVgp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486447,J1L,VARVgp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486448,J2R,VARVgp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486449,J3R,VARVgp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486450,J4R,VARVgp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486451,J5R,VARVgp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486452,J6R,VARVgp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486453,J7R,VARVgp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486454,J8R,VARVgp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486455,J9R,VARVgp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486456,K1L,VARVgp055,-,-,-,-,putative DNA-binding virion core protein,protein-coding,-,-,-,putative DNA-binding virion core protein,20201220,-
10255,1486457,K2L,VARVgp056,-,-,-,-,IMV membrane protein,protein-coding,-,-,-,IMV membrane protein,20201220,-
10255,1486458,K3L,VARVgp057,-,-,-,-,DNA-binding phosphoprotein,protein-coding,-,-,-,DNA-binding phosphoprotein,20201220,-
10255,1486459,K4L,VARVgp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486460,K5L,VARVgp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486461,K6L,VARVgp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486462,K7L,VARVgp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486463,K8R,VARVgp062,-,-,-,-,RNA helicase NPH-II,protein-coding,-,-,-,RNA helicase NPH-II,20201220,-
10255,1486464,L1R,VARVgp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486465,L2R,VARVgp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486466,L3R,VARVgp080,-,-,-,-,poly(A) polymerase small subunit,protein-coding,-,-,-,poly(A) polymerase small subunit,20201220,-
10255,1486467,L4R,VARVgp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486468,L5L,VARVgp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486469,L6R,VARVgp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486470,M1R,VARVgp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486471,M2R,VARVgp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486472,M3L,VARVgp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486473,M4R,VARVgp076,-,-,-,-,DNA-binding virion core protein,protein-coding,-,-,-,DNA-binding virion core protein,20201220,-
10255,1486474,M5R,VARVgp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486475,N1L,VARVgp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486476,N2L,VARVgp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486477,N3L,VARVgp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486478,O1L,VARVgp018,-,-,-,-,ankyin-like protein,protein-coding,-,-,-,ankyin-like protein,20201220,-
10255,1486479,O2L,VARVgp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486480,O3L,VARVgp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486481,P1L,VARVgp016,-,-,-,-,putative virulence factor,protein-coding,-,-,-,putative virulence factor,20201220,-
10255,1486482,P2L,VARVgp017,-,-,-,-,putative alpha aminitin-sensitive protein,protein-coding,-,-,-,putative alpha aminitin-sensitive protein,20201220,-
10255,1486483,Q1L,VARVgp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486484,Q2L,VARVgp054,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201220,-
10255,1486485,A10L,VARVgp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486486,A11R,VARVgp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486487,A12L,VARVgp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486488,A13L,VARVgp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486489,A14L,VARVgp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486490,A15L,VARVgp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486491,A16L,VARVgp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486492,A17L,VARVgp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486493,A18R,VARVgp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486494,A19L,VARVgp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486495,A1L,VARVgp104,-,-,-,-,late transcription factor VLTF-2,protein-coding,-,-,-,late transcription factor VLTF-2,20201220,-
10255,1486496,A20L,VARVgp124,-,-,-,-,IMV membrane protein,protein-coding,-,-,-,IMV membrane protein,20201220,-
10255,1486497,A21R,VARVgp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486498,A22R,VARVgp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486499,A23R,VARVgp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486500,A24R,VARVgp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486501,A25L,VARVgp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486502,A26L,VARVgp130,-,-,-,-,A-type inclusion body protein,protein-coding,-,-,-,A-type inclusion body protein,20201220,-
10255,1486503,A27L,VARVgp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486504,A28L,VARVgp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486505,A29L,VARVgp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486506,A2L,VARVgp105,-,-,-,-,late transcription factor VLTF-3,protein-coding,-,-,-,late transcription factor VLTF-3,20201220,-
10255,1486507,A2_5L,VARVgp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486508,A30L,VARVgp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486509,A31L,VARVgp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486510,A32L,VARVgp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486511,A33L,VARVgp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486512,A34R,VARVgp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486513,A35L,VARVgp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486514,A36R,VARVgp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486515,A37R,VARVgp141,-,-,-,-,IEV and EEV membrane glycoprotein,protein-coding,-,-,-,IEV and EEV membrane glycoprotein,20201220,-
10255,1486516,A38R,VARVgp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486517,A39R,VARVgp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486518,A39_5L,VARVgp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486519,A3L,VARVgp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486520,A40R,VARVgp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486521,A40_5R,VARVgp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486522,A41L,VARVgp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486523,A42R,VARVgp148,-,-,-,-,semaphorin-like protein,protein-coding,-,-,-,semaphorin-like protein,20201220,-
10255,1486524,A43R,VARVgp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486525,A44R,VARVgp150,-,-,-,-,semaphorin-like protein,protein-coding,-,-,-,semaphorin-like protein,20201220,-
10255,1486526,A45R,VARVgp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486527,A46L,VARVgp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486528,A47R,VARVgp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486529,A48R,VARVgp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486530,A49L,VARVgp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486531,A4L,VARVgp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486532,A50L,VARVgp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486533,A51R,VARVgp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486534,A52R,VARVgp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486535,A5R,VARVgp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486536,A6L,VARVgp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486537,A7L,VARVgp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486538,A8R,VARVgp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486539,A9L,VARVgp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486540,B10R,VARVgp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486541,B11R,VARVgp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486542,B12R,VARVgp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486543,B13R,VARVgp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486544,B14R,VARVgp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486545,B15R,VARVgp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486546,B16L,VARVgp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486547,B17R,VARVgp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486548,B18L,VARVgp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486549,B19R,VARVgp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486550,B1R,VARVgp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486551,B20R,VARVgp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486552,B21R,VARVgp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486553,B22R,VARVgp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486554,B23R,VARVgp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486555,B24R,VARVgp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486556,B25R,VARVgp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486557,B26R,VARVgp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486558,B2L,VARVgp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486559,B3L,VARVgp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486560,B4L,VARVgp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486561,B5L,VARVgp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486562,B6R,VARVgp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486563,B7R,VARVgp175,-,-,-,-,EEV membrane glycoprotein,protein-coding,-,-,-,EEV membrane glycoprotein,20201220,-
10255,1486564,B8R,VARVgp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486565,B9R,VARVgp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486566,C10L,VARVgp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486567,C11L,VARVgp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486568,C12L,VARVgp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486569,C13L,VARVgp033,-,-,-,-,S-S bond formation pathway protein,protein-coding,-,-,-,S-S bond formation pathway protein,20201220,-
10255,1486570,C14L,VARVgp034,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20201220,-
10255,1486571,C15L,VARVgp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486572,C16L,VARVgp036,-,-,-,-,EEV maturation protein,protein-coding,-,-,-,EEV maturation protein,20201220,-
10255,1486573,C17L,VARVgp037,-,-,-,-,palmytilated EEV membrane glycoprotein,protein-coding,-,-,-,palmytilated EEV membrane glycoprotein,20201220,-
10255,1486574,C18L,VARVgp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486575,C19L,VARVgp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486576,C1L,VARVgp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486577,C20L,VARVgp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10255,1486578,C21R,VARVgp041,-,-,-,-,DNA-binding virion core protein,protein-coding,-,-,-,DNA-binding virion core protein,20201220,-
10255,1486579,C2L,VARVgp022,-,-,-,-,serine protease inhibitor-like protein,protein-coding,-,-,-,serine protease inhibitor-like protein,20201220,-
10255,1486580,C3L,VARVgp023,-,-,-,-,interferon resistance protein,protein-coding,-,-,-,interferon resistance protein,20201220,-
10255,2828245,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (small pox virus; smallpox; smallpox virus; variola virus VAR).,other,-,-,-,-,20200513,-
