#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2565781,42364381,LC1Nh_RS00005,LC1Nh_RS00005,LC1Nh_0001,-,-,-,ORC1-type DNA replication protein,protein-coding,-,-,-,ORC1-type DNA replication protein,20191110,-
2565781,42364405,LC1Nh_RS00125,LC1Nh_RS00125,LC1Nh_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364406,thpR,LC1Nh_RS00130,LC1Nh_0026,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",protein-coding,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",20200926,-
2565781,42364407,LC1Nh_RS00135,LC1Nh_RS00135,LC1Nh_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364408,LC1Nh_RS00140,LC1Nh_RS00140,LC1Nh_0028,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20200926,-
2565781,42364409,LC1Nh_RS00145,LC1Nh_RS00145,LC1Nh_0029,-,-,-,LPXTG cell wall anchor domain-containing protein,protein-coding,-,-,-,LPXTG cell wall anchor domain-containing protein,20200926,-
2565781,42364410,LC1Nh_RS00150,LC1Nh_RS00150,LC1Nh_0030,-,-,-,FtsX-like permease family protein,protein-coding,-,-,-,FtsX-like permease family protein,20200926,-
2565781,42364411,LC1Nh_RS00155,LC1Nh_RS00155,LC1Nh_0031,-,-,-,FtsX-like permease family protein,protein-coding,-,-,-,FtsX-like permease family protein,20200926,-
2565781,42364412,LC1Nh_RS00160,LC1Nh_RS00160,LC1Nh_0032,-,-,-,carboxypeptidase M32,protein-coding,-,-,-,carboxypeptidase M32,20200926,-
2565781,42364413,LC1Nh_RS00165,LC1Nh_RS00165,LC1Nh_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364414,pepF,LC1Nh_RS00170,LC1Nh_0034,-,-,-,oligoendopeptidase F,protein-coding,-,-,-,oligoendopeptidase F,20200926,-
2565781,42364415,LC1Nh_RS00175,LC1Nh_RS00175,LC1Nh_0035,-,-,-,M20/M25/M40 family metallo-hydrolase,protein-coding,-,-,-,M20/M25/M40 family metallo-hydrolase,20200926,-
2565781,42364416,LC1Nh_RS00180,LC1Nh_RS00180,LC1Nh_0036,-,-,-,FxsA family protein,protein-coding,-,-,-,FxsA family protein,20200926,-
2565781,42364417,LC1Nh_RS00185,LC1Nh_RS00185,LC1Nh_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364418,LC1Nh_RS00190,LC1Nh_RS00190,LC1Nh_0038,-,-,-,-,tRNA,-,-,-,-,20191110,-
2565781,42364419,LC1Nh_RS00195,LC1Nh_RS00195,LC1Nh_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364420,dnaJ,LC1Nh_RS00200,LC1Nh_0040,-,-,-,molecular chaperone DnaJ,protein-coding,-,-,-,molecular chaperone DnaJ,20200926,-
2565781,42364421,LC1Nh_RS00205,LC1Nh_RS00205,LC1Nh_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364422,dnaK,LC1Nh_RS00210,LC1Nh_0042,-,-,-,molecular chaperone DnaK,protein-coding,-,-,-,molecular chaperone DnaK,20200926,-
2565781,42364423,LC1Nh_RS00215,LC1Nh_RS00215,LC1Nh_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364424,grpE,LC1Nh_RS00220,LC1Nh_0044,-,-,-,nucleotide exchange factor GrpE,protein-coding,-,-,-,nucleotide exchange factor GrpE,20200926,-
2565781,42364425,LC1Nh_RS00225,LC1Nh_RS00225,LC1Nh_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364426,LC1Nh_RS00230,LC1Nh_RS00230,LC1Nh_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364427,LC1Nh_RS00235,LC1Nh_RS00235,LC1Nh_0048,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200926,-
2565781,42364428,LC1Nh_RS00240,LC1Nh_RS00240,LC1Nh_0049,-,-,-,histone,protein-coding,-,-,-,histone,20200926,-
2565781,42364429,LC1Nh_RS00245,LC1Nh_RS00245,LC1Nh_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364430,LC1Nh_RS00250,LC1Nh_RS00250,LC1Nh_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364431,LC1Nh_RS00255,LC1Nh_RS00255,LC1Nh_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364432,LC1Nh_RS00260,LC1Nh_RS00260,LC1Nh_0053,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20200926,-
2565781,42364433,lpdA,LC1Nh_RS00265,LC1Nh_0054,-,-,-,dihydrolipoyl dehydrogenase,protein-coding,-,-,-,dihydrolipoyl dehydrogenase,20200926,-
2565781,42364434,LC1Nh_RS00270,LC1Nh_RS00270,LC1Nh_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364435,LC1Nh_RS00275,LC1Nh_RS00275,LC1Nh_0056,-,-,-,alpha-ketoacid dehydrogenase subunit beta,protein-coding,-,-,-,alpha-ketoacid dehydrogenase subunit beta,20200926,-
2565781,42364436,pdhA,LC1Nh_RS00280,LC1Nh_0057,-,-,-,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,protein-coding,-,-,-,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,20200926,-
2565781,42364437,LC1Nh_RS00285,LC1Nh_RS00285,LC1Nh_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364438,LC1Nh_RS00290,LC1Nh_RS00290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364439,LC1Nh_RS00295,LC1Nh_RS00295,LC1Nh_0059,-,-,-,CoA-binding protein,protein-coding,-,-,-,CoA-binding protein,20200926,-
2565781,42364440,LC1Nh_RS00300,LC1Nh_RS00300,LC1Nh_0060,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20191110,-
2565781,42364441,LC1Nh_RS00305,LC1Nh_RS00305,LC1Nh_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364442,LC1Nh_RS00310,LC1Nh_RS00310,LC1Nh_0062,-,-,-,DUF502 domain-containing protein,protein-coding,-,-,-,DUF502 domain-containing protein,20200926,-
2565781,42364443,LC1Nh_RS00315,LC1Nh_RS00315,LC1Nh_0063,-,-,-,NAD-dependent malic enzyme,protein-coding,-,-,-,NAD-dependent malic enzyme,20200926,-
2565781,42364444,LC1Nh_RS00320,LC1Nh_RS00320,LC1Nh_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364445,LC1Nh_RS00325,LC1Nh_RS00325,LC1Nh_0065,-,-,-,type II methionyl aminopeptidase,protein-coding,-,-,-,type II methionyl aminopeptidase,20200926,-
2565781,42364446,LC1Nh_RS00330,LC1Nh_RS00330,LC1Nh_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364447,LC1Nh_RS00335,LC1Nh_RS00335,LC1Nh_0067,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20200926,-
2565781,42364448,LC1Nh_RS00340,LC1Nh_RS00340,LC1Nh_0068,-,-,-,CDC48 family AAA ATPase,protein-coding,-,-,-,CDC48 family AAA ATPase,20200926,-
2565781,42364449,LC1Nh_RS00345,LC1Nh_RS00345,LC1Nh_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364450,radB,LC1Nh_RS00350,LC1Nh_0070,-,-,-,DNA repair and recombination protein RadB,protein-coding,-,-,-,DNA repair and recombination protein RadB,20191110,-
2565781,42364451,LC1Nh_RS00355,LC1Nh_RS00355,LC1Nh_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364452,ilvA,LC1Nh_RS00360,LC1Nh_0072,-,-,-,threonine ammonia-lyase,protein-coding,-,-,-,threonine ammonia-lyase,20200926,-
2565781,42364453,LC1Nh_RS00365,LC1Nh_RS00365,LC1Nh_0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364454,LC1Nh_RS00370,LC1Nh_RS00370,LC1Nh_0074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364455,LC1Nh_RS00375,LC1Nh_RS00375,LC1Nh_0075,-,-,-,ACT domain-containing protein,protein-coding,-,-,-,ACT domain-containing protein,20200926,-
2565781,42364456,LC1Nh_RS00380,LC1Nh_RS00380,LC1Nh_0076,-,-,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,protein-coding,-,-,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,20200926,-
2565781,42364457,LC1Nh_RS00385,LC1Nh_RS00385,LC1Nh_0077,-,-,-,prephenate dehydrogenase/arogenate dehydrogenase family protein,protein-coding,-,-,-,prephenate dehydrogenase/arogenate dehydrogenase family protein,20200926,-
2565781,42364458,LC1Nh_RS00390,LC1Nh_RS00390,LC1Nh_0078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364459,LC1Nh_RS00395,LC1Nh_RS00395,LC1Nh_0079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364460,topA,LC1Nh_RS00400,LC1Nh_0080,-,-,-,DNA topoisomerase I,protein-coding,-,-,-,DNA topoisomerase I,20191110,-
2565781,42364461,LC1Nh_RS00405,LC1Nh_RS00405,LC1Nh_0081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364462,LC1Nh_RS00410,LC1Nh_RS00410,LC1Nh_0082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364463,serS,LC1Nh_RS00415,LC1Nh_0083,-,-,-,serine--tRNA ligase,protein-coding,-,-,-,serine--tRNA ligase,20200926,-
2565781,42364464,LC1Nh_RS00420,LC1Nh_RS00420,LC1Nh_0084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364465,LC1Nh_RS00425,LC1Nh_RS00425,LC1Nh_0085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364466,LC1Nh_RS00430,LC1Nh_RS00430,LC1Nh_0086,-,-,-,tyrosine--tRNA ligase,protein-coding,-,-,-,tyrosine--tRNA ligase,20200926,-
2565781,42364467,LC1Nh_RS00435,LC1Nh_RS00435,LC1Nh_0087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364468,LC1Nh_RS00440,LC1Nh_RS00440,LC1Nh_0088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364469,LC1Nh_RS00445,LC1Nh_RS00445,LC1Nh_0089,-,-,-,RNA 3'-terminal phosphate cyclase,protein-coding,-,-,-,RNA 3'-terminal phosphate cyclase,20200926,-
2565781,42364470,LC1Nh_RS00450,LC1Nh_RS00450,LC1Nh_0090,-,-,-,Hsp20 family protein,protein-coding,-,-,-,Hsp20 family protein,20200926,-
2565781,42364471,LC1Nh_RS00455,LC1Nh_RS00455,LC1Nh_0091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364472,LC1Nh_RS00460,LC1Nh_RS00460,LC1Nh_0092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364473,LC1Nh_RS00465,LC1Nh_RS00465,LC1Nh_0093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364474,alaS,LC1Nh_RS00470,LC1Nh_0094,-,-,-,alanine--tRNA ligase,protein-coding,-,-,-,alanine--tRNA ligase,20200926,-
2565781,42364475,LC1Nh_RS00475,LC1Nh_RS00475,LC1Nh_0095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364476,LC1Nh_RS00480,LC1Nh_RS00480,LC1Nh_0096,-,-,-,50S ribosomal protein P1,protein-coding,-,-,-,50S ribosomal protein P1,20200926,-
2565781,42364477,LC1Nh_RS00485,LC1Nh_RS00485,LC1Nh_0097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364478,LC1Nh_RS00490,LC1Nh_RS00490,LC1Nh_0098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364479,rplJ,LC1Nh_RS00495,LC1Nh_0099,-,-,-,50S ribosomal protein L10,protein-coding,-,-,-,50S ribosomal protein L10,20200926,-
2565781,42364480,LC1Nh_RS00500,LC1Nh_RS00500,LC1Nh_0100,-,-,-,50S ribosomal protein L1,protein-coding,-,-,-,50S ribosomal protein L1,20200926,-
2565781,42364481,LC1Nh_RS00505,LC1Nh_RS00505,LC1Nh_0101,-,-,-,50S ribosomal protein L11,protein-coding,-,-,-,50S ribosomal protein L11,20200926,-
2565781,42364482,LC1Nh_RS00510,LC1Nh_RS00510,LC1Nh_0102,-,-,-,transcription elongation factor Spt5,protein-coding,-,-,-,transcription elongation factor Spt5,20200926,-
2565781,42364483,LC1Nh_RS00515,LC1Nh_RS00515,LC1Nh_0103,-,-,-,protein translocase SEC61 complex subunit gamma,protein-coding,-,-,-,protein translocase SEC61 complex subunit gamma,20191110,-
2565781,42364484,LC1Nh_RS00520,LC1Nh_RS00520,LC1Nh_0104,-,-,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20200926,-
2565781,42364485,ftsZ,LC1Nh_RS00525,LC1Nh_0105,-,-,-,cell division protein FtsZ,protein-coding,-,-,-,cell division protein FtsZ,20200926,-
2565781,42364486,LC1Nh_RS00530,LC1Nh_RS00530,LC1Nh_0106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364487,LC1Nh_RS00535,LC1Nh_RS00535,LC1Nh_0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364488,LC1Nh_RS00540,LC1Nh_RS00540,LC1Nh_0108,-,-,-,leucine--tRNA ligase,protein-coding,-,-,-,leucine--tRNA ligase,20200926,-
2565781,42364489,LC1Nh_RS00545,LC1Nh_RS00545,LC1Nh_0109,-,-,-,P-loop NTPase,protein-coding,-,-,-,P-loop NTPase,20200926,-
2565781,42364490,LC1Nh_RS00550,LC1Nh_RS00550,LC1Nh_0110,-,-,-,P-loop NTPase,protein-coding,-,-,-,P-loop NTPase,20191110,-
2565781,42364491,LC1Nh_RS00555,LC1Nh_RS00555,LC1Nh_0111,-,-,-,HIT domain-containing protein,protein-coding,-,-,-,HIT domain-containing protein,20200926,-
2565781,42364492,LC1Nh_RS00560,LC1Nh_RS00560,LC1Nh_0112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364493,LC1Nh_RS00565,LC1Nh_RS00565,LC1Nh_0113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364494,LC1Nh_RS00570,LC1Nh_RS00570,LC1Nh_0114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364495,tpiA,LC1Nh_RS00575,LC1Nh_0115,-,-,-,triose-phosphate isomerase,protein-coding,-,-,-,triose-phosphate isomerase,20200926,-
2565781,42364496,LC1Nh_RS00580,LC1Nh_RS00580,LC1Nh_0116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364497,LC1Nh_RS00585,LC1Nh_RS00585,LC1Nh_0117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364498,LC1Nh_RS00590,LC1Nh_RS00590,LC1Nh_0118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364499,LC1Nh_RS00595,LC1Nh_RS00595,LC1Nh_0119,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200926,-
2565781,42364500,LC1Nh_RS00600,LC1Nh_RS00600,LC1Nh_0120,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200926,-
2565781,42364501,LC1Nh_RS00605,LC1Nh_RS00605,LC1Nh_0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364502,LC1Nh_RS00610,LC1Nh_RS00610,LC1Nh_0122,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200926,-
2565781,42364503,LC1Nh_RS00615,LC1Nh_RS00615,LC1Nh_0123,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,protein-coding,-,-,-,SUMF1/EgtB/PvdO family nonheme iron enzyme,20191110,-
2565781,42364504,LC1Nh_RS00620,LC1Nh_RS00620,LC1Nh_0124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364505,avd,LC1Nh_RS00625,LC1Nh_0125,-,-,-,diversity-generating retroelement protein Avd,protein-coding,-,-,-,diversity-generating retroelement protein Avd,20200926,-
2565781,42364506,LC1Nh_RS00630,LC1Nh_RS00630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364507,LC1Nh_RS00635,LC1Nh_RS00635,LC1Nh_0126,-,-,-,RNA-dependent DNA polymerase,protein-coding,-,-,-,RNA-dependent DNA polymerase,20200926,-
2565781,42364508,LC1Nh_RS00640,LC1Nh_RS00640,LC1Nh_0127,-,-,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20200926,-
2565781,42364509,LC1Nh_RS00645,LC1Nh_RS00645,LC1Nh_0128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364510,LC1Nh_RS00650,LC1Nh_RS00650,LC1Nh_0129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364511,LC1Nh_RS00655,LC1Nh_RS00655,LC1Nh_0130,-,-,-,alpha/beta fold hydrolase,protein-coding,-,-,-,alpha/beta fold hydrolase,20200926,-
2565781,42364512,LC1Nh_RS00660,LC1Nh_RS00660,LC1Nh_0131,-,-,-,alpha-amylase,protein-coding,-,-,-,alpha-amylase,20200926,-
2565781,42364513,LC1Nh_RS00665,LC1Nh_RS00665,LC1Nh_0132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364514,LC1Nh_RS00670,LC1Nh_RS00670,LC1Nh_0133,-,-,-,rhodanese-like domain-containing protein,protein-coding,-,-,-,rhodanese-like domain-containing protein,20200926,-
2565781,42364515,LC1Nh_RS00675,LC1Nh_RS00675,LC1Nh_0134,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200926,-
2565781,42364516,LC1Nh_RS00680,LC1Nh_RS00680,LC1Nh_0135,-,-,-,type II glyceraldehyde-3-phosphate dehydrogenase,protein-coding,-,-,-,type II glyceraldehyde-3-phosphate dehydrogenase,20200926,-
2565781,42364517,LC1Nh_RS00685,LC1Nh_RS00685,LC1Nh_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364518,LC1Nh_RS00690,LC1Nh_RS00690,LC1Nh_0137,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20191110,-
2565781,42364519,LC1Nh_RS00695,LC1Nh_RS00695,LC1Nh_0138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
2565781,42364520,LC1Nh_RS00700,LC1Nh_RS00700,LC1Nh_0139,-,-,-,NAD(P)H-hydrate dehydratase,protein-coding,-,-,-,NAD(P)H-hydrate dehydratase,20191110,-
2565781,42364521,LC1Nh_RS00705,LC1Nh_RS00705,LC1Nh_0140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364522,LC1Nh_RS00710,LC1Nh_RS00710,LC1Nh_0141,-,-,-,adenylyltransferase/cytidyltransferase family protein,protein-coding,-,-,-,adenylyltransferase/cytidyltransferase family protein,20200926,-
2565781,42364523,LC1Nh_RS00715,LC1Nh_RS00715,LC1Nh_0142,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20200926,-
2565781,42364524,LC1Nh_RS00720,LC1Nh_RS00720,LC1Nh_0143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364525,LC1Nh_RS00725,LC1Nh_RS00725,LC1Nh_0144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364526,LC1Nh_RS00730,LC1Nh_RS00730,LC1Nh_0145,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20200926,-
2565781,42364527,LC1Nh_RS00735,LC1Nh_RS00735,LC1Nh_0146,-,-,-,HTH domain-containing protein,protein-coding,-,-,-,HTH domain-containing protein,20200926,-
2565781,42364528,LC1Nh_RS00740,LC1Nh_RS00740,LC1Nh_0147,-,-,-,redoxin domain-containing protein,protein-coding,-,-,-,redoxin domain-containing protein,20200926,-
2565781,42364529,LC1Nh_RS00745,LC1Nh_RS00745,LC1Nh_0148,-,-,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20200926,-
2565781,42364530,LC1Nh_RS00750,LC1Nh_RS00750,LC1Nh_0149,-,-,-,aldolase,protein-coding,-,-,-,aldolase,20200926,-
2565781,42364531,LC1Nh_RS00755,LC1Nh_RS00755,LC1Nh_0150,-,-,-,class 1 fructose-bisphosphatase,protein-coding,-,-,-,class 1 fructose-bisphosphatase,20200926,-
2565781,42364532,LC1Nh_RS00760,LC1Nh_RS00760,LC1Nh_0151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364533,LC1Nh_RS00765,LC1Nh_RS00765,LC1Nh_0152,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20200926,-
2565781,42364534,LC1Nh_RS00770,LC1Nh_RS00770,LC1Nh_0153,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200926,-
2565781,42364535,LC1Nh_RS00775,LC1Nh_RS00775,LC1Nh_0154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191110,-
2565781,42364536,thyA,LC1Nh_RS00780,LC1Nh_0155,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200926,-
