#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2652403,60329878,2,I5H50_gp002,SEA_JUICE456_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2652403,60329950,75,I5H50_gp074,SEA_JUICE456_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329951,76,I5H50_gp075,SEA_JUICE456_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329952,77,I5H50_gp076,SEA_JUICE456_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329953,78,I5H50_gp077,SEA_JUICE456_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329954,79,I5H50_gp078,SEA_JUICE456_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329955,80,I5H50_gp079,SEA_JUICE456_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329956,81,I5H50_gp080,SEA_JUICE456_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329957,82,I5H50_gp081,SEA_JUICE456_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329958,83,I5H50_gp082,SEA_JUICE456_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329959,84,I5H50_gp083,SEA_JUICE456_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329960,85,I5H50_gp084,SEA_JUICE456_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329961,86,I5H50_gp085,SEA_JUICE456_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329962,87,I5H50_gp086,SEA_JUICE456_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329963,88,I5H50_gp087,SEA_JUICE456_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329964,89,I5H50_gp088,SEA_JUICE456_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329965,90,I5H50_gp089,SEA_JUICE456_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329966,91,I5H50_gp090,SEA_JUICE456_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329967,92,I5H50_gp091,SEA_JUICE456_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329968,93,I5H50_gp092,SEA_JUICE456_93,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210424,-
2652403,60329969,94,I5H50_gp093,SEA_JUICE456_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329970,95,I5H50_gp094,SEA_JUICE456_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329971,96,I5H50_gp095,SEA_JUICE456_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329972,97,I5H50_gp096,SEA_JUICE456_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329973,98,I5H50_gp097,SEA_JUICE456_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329974,99,I5H50_gp098,SEA_JUICE456_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329975,100,I5H50_gp099,SEA_JUICE456_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201129,-
2652403,60329976,101,I5H50_gp100,SEA_JUICE456_101,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2652403,60329977,102,I5H50_gp101,SEA_JUICE456_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652403,60329978,103,I5H50_gp102,SEA_JUICE456_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2652403,60329979,1,I5H50_gp001,SEA_JUICE456_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2652403,60338785,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
