#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
204270,1482606,gp12,phiKMVp12,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20210212,-
204270,2641756,phiKMVp29,phiKMVp29,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
204270,2641757,phiKMVp04,phiKMVp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641758,phiKMVp03,phiKMVp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641759,phiKMVp13,phiKMVp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641760,phiKMVp25,phiKMVp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
204270,2641761,phiKMVp16,phiKMVp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641762,phiKMVp21,phiKMVp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641763,phiKMVp09,phiKMVp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641764,phiKMVp08,phiKMVp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641765,phiKMVp24,phiKMVp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
204270,2641766,gp40,phiKMVp40,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
204270,2641767,phiKMVp06,phiKMVp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641768,gp47,phiKMVp47,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20201220,-
204270,2641769,phiKMVp27,phiKMVp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641770,phiKMVp01,phiKMVp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641771,phiKMVp20,phiKMVp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641772,gp38,phiKMVp38,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210212,-
204270,2641773,phiKMVp44,phiKMVp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
204270,2641774,phiKMVp28,phiKMVp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641775,phiKMVp35,phiKMVp35,-,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20201220,-
204270,2641776,phiKMVp14,phiKMVp14,-,-,-,-,putative DnaG-like primase,protein-coding,-,-,-,putative DnaG-like primase,20201220,-
204270,2641777,gp37,phiKMVp37,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201220,-
204270,2641778,phiKMVp15,phiKMVp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
204270,2641779,phiKMVp10,phiKMVp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641780,phiKMVp05,phiKMVp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641781,phiKMVp11,phiKMVp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641782,phiKMVp02,phiKMVp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
204270,2641783,phiKMVp46,phiKMVp46,-,-,-,-,phage lambda Rz1-like protein,protein-coding,-,-,-,phage lambda Rz1-like protein,20201220,-
204270,2830729,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage phiKMV; Enterobacteria phage phiKMV).,other,-,-,-,-,20200513,-
204270,4126977,phiKMVp49,phiKMVp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
