#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2584498,60332970,2,I5H80_gp002,SEA_POLKA14_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2584498,60332998,30,I5H80_gp030,SEA_POLKA14_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60332999,31,I5H80_gp031,SEA_POLKA14_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2584498,60333000,32,I5H80_gp032,SEA_POLKA14_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2584498,60333001,33,I5H80_gp033,SEA_POLKA14_33,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2584498,60333002,34,I5H80_gp034,SEA_POLKA14_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2584498,60333003,35,I5H80_gp035,SEA_POLKA14_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333004,36,I5H80_gp036,SEA_POLKA14_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2584498,60333005,37,I5H80_gp037,SEA_POLKA14_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333006,38,I5H80_gp038,SEA_POLKA14_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333007,39,I5H80_gp039,SEA_POLKA14_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333008,40,I5H80_gp040,SEA_POLKA14_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333009,41,I5H80_gp041,SEA_POLKA14_41,-,-,-,excise,protein-coding,-,-,-,excise,20210123,-
2584498,60333010,42,I5H80_gp042,SEA_POLKA14_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2584498,60333011,43,I5H80_gp043,SEA_POLKA14_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333012,44,I5H80_gp044,SEA_POLKA14_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2584498,60333013,46,I5H80_gp046,SEA_POLKA14_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333014,45,I5H80_gp045,SEA_POLKA14_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2584498,60333015,47,I5H80_gp047,SEA_POLKA14_47,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2584498,60333016,48,I5H80_gp048,SEA_POLKA14_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2584498,60333017,49,I5H80_gp049,SEA_POLKA14_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333018,50,I5H80_gp050,SEA_POLKA14_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333019,51,I5H80_gp051,SEA_POLKA14_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333020,52,I5H80_gp052,SEA_POLKA14_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333021,53,I5H80_gp053,SEA_POLKA14_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333022,54,I5H80_gp054,SEA_POLKA14_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2584498,60333023,55,I5H80_gp055,SEA_POLKA14_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2584498,60333024,56,I5H80_gp056,SEA_POLKA14_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2584498,60333025,57,I5H80_gp057,SEA_POLKA14_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2584498,60333026,58,I5H80_gp058,SEA_POLKA14_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2584498,60333027,59,I5H80_gp059,SEA_POLKA14_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333028,60,I5H80_gp060,SEA_POLKA14_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333029,61,I5H80_gp061,SEA_POLKA14_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2584498,60333030,62,I5H80_gp062,SEA_POLKA14_62,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210123,-
2584498,60333031,63,I5H80_gp063,SEA_POLKA14_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333032,64,I5H80_gp064,SEA_POLKA14_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2584498,60333033,65,I5H80_gp065,SEA_POLKA14_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2584498,60333034,66,I5H80_gp066,SEA_POLKA14_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333035,67,I5H80_gp067,SEA_POLKA14_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2584498,60333036,68,I5H80_gp068,SEA_POLKA14_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2584498,60333037,69,I5H80_gp069,SEA_POLKA14_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333038,70,I5H80_gp070,SEA_POLKA14_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333039,71,I5H80_gp071,SEA_POLKA14_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333040,72,I5H80_gp072,SEA_POLKA14_72,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2584498,60333041,73,I5H80_gp073,SEA_POLKA14_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333042,74,I5H80_gp074,SEA_POLKA14_74,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2584498,60333043,75,I5H80_gp075,SEA_POLKA14_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2584498,60333044,76,I5H80_gp076,SEA_POLKA14_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333045,77,I5H80_gp077,SEA_POLKA14_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333046,78,I5H80_gp078,SEA_POLKA14_78,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2584498,60333047,79,I5H80_gp079,SEA_POLKA14_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333048,80,I5H80_gp080,SEA_POLKA14_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333049,81,I5H80_gp081,SEA_POLKA14_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333050,82,I5H80_gp082,SEA_POLKA14_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333051,83,I5H80_gp083,SEA_POLKA14_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333052,84,I5H80_gp084,SEA_POLKA14_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333053,85,I5H80_gp085,SEA_POLKA14_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333054,86,I5H80_gp086,SEA_POLKA14_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333055,87,I5H80_gp087,SEA_POLKA14_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333056,88,I5H80_gp088,SEA_POLKA14_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333057,89,I5H80_gp089,SEA_POLKA14_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333058,90,I5H80_gp090,SEA_POLKA14_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333059,91,I5H80_gp091,SEA_POLKA14_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333060,92,I5H80_gp092,SEA_POLKA14_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333061,93,I5H80_gp093,SEA_POLKA14_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333062,94,I5H80_gp094,SEA_POLKA14_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333063,95,I5H80_gp095,SEA_POLKA14_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333064,96,I5H80_gp096,SEA_POLKA14_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333065,97,I5H80_gp097,SEA_POLKA14_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333066,98,I5H80_gp098,SEA_POLKA14_98,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2584498,60333067,99,I5H80_gp099,SEA_POLKA14_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2584498,60333068,100,I5H80_gp100,SEA_POLKA14_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333069,101,I5H80_gp101,SEA_POLKA14_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333070,102,I5H80_gp102,SEA_POLKA14_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333071,103,I5H80_gp103,SEA_POLKA14_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333072,104,I5H80_gp104,SEA_POLKA14_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333073,105,I5H80_gp105,SEA_POLKA14_105,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210529,-
2584498,60333074,106,I5H80_gp106,SEA_POLKA14_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2584498,60333075,107,I5H80_gp107,SEA_POLKA14_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2584498,60333076,108,I5H80_gp108,SEA_POLKA14_108,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2584498,60333077,1,I5H80_gp001,SEA_POLKA14_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2584498,60338769,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
