#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047830,54985841,HOS44_gp002,HOS44_gp002,SEA_BENTHERDUNTHAT_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2047830,54985855,HOS44_gp017,HOS44_gp017,SEA_BENTHERDUNTHAT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985856,HOS44_gp016,HOS44_gp016,SEA_BENTHERDUNTHAT_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2047830,54985857,HOS44_gp018,HOS44_gp018,SEA_BENTHERDUNTHAT_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2047830,54985858,HOS44_gp019,HOS44_gp019,SEA_BENTHERDUNTHAT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047830,54985859,HOS44_gp020,HOS44_gp020,SEA_BENTHERDUNTHAT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047830,54985860,HOS44_gp021,HOS44_gp021,SEA_BENTHERDUNTHAT_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047830,54985861,HOS44_gp022,HOS44_gp022,SEA_BENTHERDUNTHAT_22,-,-,-,"lysin A, peptidase M15 domain",protein-coding,-,-,-,"lysin A, peptidase M15 domain",20210403,-
2047830,54985862,HOS44_gp023,HOS44_gp023,SEA_BENTHERDUNTHAT_23,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20201221,-
2047830,54985863,HOS44_gp024,HOS44_gp024,SEA_BENTHERDUNTHAT_24,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2047830,54985864,HOS44_gp025,HOS44_gp025,SEA_BENTHERDUNTHAT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985865,HOS44_gp026,HOS44_gp026,SEA_BENTHERDUNTHAT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985866,HOS44_gp027,HOS44_gp027,SEA_BENTHERDUNTHAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985867,HOS44_gp028,HOS44_gp028,SEA_BENTHERDUNTHAT_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2047830,54985868,HOS44_gp029,HOS44_gp029,SEA_BENTHERDUNTHAT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985869,HOS44_gp030,HOS44_gp030,SEA_BENTHERDUNTHAT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985870,HOS44_gp031,HOS44_gp031,SEA_BENTHERDUNTHAT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985871,HOS44_gp032,HOS44_gp032,SEA_BENTHERDUNTHAT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985872,HOS44_gp033,HOS44_gp033,SEA_BENTHERDUNTHAT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985873,HOS44_gp034,HOS44_gp034,SEA_BENTHERDUNTHAT_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047830,54985874,HOS44_gp035,HOS44_gp035,SEA_BENTHERDUNTHAT_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2047830,54985875,HOS44_gp036,HOS44_gp036,SEA_BENTHERDUNTHAT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985876,HOS44_gp037,HOS44_gp037,SEA_BENTHERDUNTHAT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985877,HOS44_gp038,HOS44_gp038,SEA_BENTHERDUNTHAT_38,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2047830,54985878,HOS44_gp039,HOS44_gp039,SEA_BENTHERDUNTHAT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985879,HOS44_gp040,HOS44_gp040,SEA_BENTHERDUNTHAT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985880,HOS44_gp041,HOS44_gp041,SEA_BENTHERDUNTHAT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985881,HOS44_gp042,HOS44_gp042,SEA_BENTHERDUNTHAT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985882,HOS44_gp043,HOS44_gp043,SEA_BENTHERDUNTHAT_43,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210403,-
2047830,54985883,HOS44_gp044,HOS44_gp044,SEA_BENTHERDUNTHAT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985884,HOS44_gp045,HOS44_gp045,SEA_BENTHERDUNTHAT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985885,HOS44_gp046,HOS44_gp046,SEA_BENTHERDUNTHAT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985886,HOS44_gp047,HOS44_gp047,SEA_BENTHERDUNTHAT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985887,HOS44_gp048,HOS44_gp048,SEA_BENTHERDUNTHAT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985888,HOS44_gp049,HOS44_gp049,SEA_BENTHERDUNTHAT_49,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201221,-
2047830,54985889,HOS44_gp050,HOS44_gp050,SEA_BENTHERDUNTHAT_50,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2047830,54985890,HOS44_gp051,HOS44_gp051,SEA_BENTHERDUNTHAT_51,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2047830,54985891,HOS44_gp052,HOS44_gp052,SEA_BENTHERDUNTHAT_52,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210403,-
2047830,54985892,HOS44_gp053,HOS44_gp053,SEA_BENTHERDUNTHAT_53,-,-,-,petallopeptidase domain protein,protein-coding,-,-,-,petallopeptidase domain protein,20201221,-
2047830,54985893,HOS44_gp054,HOS44_gp054,SEA_BENTHERDUNTHAT_54,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2047830,54985894,HOS44_gp055,HOS44_gp055,SEA_BENTHERDUNTHAT_55,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2047830,54985895,HOS44_gp056,HOS44_gp056,SEA_BENTHERDUNTHAT_56,-,-,-,antirepressor-like protein,protein-coding,-,-,-,antirepressor-like protein,20210403,-
2047830,54985896,HOS44_gp057,HOS44_gp057,SEA_BENTHERDUNTHAT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985897,HOS44_gp058,HOS44_gp058,SEA_BENTHERDUNTHAT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985898,HOS44_gp059,HOS44_gp059,SEA_BENTHERDUNTHAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985899,HOS44_gp060,HOS44_gp060,SEA_BENTHERDUNTHAT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985900,HOS44_gp061,HOS44_gp061,SEA_BENTHERDUNTHAT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985901,HOS44_gp062,HOS44_gp062,SEA_BENTHERDUNTHAT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985902,HOS44_gp063,HOS44_gp063,SEA_BENTHERDUNTHAT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985903,HOS44_gp064,HOS44_gp064,SEA_BENTHERDUNTHAT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985904,HOS44_gp065,HOS44_gp065,SEA_BENTHERDUNTHAT_65,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210403,-
2047830,54985905,HOS44_gp066,HOS44_gp066,SEA_BENTHERDUNTHAT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985906,HOS44_gp067,HOS44_gp067,SEA_BENTHERDUNTHAT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985907,HOS44_gp068,HOS44_gp068,SEA_BENTHERDUNTHAT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985908,HOS44_gp069,HOS44_gp069,SEA_BENTHERDUNTHAT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985909,HOS44_gp070,HOS44_gp070,SEA_BENTHERDUNTHAT_70,-,-,-,WhiB-like regulatory protein,protein-coding,-,-,-,WhiB-like regulatory protein,20210403,-
2047830,54985910,HOS44_gp071,HOS44_gp071,SEA_BENTHERDUNTHAT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985911,HOS44_gp072,HOS44_gp072,SEA_BENTHERDUNTHAT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985912,HOS44_gp073,HOS44_gp073,SEA_BENTHERDUNTHAT_73,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2047830,54985913,HOS44_gp074,HOS44_gp074,SEA_BENTHERDUNTHAT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985914,HOS44_gp075,HOS44_gp075,SEA_BENTHERDUNTHAT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985915,HOS44_gp076,HOS44_gp076,SEA_BENTHERDUNTHAT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2047830,54985916,HOS44_gp077,HOS44_gp077,SEA_BENTHERDUNTHAT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2047830,54985917,HOS44_gp078,HOS44_gp078,SEA_BENTHERDUNTHAT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985918,HOS44_gp079,HOS44_gp079,SEA_BENTHERDUNTHAT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985919,HOS44_gp080,HOS44_gp080,SEA_BENTHERDUNTHAT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985920,HOS44_gp081,HOS44_gp081,SEA_BENTHERDUNTHAT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985921,HOS44_gp082,HOS44_gp082,SEA_BENTHERDUNTHAT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985922,HOS44_gp083,HOS44_gp083,SEA_BENTHERDUNTHAT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985923,HOS44_gp084,HOS44_gp084,SEA_BENTHERDUNTHAT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2047830,54985924,HOS44_gp085,HOS44_gp085,SEA_BENTHERDUNTHAT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985925,HOS44_gp086,HOS44_gp086,SEA_BENTHERDUNTHAT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985926,HOS44_gp087,HOS44_gp087,SEA_BENTHERDUNTHAT_87,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
2047830,54985927,HOS44_gp088,HOS44_gp088,SEA_BENTHERDUNTHAT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985928,HOS44_gp089,HOS44_gp089,SEA_BENTHERDUNTHAT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985929,HOS44_gp090,HOS44_gp090,SEA_BENTHERDUNTHAT_90,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20210403,-
2047830,54985930,HOS44_gp091,HOS44_gp091,SEA_BENTHERDUNTHAT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985931,HOS44_gp092,HOS44_gp092,SEA_BENTHERDUNTHAT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985932,HOS44_gp093,HOS44_gp093,SEA_BENTHERDUNTHAT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985933,HOS44_gp094,HOS44_gp094,SEA_BENTHERDUNTHAT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985934,HOS44_gp095,HOS44_gp095,SEA_BENTHERDUNTHAT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985935,HOS44_gp096,HOS44_gp096,SEA_BENTHERDUNTHAT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2047830,54985936,HOS44_gp097,HOS44_gp097,SEA_BENTHERDUNTHAT_97,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
2047830,54985937,HOS44_gp098,HOS44_gp098,SEA_BENTHERDUNTHAT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985938,HOS44_gp099,HOS44_gp099,SEA_BENTHERDUNTHAT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985939,HOS44_gp100,HOS44_gp100,SEA_BENTHERDUNTHAT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985940,HOS44_gp101,HOS44_gp101,SEA_BENTHERDUNTHAT_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047830,54985941,HOS44_gp102,HOS44_gp102,SEA_BENTHERDUNTHAT_102,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210403,-
2047830,54985942,HOS44_gp001,HOS44_gp001,SEA_BENTHERDUNTHAT_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2047830,55153693,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
