#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034143,26638286,2,AVV57_gp02,PHIPPS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1034143,26638326,43,AVV57_gp43,PHIPPS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638327,44,AVV57_gp44,PHIPPS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638328,45,AVV57_gp45,PHIPPS_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1034143,26638329,46,AVV57_gp46,PHIPPS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638330,47,AVV57_gp47,PHIPPS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638331,48,AVV57_gp48,PHIPPS_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1034143,26638332,49,AVV57_gp49,PHIPPS_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1034143,26638333,50,AVV57_gp50,PHIPPS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638334,51,AVV57_gp51,PHIPPS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638335,52,AVV57_gp52,PHIPPS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638336,53,AVV57_gp53,PHIPPS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638337,54,AVV57_gp54,PHIPPS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638338,55,AVV57_gp55,PHIPPS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638339,56,AVV57_gp56,PHIPPS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638340,57,AVV57_gp57,PHIPPS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638341,58,AVV57_gp58,PHIPPS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638342,59,AVV57_gp59,PHIPPS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638343,60,AVV57_gp60,PHIPPS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638344,61,AVV57_gp61,PHIPPS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638345,62,AVV57_gp62,PHIPPS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638346,63,AVV57_gp63,PHIPPS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638347,64,AVV57_gp64,PHIPPS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638348,65,AVV57_gp65,PHIPPS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638349,66,AVV57_gp66,PHIPPS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638350,67,AVV57_gp67,PHIPPS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638351,68,AVV57_gp68,PHIPPS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638352,69,AVV57_gp69,PHIPPS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638353,70,AVV57_gp70,PHIPPS_70,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1034143,26638354,71,AVV57_gp71,PHIPPS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638355,72,AVV57_gp72,PHIPPS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638356,73,AVV57_gp73,PHIPPS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638357,74,AVV57_gp74,PHIPPS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638358,75,AVV57_gp75,PHIPPS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638359,76,AVV57_gp76,PHIPPS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638360,77,AVV57_gp77,PHIPPS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638361,78,AVV57_gp78,PHIPPS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638362,79,AVV57_gp79,PHIPPS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638363,80,AVV57_gp80,PHIPPS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638364,81,AVV57_gp81,PHIPPS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638365,82,AVV57_gp82,PHIPPS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638366,83,AVV57_gp83,PHIPPS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638367,84,AVV57_gp84,PHIPPS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638368,85,AVV57_gp85,PHIPPS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638369,86,AVV57_gp86,PHIPPS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638370,87,AVV57_gp87,PHIPPS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638371,88,AVV57_gp88,PHIPPS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638372,89,AVV57_gp89,PHIPPS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638373,90,AVV57_gp90,PHIPPS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638374,91,AVV57_gp91,PHIPPS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638375,92,AVV57_gp92,PHIPPS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638376,93,AVV57_gp93,PHIPPS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638377,94,AVV57_gp94,PHIPPS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638378,95,AVV57_gp95,PHIPPS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638379,96,AVV57_gp96,PHIPPS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638380,97,AVV57_gp97,PHIPPS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638381,98,AVV57_gp98,PHIPPS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638382,99,AVV57_gp99,PHIPPS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638383,11,AVV57_gp11,PHIPPS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034143,26638384,1,AVV57_gp01,PHIPPS_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
1034143,26680531,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Phipps).,other,-,-,-,-,20200513,-
