#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027250,55808095,HYP44_gp02,HYP44_gp02,LP9207_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027250,55808127,HYP44_gp34,HYP44_gp34,LP9207_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808128,HYP44_gp35,HYP44_gp35,LP9207_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808129,HYP44_gp36,HYP44_gp36,LP9207_36,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027250,55808130,HYP44_gp37,HYP44_gp37,LP9207_37,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
2027250,55808131,HYP44_gp38,HYP44_gp38,LP9207_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808132,HYP44_gp39,HYP44_gp39,LP9207_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808133,HYP44_gp40,HYP44_gp40,LP9207_40,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
2027250,55808134,HYP44_gp41,HYP44_gp41,LP9207_41,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2027250,55808135,HYP44_gp42,HYP44_gp42,LP9207_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808136,HYP44_gp43,HYP44_gp43,LP9207_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808137,HYP44_gp44,HYP44_gp44,LP9207_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808138,HYP44_gp45,HYP44_gp45,LP9207_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808139,HYP44_gp46,HYP44_gp46,LP9207_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027250,55808140,HYP44_gp47,HYP44_gp47,LP9207_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808141,HYP44_gp48,HYP44_gp48,LP9207_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808142,HYP44_gp49,HYP44_gp49,LP9207_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808143,HYP44_gp50,HYP44_gp50,LP9207_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808144,HYP44_gp51,HYP44_gp51,LP9207_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808145,HYP44_gp52,HYP44_gp52,LP9207_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808146,HYP44_gp53,HYP44_gp53,LP9207_53,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2027250,55808147,HYP44_gp54,HYP44_gp54,LP9207_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027250,55808148,HYP44_gp01,HYP44_gp01,LP9207_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201010,-
2027250,55863445,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
