#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1036614,40066766,2,FDG57_gp002,MUTAFORMA13_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1036614,40066780,16,FDG57_gp016,MUTAFORMA13_16,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036614,40066781,17,FDG57_gp017,MUTAFORMA13_17,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036614,40066782,18,FDG57_gp018,MUTAFORMA13_18,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036614,40066783,19,FDG57_gp019,MUTAFORMA13_19,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20201220,-
1036614,40066784,20,FDG57_gp020,MUTAFORMA13_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066785,21,FDG57_gp021,MUTAFORMA13_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066786,22,FDG57_gp022,MUTAFORMA13_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066787,23,FDG57_gp023,MUTAFORMA13_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066788,24,FDG57_gp024,MUTAFORMA13_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066789,25,FDG57_gp025,MUTAFORMA13_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066790,27,FDG57_gp027,MUTAFORMA13_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066791,28,FDG57_gp028,MUTAFORMA13_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066792,29,FDG57_gp029,MUTAFORMA13_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066793,30,FDG57_gp030,MUTAFORMA13_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1036614,40066794,31,FDG57_gp031,MUTAFORMA13_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1036614,40066795,32,FDG57_gp032,MUTAFORMA13_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1036614,40066796,33,FDG57_gp033,MUTAFORMA13_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066797,34,FDG57_gp034,MUTAFORMA13_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066798,35,FDG57_gp035,MUTAFORMA13_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
1036614,40066799,36,FDG57_gp036,MUTAFORMA13_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066800,37,FDG57_gp037,MUTAFORMA13_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066801,38,FDG57_gp038,MUTAFORMA13_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066802,39,FDG57_gp039,MUTAFORMA13_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066803,40,FDG57_gp040,MUTAFORMA13_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066804,46,FDG57_gp046,MUTAFORMA13_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066805,49,FDG57_gp049,MUTAFORMA13_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
1036614,40066806,50,FDG57_gp050,MUTAFORMA13_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066807,51,FDG57_gp051,MUTAFORMA13_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066808,52,FDG57_gp052,MUTAFORMA13_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066809,53,FDG57_gp053,MUTAFORMA13_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066810,54,FDG57_gp054,MUTAFORMA13_54,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1036614,40066811,56,FDG57_gp056,MUTAFORMA13_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066812,58,FDG57_gp058,MUTAFORMA13_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066813,59,FDG57_gp059,MUTAFORMA13_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066814,60,FDG57_gp060,MUTAFORMA13_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1036614,40066815,61,FDG57_gp061,MUTAFORMA13_61,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1036614,40066816,62,FDG57_gp062,MUTAFORMA13_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066817,63,FDG57_gp063,MUTAFORMA13_63,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
1036614,40066818,64,FDG57_gp064,MUTAFORMA13_64,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210406,-
1036614,40066819,65,FDG57_gp065,MUTAFORMA13_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066820,66,FDG57_gp066,MUTAFORMA13_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066821,67,FDG57_gp067,MUTAFORMA13_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066822,68,FDG57_gp068,MUTAFORMA13_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066823,69,FDG57_gp069,MUTAFORMA13_69,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210406,-
1036614,40066824,70,FDG57_gp070,MUTAFORMA13_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066825,71,FDG57_gp071,MUTAFORMA13_71,-,-,-,HNH homing endonuclease domain protein,protein-coding,-,-,-,HNH homing endonuclease domain protein,20201220,-
1036614,40066826,72,FDG57_gp072,MUTAFORMA13_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066827,73,FDG57_gp073,MUTAFORMA13_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066828,74,FDG57_gp074,MUTAFORMA13_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066829,75,FDG57_gp075,MUTAFORMA13_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066830,76,FDG57_gp076,MUTAFORMA13_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066831,78,FDG57_gp078,MUTAFORMA13_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066832,79,FDG57_gp079,MUTAFORMA13_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066833,80,FDG57_gp080,MUTAFORMA13_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066834,81,FDG57_gp081,MUTAFORMA13_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066835,82,FDG57_gp082,MUTAFORMA13_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066836,84,FDG57_gp084,MUTAFORMA13_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066837,85,FDG57_gp085,MUTAFORMA13_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066838,86,FDG57_gp086,MUTAFORMA13_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066839,87,FDG57_gp087,MUTAFORMA13_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066840,88,FDG57_gp088,MUTAFORMA13_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066841,90,FDG57_gp090,MUTAFORMA13_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066842,91,FDG57_gp091,MUTAFORMA13_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066843,92,FDG57_gp092,MUTAFORMA13_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066844,93,FDG57_gp093,MUTAFORMA13_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066845,95,FDG57_gp095,MUTAFORMA13_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066846,96,FDG57_gp096,MUTAFORMA13_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066847,97,FDG57_gp097,MUTAFORMA13_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066848,98,FDG57_gp098,MUTAFORMA13_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066849,99,FDG57_gp099,MUTAFORMA13_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066850,100,FDG57_gp100,MUTAFORMA13_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066851,101,FDG57_gp101,MUTAFORMA13_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066852,102,FDG57_gp102,MUTAFORMA13_102,-,-,-,polypeptide N-acetylgalactosaminyltransferase,protein-coding,-,-,-,polypeptide N-acetylgalactosaminyltransferase,20201220,-
1036614,40066853,103,FDG57_gp103,MUTAFORMA13_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066854,104,FDG57_gp104,MUTAFORMA13_104,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20210406,-
1036614,40066855,105,FDG57_gp105,MUTAFORMA13_105,-,-,-,N-acetylglucosaminyltransferase,protein-coding,-,-,-,N-acetylglucosaminyltransferase,20210406,-
1036614,40066856,106,FDG57_gp106,MUTAFORMA13_106,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1036614,40066857,48,FDG57_gp048,MUTAFORMA13_48,-,-,-,XRE family DNA binding domain protein,protein-coding,-,-,-,XRE family DNA binding domain protein,20201220,-
1036614,40066858,47,FDG57_gp047,MUTAFORMA13_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066859,45,FDG57_gp045,MUTAFORMA13_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1036614,40066860,44,FDG57_gp044,MUTAFORMA13_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066861,43,FDG57_gp043,MUTAFORMA13_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066862,42,FDG57_gp042,MUTAFORMA13_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1036614,40066863,41,FDG57_gp041,MUTAFORMA13_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066864,26,FDG57_gp026,MUTAFORMA13_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066865,55,FDG57_gp055,MUTAFORMA13_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066866,57,FDG57_gp057,MUTAFORMA13_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066867,77,FDG57_gp077,MUTAFORMA13_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066868,83,FDG57_gp083,MUTAFORMA13_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066869,89,FDG57_gp089,MUTAFORMA13_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036614,40066870,94,FDG57_gp094,MUTAFORMA13_94,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210406,-
1036614,40066871,1,FDG57_gp001,MUTAFORMA13_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1036614,40120075,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Mutaforma13; Mycobacterium phage Mutaforma13).,other,-,-,-,-,20200513,-
