#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
945083,40090252,FDI58_gp02,FDI58_gp02,P858_02,-,-,-,minor tail protein M,protein-coding,-,-,-,minor tail protein M,20201220,-
945083,40090281,FDI58_gp31,FDI58_gp31,P858_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090282,FDI58_gp32,FDI58_gp32,P858_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090283,FDI58_gp33,FDI58_gp33,P858_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090284,FDI58_gp34,FDI58_gp34,P858_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090285,FDI58_gp35,FDI58_gp35,P858_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090286,FDI58_gp36,FDI58_gp36,P858_36,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
945083,40090287,FDI58_gp37,FDI58_gp37,P858_37,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
945083,40090288,FDI58_gp38,FDI58_gp38,P858_38,-,-,-,putative lysis accessory protein,protein-coding,-,-,-,putative lysis accessory protein,20201220,-
945083,40090289,FDI58_gp39,FDI58_gp39,P858_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090290,FDI58_gp40,FDI58_gp40,P858_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090291,FDI58_gp41,FDI58_gp41,P858_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090292,FDI58_gp42,FDI58_gp42,P858_42,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
945083,40090293,FDI58_gp43,FDI58_gp43,P858_43,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
945083,40090294,FDI58_gp44,FDI58_gp44,P858_44,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201220,-
945083,40090295,FDI58_gp45,FDI58_gp45,P858_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090296,FDI58_gp46,FDI58_gp46,P858_46,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
945083,40090297,FDI58_gp47,FDI58_gp47,P858_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090298,FDI58_gp48,FDI58_gp48,P858_48,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
945083,40090299,FDI58_gp49,FDI58_gp49,P858_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090300,FDI58_gp50,FDI58_gp50,P858_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090301,FDI58_gp51,FDI58_gp51,P858_51,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201220,-
945083,40090302,FDI58_gp52,FDI58_gp52,P858_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090303,FDI58_gp53,FDI58_gp53,P858_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090304,FDI58_gp54,FDI58_gp54,P858_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
945083,40090305,FDI58_gp01,FDI58_gp01,P858_01,-,-,-,putative bacteriotail tape measure protein,protein-coding,-,-,-,putative bacteriotail tape measure protein,20201220,-
945083,40120042,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Edwardsiella ictaluri phage eiAU).,other,-,-,-,-,20200513,-
