#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1225861,40067446,2,FDG65_gp002,DOROTHY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1225861,40067471,32,FDG65_gp032,DOROTHY_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1225861,40067472,33,FDG65_gp033,DOROTHY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1225861,40067473,34,FDG65_gp034,DOROTHY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067474,35,FDG65_gp035,DOROTHY_35,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
1225861,40067475,36,FDG65_gp036,DOROTHY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067476,38,FDG65_gp038,DOROTHY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067477,39,FDG65_gp039,DOROTHY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067478,40,FDG65_gp040,DOROTHY_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1225861,40067479,41,FDG65_gp041,DOROTHY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067480,42,FDG65_gp042,DOROTHY_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1225861,40067481,43,FDG65_gp043,DOROTHY_43,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1225861,40067482,44,FDG65_gp044,DOROTHY_44,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1225861,40067483,45,FDG65_gp045,DOROTHY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067484,46,FDG65_gp046,DOROTHY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067485,48,FDG65_gp048,DOROTHY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067486,50,FDG65_gp050,DOROTHY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067487,51,FDG65_gp051,DOROTHY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067488,52,FDG65_gp052,DOROTHY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067489,53,FDG65_gp053,DOROTHY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067490,54,FDG65_gp054,DOROTHY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067491,56,FDG65_gp056,DOROTHY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067492,57,FDG65_gp057,DOROTHY_57,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1225861,40067493,58,FDG65_gp058,DOROTHY_58,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1225861,40067494,59,FDG65_gp059,DOROTHY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067495,60,FDG65_gp060,DOROTHY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067496,61,FDG65_gp061,DOROTHY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067497,62,FDG65_gp062,DOROTHY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1225861,40067498,63,FDG65_gp063,DOROTHY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067499,64,FDG65_gp064,DOROTHY_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1225861,40067500,66,FDG65_gp066,DOROTHY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067501,67,FDG65_gp067,DOROTHY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067502,68,FDG65_gp068,DOROTHY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067503,69,FDG65_gp069,DOROTHY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067504,70,FDG65_gp070,DOROTHY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067505,71,FDG65_gp071,DOROTHY_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1225861,40067506,72,FDG65_gp072,DOROTHY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067507,73,FDG65_gp073,DOROTHY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067508,74,FDG65_gp074,DOROTHY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067509,75,FDG65_gp075,DOROTHY_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1225861,40067510,76,FDG65_gp076,DOROTHY_76,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1225861,40067511,77,FDG65_gp077,DOROTHY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067512,78,FDG65_gp078,DOROTHY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067513,79,FDG65_gp079,DOROTHY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067514,80,FDG65_gp080,DOROTHY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067515,81,FDG65_gp081,DOROTHY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067516,82,FDG65_gp082,DOROTHY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067517,84,FDG65_gp084,DOROTHY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067518,85,FDG65_gp085,DOROTHY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067519,86,FDG65_gp086,DOROTHY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067520,87,FDG65_gp087,DOROTHY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067521,88,FDG65_gp088,DOROTHY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067522,89,FDG65_gp089,DOROTHY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067523,92,FDG65_gp092,DOROTHY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067524,93,FDG65_gp093,DOROTHY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067525,95,FDG65_gp095,DOROTHY_95,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1225861,40067526,96,FDG65_gp096,DOROTHY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1225861,40067527,97,FDG65_gp097,DOROTHY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067528,98,FDG65_gp098,DOROTHY_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067529,99,FDG65_gp099,DOROTHY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067530,101,FDG65_gp101,DOROTHY_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067531,102,FDG65_gp102,DOROTHY_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1225861,40067532,103,FDG65_gp103,DOROTHY_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067533,104,FDG65_gp104,DOROTHY_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1225861,40067534,13,FDG65_gp012,DOROTHY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1225861,40067535,12,FDG65_gp013,DOROTHY_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1225861,40067536,55,FDG65_gp055,DOROTHY_55,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1225861,40067537,65,FDG65_gp065,DOROTHY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1225861,40067538,83,FDG65_gp083,DOROTHY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067539,91,FDG65_gp091,DOROTHY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067540,3,FDG65_gp003,DOROTHY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
1225861,40067541,4,FDG65_gp004,DOROTHY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1225861,40067542,94,FDG65_gp094,DOROTHY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067543,18,FDG65_gp018,DOROTHY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1225861,40067544,100,FDG65_gp100,DOROTHY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067545,37,FDG65_gp037,DOROTHY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067546,49,FDG65_gp049,DOROTHY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067547,90,FDG65_gp090,DOROTHY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225861,40067548,47,FDG65_gp047,DOROTHY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1225861,40067549,1,FDG65_gp001,DOROTHY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1225861,40120134,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Dorothy; Mycobacterium phage Dorothy).,other,-,-,-,-,20200513,-
