#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
91740,37616156,D1O93_gp02,D1O93_gp02,-,-,-,-,hypothetical v-bcl2,protein-coding,-,-,-,hypothetical v-bcl2,20181103,-
91740,37616186,D1O93_gp32,D1O93_gp32,-,-,-,-,helicase-primase complex component,protein-coding,-,-,-,helicase-primase complex component,20181103,-
91740,37616187,D1O93_gp33,D1O93_gp33,-,-,-,-,helicase-primase complex component,protein-coding,-,-,-,helicase-primase complex component,20181103,-
91740,37616188,D1O93_gp34,D1O93_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616189,D1O93_gp35,D1O93_gp35,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20181103,-
91740,37616190,D1O93_gp36,D1O93_gp36,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20181103,-
91740,37616191,D1O93_gp37,D1O93_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616192,D1O93_gp38,D1O93_gp38,-,-,-,-,uracil-DNA-glycosidase,protein-coding,-,-,-,uracil-DNA-glycosidase,20181103,-
91740,37616193,D1O93_gp39,D1O93_gp39,-,-,-,-,glycoprotein L,protein-coding,-,-,-,glycoprotein L,20181103,-
91740,37616194,D1O93_gp40,D1O93_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616195,D1O93_gp41,D1O93_gp41,-,-,-,-,R transactivator of EBV-like protein,protein-coding,-,-,-,R transactivator of EBV-like protein,20181103,-
91740,37616196,D1O93_gp42,D1O93_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616197,D1O93_gp43,D1O93_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
91740,37616198,D1O93_gp44,D1O93_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616199,D1O93_gp45,D1O93_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616200,D1O93_gp46,D1O93_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
91740,37616201,D1O93_gp47,D1O93_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
91740,37616202,D1O93_gp01,D1O93_gp01,-,-,-,-,tegument protein/v-FGAM-synthase,protein-coding,-,-,-,tegument protein/v-FGAM-synthase,20181103,-
91740,37629643,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
