#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201431,54993618,2,HOT45_gp02,PBI_TRINE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210129,-
2201431,54993630,15,HOT45_gp14,PBI_TRINE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2201431,54993631,16,HOT45_gp16,PBI_TRINE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2201431,54993632,14,HOT45_gp15,PBI_TRINE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2201431,54993633,17,HOT45_gp17,PBI_TRINE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2201431,54993634,18,HOT45_gp18,PBI_TRINE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2201431,54993635,19,HOT45_gp19,PBI_TRINE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993636,20,HOT45_gp20,PBI_TRINE_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210129,-
2201431,54993637,21,HOT45_gp21,PBI_TRINE_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201431,54993638,22,HOT45_gp22,PBI_TRINE_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201431,54993639,23,HOT45_gp23,PBI_TRINE_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201431,54993640,24,HOT45_gp24,PBI_TRINE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993641,25,HOT45_gp25,PBI_TRINE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993642,26,HOT45_gp26,PBI_TRINE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993643,27,HOT45_gp27,PBI_TRINE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201431,54993644,28,HOT45_gp28,PBI_TRINE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993645,29,HOT45_gp29,PBI_TRINE_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201431,54993646,30,HOT45_gp30,PBI_TRINE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993647,31,HOT45_gp31,PBI_TRINE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201431,54993648,32,HOT45_gp32,PBI_TRINE_32,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210129,-
2201431,54993649,33,HOT45_gp33,PBI_TRINE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993650,34,HOT45_gp34,PBI_TRINE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993651,35,HOT45_gp35,PBI_TRINE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993652,36,HOT45_gp36,PBI_TRINE_36,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210129,-
2201431,54993653,37,HOT45_gp37,PBI_TRINE_37,-,-,-,helicase,protein-coding,-,-,-,helicase,20210129,-
2201431,54993654,38,HOT45_gp38,PBI_TRINE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993655,39,HOT45_gp39,PBI_TRINE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993656,40,HOT45_gp40,PBI_TRINE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993657,42,HOT45_gp42,PBI_TRINE_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210129,-
2201431,54993658,43,HOT45_gp43,PBI_TRINE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993659,44,HOT45_gp44,PBI_TRINE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993660,45,HOT45_gp45,PBI_TRINE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993661,46,HOT45_gp46,PBI_TRINE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993662,47,HOT45_gp47,PBI_TRINE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993663,48,HOT45_gp48,PBI_TRINE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993664,49,HOT45_gp49,PBI_TRINE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993665,50,HOT45_gp50,PBI_TRINE_50,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2201431,54993666,51,HOT45_gp51,PBI_TRINE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993667,52,HOT45_gp52,PBI_TRINE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993668,53,HOT45_gp53,PBI_TRINE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993669,54,HOT45_gp54,PBI_TRINE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993670,55,HOT45_gp55,PBI_TRINE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993671,56,HOT45_gp56,PBI_TRINE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993672,57,HOT45_gp57,PBI_TRINE_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2201431,54993673,58,HOT45_gp58,PBI_TRINE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993674,59,HOT45_gp59,PBI_TRINE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993675,60,HOT45_gp60,PBI_TRINE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993676,61,HOT45_gp61,PBI_TRINE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993677,62,HOT45_gp62,PBI_TRINE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993678,63,HOT45_gp63,PBI_TRINE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993679,64,HOT45_gp64,PBI_TRINE_64,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2201431,54993680,65,HOT45_gp65,PBI_TRINE_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2201431,54993681,66,HOT45_gp66,PBI_TRINE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993682,41,HOT45_gp41,PBI_TRINE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,54993683,1,HOT45_gp01,PBI_TRINE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201431,55153985,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
