#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933108,54979151,HOR58_gp02,HOR58_gp02,C_2,-,-,-,DNA mimic ocr,protein-coding,-,-,-,DNA mimic ocr,20201221,-
1933108,54979168,HOR58_gp19,HOR58_gp19,C_19,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210212,-
1933108,54979169,HOR58_gp20,HOR58_gp20,C_20,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20210129,-
1933108,54979170,HOR58_gp21,HOR58_gp21,C_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979171,HOR58_gp22,HOR58_gp22,C_22,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1933108,54979172,HOR58_gp23,HOR58_gp23,C_23,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210212,-
1933108,54979173,HOR58_gp24,HOR58_gp24,C_24,-,-,-,putative internal virion protein,protein-coding,-,-,-,putative internal virion protein,20210129,-
1933108,54979174,HOR58_gp25,HOR58_gp25,C_25,-,-,-,lysozyme-like domain protein,protein-coding,-,-,-,lysozyme-like domain protein,20210212,-
1933108,54979175,HOR58_gp26,HOR58_gp26,C_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979176,HOR58_gp27,HOR58_gp27,C_27,-,-,-,putative tail tubular B protein,protein-coding,-,-,-,putative tail tubular B protein,20201221,-
1933108,54979177,HOR58_gp28,HOR58_gp28,C_28,-,-,-,tail tubular A protein,protein-coding,-,-,-,tail tubular A protein,20210129,-
1933108,54979178,HOR58_gp29,HOR58_gp29,C_29,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210212,-
1933108,54979179,HOR58_gp30,HOR58_gp30,C_30,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1933108,54979180,HOR58_gp31,HOR58_gp31,C_31,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20210212,-
1933108,54979181,HOR58_gp32,HOR58_gp32,C_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979182,HOR58_gp33,HOR58_gp33,C_33,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210129,-
1933108,54979183,HOR58_gp34,HOR58_gp34,C_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979184,HOR58_gp35,HOR58_gp35,C_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979185,HOR58_gp36,HOR58_gp36,C_36,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210212,-
1933108,54979186,HOR58_gp37,HOR58_gp37,C_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979187,HOR58_gp38,HOR58_gp38,C_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933108,54979188,HOR58_gp39,HOR58_gp39,C_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933108,54979189,HOR58_gp40,HOR58_gp40,C_40,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1933108,54979190,HOR58_gp41,HOR58_gp41,C_41,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210212,-
1933108,54979191,HOR58_gp42,HOR58_gp42,C_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933108,54979192,HOR58_gp43,HOR58_gp43,C_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979193,HOR58_gp44,HOR58_gp44,C_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979194,HOR58_gp45,HOR58_gp45,C_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979195,HOR58_gp46,HOR58_gp46,C_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979196,HOR58_gp47,HOR58_gp47,C_47,-,-,-,polysaccharide chain length determinant protein,protein-coding,-,-,-,polysaccharide chain length determinant protein,20201221,-
1933108,54979197,HOR58_gp48,HOR58_gp48,C_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979198,HOR58_gp49,HOR58_gp49,C_49,-,-,-,thermostable DNA polymerase I,protein-coding,-,-,-,thermostable DNA polymerase I,20210129,-
1933108,54979199,HOR58_gp50,HOR58_gp50,C_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979200,HOR58_gp51,HOR58_gp51,C_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979201,HOR58_gp52,HOR58_gp52,C_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979202,HOR58_gp53,HOR58_gp53,C_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979203,HOR58_gp54,HOR58_gp54,C_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979204,HOR58_gp55,HOR58_gp55,C_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,54979205,HOR58_gp56,HOR58_gp56,C_56,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210212,-
1933108,54979206,HOR58_gp57,HOR58_gp57,C_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1933108,54979207,HOR58_gp58,HOR58_gp58,C_58,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210212,-
1933108,54979208,HOR58_gp59,HOR58_gp59,C_59,-,-,-,andolysin,protein-coding,-,-,-,andolysin,20210212,-
1933108,54979209,HOR58_gp01,HOR58_gp01,C_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933108,55153413,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage C AB-2017).,other,-,-,-,-,20200610,-
