#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229793,13827307,2,D295_gp02,ATCC29399BT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229793,13827341,37,D295_gp37,ATCC29399BT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229793,13827342,38,D295_gp38,ATCC29399BT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827343,39,D295_gp39,ATCC29399BT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827344,40,D295_gp40,ATCC29399BT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827345,41,D295_gp41,ATCC29399BT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827346,42,D295_gp42,ATCC29399BT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827347,43,D295_gp43,ATCC29399BT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827348,44,D295_gp44,ATCC29399BT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827349,46,D295_gp46,ATCC29399BT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229793,13827350,32,D295_gp32,ATCC29399BT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827351,45,D295_gp45,ATCC29399BT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229793,13827352,1,D295_gp01,ATCC29399BT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229793,13839503,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes phage ATCC29399B_T).,other,-,-,-,-,20200513,-
