#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601643,55622061,HWC63_gp002,HWC63_gp002,pEpSNUABM01_002,-,-,-,putative metallopeptidase,protein-coding,-,-,-,putative metallopeptidase,20200620,-
2601643,55622121,HWC63_gp062,HWC63_gp062,pEpSNUABM01_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622122,HWC63_gp063,HWC63_gp063,pEpSNUABM01_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622123,HWC63_gp064,HWC63_gp064,pEpSNUABM01_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622124,HWC63_gp065,HWC63_gp065,pEpSNUABM01_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622125,HWC63_gp066,HWC63_gp066,pEpSNUABM01_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622126,HWC63_gp067,HWC63_gp067,pEpSNUABM01_067,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210417,-
2601643,55622127,HWC63_gp068,HWC63_gp068,pEpSNUABM01_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622128,HWC63_gp069,HWC63_gp069,pEpSNUABM01_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622129,HWC63_gp070,HWC63_gp070,pEpSNUABM01_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622130,HWC63_gp071,HWC63_gp071,pEpSNUABM01_071,-,-,-,putative tail fiber assembly protein,protein-coding,-,-,-,putative tail fiber assembly protein,20210417,-
2601643,55622131,HWC63_gp072,HWC63_gp072,pEpSNUABM01_072,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200620,-
2601643,55622132,HWC63_gp073,HWC63_gp073,pEpSNUABM01_073,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210417,-
2601643,55622133,HWC63_gp074,HWC63_gp074,pEpSNUABM01_074,-,-,-,putative glycoside hydrolase,protein-coding,-,-,-,putative glycoside hydrolase,20210417,-
2601643,55622134,HWC63_gp075,HWC63_gp075,pEpSNUABM01_075,-,-,-,putative glycoside hydrolase,protein-coding,-,-,-,putative glycoside hydrolase,20210417,-
2601643,55622135,HWC63_gp076,HWC63_gp076,pEpSNUABM01_076,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200620,-
2601643,55622136,HWC63_gp077,HWC63_gp077,pEpSNUABM01_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622137,HWC63_gp078,HWC63_gp078,pEpSNUABM01_078,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210417,-
2601643,55622138,HWC63_gp079,HWC63_gp079,pEpSNUABM01_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622139,HWC63_gp080,HWC63_gp080,pEpSNUABM01_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622140,HWC63_gp081,HWC63_gp081,pEpSNUABM01_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622141,HWC63_gp082,HWC63_gp082,pEpSNUABM01_082,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201217,-
2601643,55622142,HWC63_gp083,HWC63_gp083,pEpSNUABM01_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622143,HWC63_gp084,HWC63_gp084,pEpSNUABM01_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622144,HWC63_gp085,HWC63_gp085,pEpSNUABM01_085,-,-,-,DUF3277 domain-containing protein,protein-coding,-,-,-,DUF3277 domain-containing protein,20210417,-
2601643,55622145,HWC63_gp086,HWC63_gp086,pEpSNUABM01_086,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20210417,-
2601643,55622146,HWC63_gp087,HWC63_gp087,pEpSNUABM01_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622147,HWC63_gp088,HWC63_gp088,pEpSNUABM01_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622148,HWC63_gp089,HWC63_gp089,pEpSNUABM01_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622149,HWC63_gp090,HWC63_gp090,pEpSNUABM01_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622150,HWC63_gp091,HWC63_gp091,pEpSNUABM01_091,-,-,-,putative EPS-depolymerase,protein-coding,-,-,-,putative EPS-depolymerase,20201217,-
2601643,55622151,HWC63_gp092,HWC63_gp092,pEpSNUABM01_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622152,HWC63_gp093,HWC63_gp093,pEpSNUABM01_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622153,HWC63_gp094,HWC63_gp094,pEpSNUABM01_094,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210417,-
2601643,55622154,HWC63_gp095,HWC63_gp095,pEpSNUABM01_095,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20200620,-
2601643,55622155,HWC63_gp096,HWC63_gp096,pEpSNUABM01_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622156,HWC63_gp097,HWC63_gp097,pEpSNUABM01_097,-,-,-,putative serine protease,protein-coding,-,-,-,putative serine protease,20210417,-
2601643,55622157,HWC63_gp098,HWC63_gp098,pEpSNUABM01_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622158,HWC63_gp099,HWC63_gp099,pEpSNUABM01_099,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210417,-
2601643,55622159,HWC63_gp100,HWC63_gp100,pEpSNUABM01_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622160,HWC63_gp101,HWC63_gp101,pEpSNUABM01_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622161,HWC63_gp102,HWC63_gp102,pEpSNUABM01_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622162,HWC63_gt001,HWC63_gt001,pEpSNUABM01_tRNA26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622163,HWC63_gt011,HWC63_gt011,pEpSNUABM01_tRNA16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622164,HWC63_gt013,HWC63_gt013,pEpSNUABM01_tRNA14,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622165,HWC63_gp246,HWC63_gp246,pEpSNUABM01_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622166,HWC63_gp245,HWC63_gp245,pEpSNUABM01_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622167,HWC63_gt017,HWC63_gt017,pEpSNUABM01_tRNA10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622168,HWC63_gt020,HWC63_gt020,pEpSNUABM01_tRNA07,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622169,HWC63_gp242,HWC63_gp242,pEpSNUABM01_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622170,HWC63_gp241,HWC63_gp241,pEpSNUABM01_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622171,HWC63_gt021,HWC63_gt021,pEpSNUABM01_tRNA06,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622172,HWC63_gp239,HWC63_gp239,pEpSNUABM01_113,-,-,-,myosin tail containing protein,protein-coding,-,-,-,myosin tail containing protein,20200620,-
2601643,55622173,HWC63_gp238,HWC63_gp238,pEpSNUABM01_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622174,HWC63_gp237,HWC63_gp237,pEpSNUABM01_115,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200620,-
2601643,55622175,HWC63_gt025,HWC63_gt025,pEpSNUABM01_tRNA02,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622176,HWC63_gt026,HWC63_gt026,pEpSNUABM01_tRNA01,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601643,55622177,HWC63_gp234,HWC63_gp234,pEpSNUABM01_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622178,HWC63_gp233,HWC63_gp233,pEpSNUABM01_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622179,HWC63_gp232,HWC63_gp232,pEpSNUABM01_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622180,HWC63_gp231,HWC63_gp231,pEpSNUABM01_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622181,HWC63_gp230,HWC63_gp230,pEpSNUABM01_122,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20201217,-
2601643,55622182,HWC63_gp229,HWC63_gp229,pEpSNUABM01_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622183,HWC63_gp228,HWC63_gp228,pEpSNUABM01_124,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20201217,-
2601643,55622184,HWC63_gp227,HWC63_gp227,pEpSNUABM01_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622185,HWC63_gp226,HWC63_gp226,pEpSNUABM01_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622186,HWC63_gp225,HWC63_gp225,pEpSNUABM01_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622187,HWC63_gp224,HWC63_gp224,pEpSNUABM01_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622188,HWC63_gp223,HWC63_gp223,pEpSNUABM01_129,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20210417,-
2601643,55622189,HWC63_gp222,HWC63_gp222,pEpSNUABM01_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622190,HWC63_gp221,HWC63_gp221,pEpSNUABM01_131,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20210417,-
2601643,55622191,HWC63_gp220,HWC63_gp220,pEpSNUABM01_132,-,-,-,putative polynucleotide kinase-phosphatase,protein-coding,-,-,-,putative polynucleotide kinase-phosphatase,20210417,-
2601643,55622192,HWC63_gp219,HWC63_gp219,pEpSNUABM01_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622193,HWC63_gp218,HWC63_gp218,pEpSNUABM01_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622194,HWC63_gp217,HWC63_gp217,pEpSNUABM01_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622195,HWC63_gp216,HWC63_gp216,pEpSNUABM01_136,-,-,-,putative Sir2-like protein,protein-coding,-,-,-,putative Sir2-like protein,20210417,-
2601643,55622196,HWC63_gp215,HWC63_gp215,pEpSNUABM01_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622197,HWC63_gp214,HWC63_gp214,pEpSNUABM01_138,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20210417,-
2601643,55622198,HWC63_gp213,HWC63_gp213,pEpSNUABM01_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622199,HWC63_gp212,HWC63_gp212,pEpSNUABM01_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622200,HWC63_gp211,HWC63_gp211,pEpSNUABM01_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622201,HWC63_gp210,HWC63_gp210,pEpSNUABM01_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622202,HWC63_gp209,HWC63_gp209,pEpSNUABM01_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622203,HWC63_gp208,HWC63_gp208,pEpSNUABM01_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622204,HWC63_gp207,HWC63_gp207,pEpSNUABM01_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622205,HWC63_gp206,HWC63_gp206,pEpSNUABM01_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622206,HWC63_gp205,HWC63_gp205,pEpSNUABM01_147,-,-,-,SPFH/band 7/PHB domain containing protein,protein-coding,-,-,-,SPFH/band 7/PHB domain containing protein,20210417,-
2601643,55622207,HWC63_gp204,HWC63_gp204,pEpSNUABM01_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622208,HWC63_gp203,HWC63_gp203,pEpSNUABM01_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622209,HWC63_gp202,HWC63_gp202,pEpSNUABM01_150,-,-,-,putative NHN endonuclease,protein-coding,-,-,-,putative NHN endonuclease,20200620,-
2601643,55622210,HWC63_gp201,HWC63_gp201,pEpSNUABM01_151,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20201217,-
2601643,55622211,HWC63_gp200,HWC63_gp200,pEpSNUABM01_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622212,HWC63_gp199,HWC63_gp199,pEpSNUABM01_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622213,HWC63_gp198,HWC63_gp198,pEpSNUABM01_154,-,-,-,putative packaging and recombination endonuclease,protein-coding,-,-,-,putative packaging and recombination endonuclease,20210417,-
2601643,55622214,HWC63_gp197,HWC63_gp197,pEpSNUABM01_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622215,HWC63_gp196,HWC63_gp196,pEpSNUABM01_156,-,-,-,putative DNA polymerase/exonuclease,protein-coding,-,-,-,putative DNA polymerase/exonuclease,20210417,-
2601643,55622216,HWC63_gp195,HWC63_gp195,pEpSNUABM01_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622217,HWC63_gp194,HWC63_gp194,pEpSNUABM01_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622218,HWC63_gp193,HWC63_gp193,pEpSNUABM01_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2601643,55622219,HWC63_gp192,HWC63_gp192,pEpSNUABM01_160,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200620,-
2601643,55622220,HWC63_gp191,HWC63_gp191,pEpSNUABM01_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622221,HWC63_gp190,HWC63_gp190,pEpSNUABM01_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622222,HWC63_gp189,HWC63_gp189,pEpSNUABM01_163,-,-,-,putative NrdI protein,protein-coding,-,-,-,putative NrdI protein,20201217,-
2601643,55622223,HWC63_gp188,HWC63_gp188,pEpSNUABM01_164,-,-,-,putative NrdA protein,protein-coding,-,-,-,putative NrdA protein,20201217,-
2601643,55622224,HWC63_gp187,HWC63_gp187,pEpSNUABM01_165,-,-,-,putative NrdF protein,protein-coding,-,-,-,putative NrdF protein,20201217,-
2601643,55622225,HWC63_gp186,HWC63_gp186,pEpSNUABM01_166,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20201217,-
2601643,55622226,HWC63_gp185,HWC63_gp185,pEpSNUABM01_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622227,HWC63_gp184,HWC63_gp184,pEpSNUABM01_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601643,55622228,HWC63_gp183,HWC63_gp183,pEpSNUABM01_169,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201217,-
2601643,55622229,HWC63_gp182,HWC63_gp182,pEpSNUABM01_170,-,-,-,putative PhoH-like protein,protein-coding,-,-,-,putative PhoH-like protein,20210417,-
2601643,55622230,HWC63_gp181,HWC63_gp181,pEpSNUABM01_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
