#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517970,60334453,3,I5H94_gp003,SEA_SWAGPIGGLETT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2517970,60334511,66,I5H94_gp066,SEA_SWAGPIGGLETT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334512,67,I5H94_gp067,SEA_SWAGPIGGLETT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334513,68,I5H94_gp068,SEA_SWAGPIGGLETT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334514,69,I5H94_gp069,SEA_SWAGPIGGLETT_69,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2517970,60334515,70,I5H94_gp070,SEA_SWAGPIGGLETT_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2517970,60334516,71,I5H94_gp071,SEA_SWAGPIGGLETT_71,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2517970,60334517,72,I5H94_gp072,SEA_SWAGPIGGLETT_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2517970,60334518,73,I5H94_gp073,SEA_SWAGPIGGLETT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334519,74,I5H94_gp074,SEA_SWAGPIGGLETT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334520,75,I5H94_gp075,SEA_SWAGPIGGLETT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334521,76,I5H94_gp076,SEA_SWAGPIGGLETT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334522,78,I5H94_gp078,SEA_SWAGPIGGLETT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334523,79,I5H94_gp079,SEA_SWAGPIGGLETT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2517970,60334524,80,I5H94_gp080,SEA_SWAGPIGGLETT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334525,81,I5H94_gp081,SEA_SWAGPIGGLETT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334526,82,I5H94_gp082,SEA_SWAGPIGGLETT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334527,83,I5H94_gp083,SEA_SWAGPIGGLETT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334528,84,I5H94_gp084,SEA_SWAGPIGGLETT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334529,85,I5H94_gp085,SEA_SWAGPIGGLETT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334530,87,I5H94_gp087,SEA_SWAGPIGGLETT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334531,88,I5H94_gp088,SEA_SWAGPIGGLETT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334532,89,I5H94_gp089,SEA_SWAGPIGGLETT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334533,90,I5H94_gp090,SEA_SWAGPIGGLETT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334534,91,I5H94_gp091,SEA_SWAGPIGGLETT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517970,60334535,92,I5H94_gp092,SEA_SWAGPIGGLETT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334536,93,I5H94_gp093,SEA_SWAGPIGGLETT_93,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2517970,60334537,94,I5H94_gp094,SEA_SWAGPIGGLETT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334538,95,I5H94_gp095,SEA_SWAGPIGGLETT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334539,96,I5H94_gp096,SEA_SWAGPIGGLETT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334540,97,I5H94_gp097,SEA_SWAGPIGGLETT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334541,98,I5H94_gp098,SEA_SWAGPIGGLETT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334542,99,I5H94_gp099,SEA_SWAGPIGGLETT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334543,100,I5H94_gp100,SEA_SWAGPIGGLETT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334544,101,I5H94_gp101,SEA_SWAGPIGGLETT_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334545,102,I5H94_gp102,SEA_SWAGPIGGLETT_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334546,103,I5H94_gp103,SEA_SWAGPIGGLETT_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2517970,60334547,104,I5H94_gp104,SEA_SWAGPIGGLETT_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334548,105,I5H94_gp105,SEA_SWAGPIGGLETT_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2517970,60334549,106,I5H94_gp106,SEA_SWAGPIGGLETT_106,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2517970,60334550,21,I5H94_gp021,SEA_SWAGPIGGLETT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334551,10,I5H94_gp010,SEA_SWAGPIGGLETT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2517970,60334552,20,I5H94_gp020,SEA_SWAGPIGGLETT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2517970,60334553,2,I5H94_gp002,SEA_SWAGPIGGLETT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210406,-
2517970,60334554,4,I5H94_gp004,SEA_SWAGPIGGLETT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334555,37,I5H94_gp037,SEA_SWAGPIGGLETT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334556,77,I5H94_gp077,SEA_SWAGPIGGLETT_77,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210313,-
2517970,60334557,86,I5H94_gp086,SEA_SWAGPIGGLETT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517970,60334558,1,I5H94_gp001,SEA_SWAGPIGGLETT_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2517970,60338761,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
