#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821553,29126320,2,BJD65_gp02,SEA_GUACAMOLE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821553,29126332,14,BJD65_gp14,SEA_GUACAMOLE_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821553,29126333,16,BJD65_gp15,SEA_GUACAMOLE_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821553,29126334,17,BJD65_gp17,SEA_GUACAMOLE_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821553,29126335,15,BJD65_gp16,SEA_GUACAMOLE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821553,29126336,18,BJD65_gp18,SEA_GUACAMOLE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821553,29126337,19,BJD65_gp19,SEA_GUACAMOLE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821553,29126338,20,BJD65_gp20,SEA_GUACAMOLE_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210424,-
1821553,29126339,21,BJD65_gp21,SEA_GUACAMOLE_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210424,-
1821553,29126340,22,BJD65_gp22,SEA_GUACAMOLE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821553,29126341,23,BJD65_gp23,SEA_GUACAMOLE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126342,24,BJD65_gp24,SEA_GUACAMOLE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126343,25,BJD65_gp25,SEA_GUACAMOLE_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
1821553,29126344,26,BJD65_gp26,SEA_GUACAMOLE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126345,27,BJD65_gp27,SEA_GUACAMOLE_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821553,29126346,28,BJD65_gp28,SEA_GUACAMOLE_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821553,29126347,29,BJD65_gp29,SEA_GUACAMOLE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126348,30,BJD65_gp30,SEA_GUACAMOLE_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821553,29126349,31,BJD65_gp31,SEA_GUACAMOLE_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200927,-
1821553,29126350,32,BJD65_gp32,SEA_GUACAMOLE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126351,33,BJD65_gp33,SEA_GUACAMOLE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126352,34,BJD65_gp34,SEA_GUACAMOLE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126353,35,BJD65_gp35,SEA_GUACAMOLE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126354,36,BJD65_gp36,SEA_GUACAMOLE_36,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821553,29126355,37,BJD65_gp37,SEA_GUACAMOLE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126356,38,BJD65_gp38,SEA_GUACAMOLE_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1821553,29126357,39,BJD65_gp39,SEA_GUACAMOLE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126358,40,BJD65_gp40,SEA_GUACAMOLE_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1821553,29126359,41,BJD65_gp41,SEA_GUACAMOLE_41,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821553,29126360,42,BJD65_gp42,SEA_GUACAMOLE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126361,43,BJD65_gp43,SEA_GUACAMOLE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126362,44,BJD65_gp44,SEA_GUACAMOLE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126363,45,BJD65_gp45,SEA_GUACAMOLE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126364,46,BJD65_gp46,SEA_GUACAMOLE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126365,47,BJD65_gp47,SEA_GUACAMOLE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126366,48,BJD65_gp48,SEA_GUACAMOLE_48,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821553,29126367,49,BJD65_gp49,SEA_GUACAMOLE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126368,50,BJD65_gp50,SEA_GUACAMOLE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126369,51,BJD65_gp51,SEA_GUACAMOLE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126370,52,BJD65_gp52,SEA_GUACAMOLE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126371,53,BJD65_gp53,SEA_GUACAMOLE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126372,54,BJD65_gp54,SEA_GUACAMOLE_54,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20200927,-
1821553,29126373,55,BJD65_gp55,SEA_GUACAMOLE_55,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821553,29126374,56,BJD65_gp56,SEA_GUACAMOLE_56,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1821553,29126375,57,BJD65_gp57,SEA_GUACAMOLE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126376,58,BJD65_gp58,SEA_GUACAMOLE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126377,59,BJD65_gp59,SEA_GUACAMOLE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126378,60,BJD65_gp60,SEA_GUACAMOLE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126379,61,BJD65_gp61,SEA_GUACAMOLE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126380,62,BJD65_gp62,SEA_GUACAMOLE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126381,63,BJD65_gp63,SEA_GUACAMOLE_63,-,-,-,nucleotidyl transferase,protein-coding,-,-,-,nucleotidyl transferase,20200927,-
1821553,29126382,64,BJD65_gp64,SEA_GUACAMOLE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126383,65,BJD65_gp65,SEA_GUACAMOLE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126384,66,BJD65_gp66,SEA_GUACAMOLE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126385,67,BJD65_gp67,SEA_GUACAMOLE_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821553,29126386,68,BJD65_gp68,SEA_GUACAMOLE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126387,69,BJD65_gp69,SEA_GUACAMOLE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126388,70,BJD65_gp70,SEA_GUACAMOLE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126389,71,BJD65_gp71,SEA_GUACAMOLE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126390,72,BJD65_gp72,SEA_GUACAMOLE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126391,73,BJD65_gp73,SEA_GUACAMOLE_73,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1821553,29126392,74,BJD65_gp74,SEA_GUACAMOLE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126393,75,BJD65_gp75,SEA_GUACAMOLE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126394,76,BJD65_gp76,SEA_GUACAMOLE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126395,77,BJD65_gp77,SEA_GUACAMOLE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821553,29126396,78,BJD65_gp78,SEA_GUACAMOLE_78,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821553,29126397,1,BJD65_gp01,SEA_GUACAMOLE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1821553,29140837,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
