#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656605,60334238,2,I5H92_gp002,PBI_STANNES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656605,60334254,18,I5H92_gp018,PBI_STANNES_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656605,60334255,19,I5H92_gp019,PBI_STANNES_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656605,60334256,20,I5H92_gp020,PBI_STANNES_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656605,60334257,21,I5H92_gp021,PBI_STANNES_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334258,22,I5H92_gp022,PBI_STANNES_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334259,23,I5H92_gp023,PBI_STANNES_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656605,60334260,24,I5H92_gp024,PBI_STANNES_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334261,25,I5H92_gp025,PBI_STANNES_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334262,26,I5H92_gp026,PBI_STANNES_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334263,27,I5H92_gp027,PBI_STANNES_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334264,28,I5H92_gp028,PBI_STANNES_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201203,-
2656605,60334265,29,I5H92_gp029,PBI_STANNES_29,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2656605,60334266,31,I5H92_gp031,PBI_STANNES_31,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2656605,60334267,32,I5H92_gp032,PBI_STANNES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2656605,60334268,33,I5H92_gp033,PBI_STANNES_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334269,34,I5H92_gp034,PBI_STANNES_34,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20201129,-
2656605,60334270,35,I5H92_gp035,PBI_STANNES_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334271,36,I5H92_gp036,PBI_STANNES_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334272,37,I5H92_gp037,PBI_STANNES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334273,38,I5H92_gp038,PBI_STANNES_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2656605,60334274,39,I5H92_gp039,PBI_STANNES_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334275,40,I5H92_gp040,PBI_STANNES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334276,41,I5H92_gp041,PBI_STANNES_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334277,42,I5H92_gp042,PBI_STANNES_42,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2656605,60334278,43,I5H92_gp043,PBI_STANNES_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334279,44,I5H92_gp044,PBI_STANNES_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334280,47,I5H92_gp047,PBI_STANNES_47,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201129,-
2656605,60334281,48,I5H92_gp048,PBI_STANNES_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334282,49,I5H92_gp049,PBI_STANNES_49,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2656605,60334283,50,I5H92_gp050,PBI_STANNES_50,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2656605,60334284,51,I5H92_gp051,PBI_STANNES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656605,60334285,52,I5H92_gp052,PBI_STANNES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334286,53,I5H92_gp053,PBI_STANNES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334287,54,I5H92_gp054,PBI_STANNES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334288,55,I5H92_gp055,PBI_STANNES_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2656605,60334289,56,I5H92_gp056,PBI_STANNES_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2656605,60334290,57,I5H92_gp057,PBI_STANNES_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201203,-
2656605,60334291,58,I5H92_gp058,PBI_STANNES_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2656605,60334292,59,I5H92_gp059,PBI_STANNES_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334293,60,I5H92_gp060,PBI_STANNES_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334294,61,I5H92_gp061,PBI_STANNES_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2656605,60334295,62,I5H92_gp062,PBI_STANNES_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656605,60334296,63,I5H92_gp063,PBI_STANNES_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201203,-
2656605,60334297,64,I5H92_gp064,PBI_STANNES_64,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656605,60334298,65,I5H92_gp065,PBI_STANNES_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334299,67,I5H92_gp067,PBI_STANNES_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334300,68,I5H92_gp068,PBI_STANNES_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334301,69,I5H92_gp069,PBI_STANNES_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334302,70,I5H92_gp070,PBI_STANNES_70,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210424,-
2656605,60334303,71,I5H92_gp071,PBI_STANNES_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334304,72,I5H92_gp072,PBI_STANNES_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334305,73,I5H92_gp073,PBI_STANNES_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334306,75,I5H92_gp075,PBI_STANNES_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334307,77,I5H92_gp077,PBI_STANNES_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334308,79,I5H92_gp079,PBI_STANNES_79,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2656605,60334309,80,I5H92_gp080,PBI_STANNES_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334310,81,I5H92_gp081,PBI_STANNES_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334311,82,I5H92_gp082,PBI_STANNES_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334312,83,I5H92_gp083,PBI_STANNES_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334313,84,I5H92_gp084,PBI_STANNES_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334314,85,I5H92_gp085,PBI_STANNES_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334315,87,I5H92_gp087,PBI_STANNES_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334316,88,I5H92_gp088,PBI_STANNES_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334317,89,I5H92_gp089,PBI_STANNES_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334318,90,I5H92_gp090,PBI_STANNES_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334319,91,I5H92_gp091,PBI_STANNES_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334320,92,I5H92_gp092,PBI_STANNES_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334321,93,I5H92_gp093,PBI_STANNES_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334322,94,I5H92_gp094,PBI_STANNES_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334323,95,I5H92_gp095,PBI_STANNES_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334324,96,I5H92_gp096,PBI_STANNES_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334325,97,I5H92_gp097,PBI_STANNES_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334326,98,I5H92_gp098,PBI_STANNES_98,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210123,-
2656605,60334327,99,I5H92_gp099,PBI_STANNES_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334328,100,I5H92_gp100,PBI_STANNES_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334329,101,I5H92_gp101,PBI_STANNES_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334330,102,I5H92_gp102,PBI_STANNES_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334331,103,I5H92_gp103,PBI_STANNES_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334332,104,I5H92_gp104,PBI_STANNES_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334333,105,I5H92_gp105,PBI_STANNES_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334334,107,I5H92_gp107,PBI_STANNES_107,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2656605,60334335,108,I5H92_gp108,PBI_STANNES_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334336,109,I5H92_gp109,PBI_STANNES_109,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656605,60334337,110,I5H92_gp110,PBI_STANNES_110,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2656605,60334338,30,I5H92_gp030,PBI_STANNES_30,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2656605,60334339,66,I5H92_gp066,PBI_STANNES_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334340,74,I5H92_gp074,PBI_STANNES_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334341,76,I5H92_gp076,PBI_STANNES_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334342,78,I5H92_gp078,PBI_STANNES_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656605,60334343,86,I5H92_gp086,PBI_STANNES_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656605,60334344,106,I5H92_gp106,PBI_STANNES_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656605,60334345,46,I5H92_gp046,PBI_STANNES_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201203,-
2656605,60334346,45,I5H92_gp045,PBI_STANNES_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2656605,60334347,1,I5H92_gp001,PBI_STANNES_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2656605,60338815,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
