#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
981330,10271082,ruvC,TPA2_gp15,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201220,-
981330,10322464,TPA2_gp65,TPA2_gp65,-,-,-,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20201220,-
981330,10322465,TPA2_gp46,TPA2_gp46,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
981330,10322466,TPA2_gp44,TPA2_gp44,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20201220,-
981330,10322467,TPA2_gp35,TPA2_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322468,TPA2_gp34,TPA2_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322469,TPA2_gp42,TPA2_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322470,TPA2_gp47,TPA2_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322471,TPA2_gp49,TPA2_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322472,TPA2_gp12,TPA2_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322473,TPA2_gp40,TPA2_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322474,TPA2_gp48,TPA2_gp48,-,-,-,-,putative regulator,protein-coding,-,-,-,putative regulator,20201220,-
981330,10322475,TPA2_gp16,TPA2_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322476,TPA2_gp50,TPA2_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322477,TPA2_gp04,TPA2_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322478,TPA2_gp51,TPA2_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322479,TPA2_gp10,TPA2_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322480,TPA2_gp57,TPA2_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322481,TPA2_gp29,TPA2_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322482,TPA2_gp08,TPA2_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322483,TPA2_gp20,TPA2_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322484,TPA2_gp11,TPA2_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322485,TPA2_gp32,TPA2_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322486,TPA2_gp38,TPA2_gp38,-,-,-,-,putative RNA polymerase,protein-coding,-,-,-,putative RNA polymerase,20201220,-
981330,10322487,TPA2_gp21,TPA2_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322488,TPA2_gp07,TPA2_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322489,TPA2_gp19,TPA2_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322490,TPA2_gp31,TPA2_gp31,-,-,-,-,tail component,protein-coding,-,-,-,tail component,20201220,-
981330,10322491,TPA2_gp23,TPA2_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322492,TPA2_gp28,TPA2_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322493,TPA2_gp27,TPA2_gp27,-,-,-,-,main tail structural protein,protein-coding,-,-,-,main tail structural protein,20201220,-
981330,10322494,TPA2_gp25,TPA2_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322495,TPA2_gp26,TPA2_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322496,TPA2_gp68,TPA2_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322497,TPA2_gp22,TPA2_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322498,TPA2_gp05,TPA2_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322499,TPA2_gp17,TPA2_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322500,TPA2_gp37,TPA2_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322501,TPA2_gp43,TPA2_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322502,TPA2_gp54,TPA2_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322503,TPA2_gp14,TPA2_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322504,TPA2_gp06,TPA2_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322505,TPA2_gp03,TPA2_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322506,TPA2_gp01,TPA2_gp01,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
981330,10322507,TPA2_gp64,TPA2_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322508,TPA2_gp02,TPA2_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322509,TPA2_gp52,TPA2_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322510,TPA2_gp56,TPA2_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322511,TPA2_gp53,TPA2_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322512,TPA2_gp75,TPA2_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322513,TPA2_gp73,TPA2_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322514,TPA2_gp72,TPA2_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322515,TPA2_gp62,TPA2_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10322516,TPA2_gp63,TPA2_gp63,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
981330,10322517,TPA2_gp74,TPA2_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981330,10326581,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage TPA1; Tsukamurella bacteriophage TPA2).,other,-,-,-,-,20200513,-
