#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599880,60336768,2,I5J49_gp02,PBI_THULATHULA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2599880,60336806,41,I5J49_gp41,PBI_THULATHULA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336807,42,I5J49_gp42,PBI_THULATHULA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336808,43,I5J49_gp43,PBI_THULATHULA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336809,44,I5J49_gp44,PBI_THULATHULA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599880,60336810,45,I5J49_gp45,PBI_THULATHULA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336811,46,I5J49_gp46,PBI_THULATHULA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336812,47,I5J49_gp47,PBI_THULATHULA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336813,48,I5J49_gp48,PBI_THULATHULA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336814,49,I5J49_gp49,PBI_THULATHULA_49,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2599880,60336815,50,I5J49_gp50,PBI_THULATHULA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336816,51,I5J49_gp51,PBI_THULATHULA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336817,52,I5J49_gp52,PBI_THULATHULA_52,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2599880,60336818,53,I5J49_gp53,PBI_THULATHULA_53,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2599880,60336819,54,I5J49_gp54,PBI_THULATHULA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336820,55,I5J49_gp55,PBI_THULATHULA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336821,56,I5J49_gp56,PBI_THULATHULA_56,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210424,-
2599880,60336822,57,I5J49_gp57,PBI_THULATHULA_57,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2599880,60336823,58,I5J49_gp58,PBI_THULATHULA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336824,59,I5J49_gp59,PBI_THULATHULA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336825,60,I5J49_gp60,PBI_THULATHULA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336826,61,I5J49_gp61,PBI_THULATHULA_61,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2599880,60336827,62,I5J49_gp62,PBI_THULATHULA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336828,63,I5J49_gp63,PBI_THULATHULA_63,-,-,-,RNA binding protein,protein-coding,-,-,-,RNA binding protein,20201130,-
2599880,60336829,64,I5J49_gp64,PBI_THULATHULA_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2599880,60336830,65,I5J49_gp65,PBI_THULATHULA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599880,60336831,66,I5J49_gp66,PBI_THULATHULA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336832,68,I5J49_gp68,PBI_THULATHULA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599880,60336833,69,I5J49_gp69,PBI_THULATHULA_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2599880,60336834,71,I5J49_gp71,PBI_THULATHULA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336835,72,I5J49_gp72,PBI_THULATHULA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336836,73,I5J49_gp73,PBI_THULATHULA_73,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2599880,60336837,74,I5J49_gp74,PBI_THULATHULA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336838,75,I5J49_gp75,PBI_THULATHULA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336839,76,I5J49_gp76,PBI_THULATHULA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336840,77,I5J49_gp77,PBI_THULATHULA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336841,78,I5J49_gp78,PBI_THULATHULA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336842,79,I5J49_gp79,PBI_THULATHULA_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2599880,60336843,80,I5J49_gp80,PBI_THULATHULA_80,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210424,-
2599880,60336844,35,I5J49_gp35,PBI_THULATHULA_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2599880,60336845,67,I5J49_gp67,PBI_THULATHULA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336846,70,I5J49_gp70,PBI_THULATHULA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2599880,60336847,1,I5J49_gp01,PBI_THULATHULA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2599880,60350521,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
