#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
424949,17494426,V186_gp02,V186_gp02,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20200629,-
424949,17494462,V186_gp38,V186_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494463,V186_gp39,V186_gp39,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210123,-
424949,17494464,V186_gp40,V186_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
424949,17494465,V186_gp41,V186_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494466,V186_gp42,V186_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494467,V186_gp43,V186_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494468,V186_gp44,V186_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494469,V186_gp45,V186_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494470,V186_gp46,V186_gp46,-,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20200629,-
424949,17494471,V186_gp47,V186_gp47,-,-,-,-,putative helicase/primase protein,protein-coding,-,-,-,putative helicase/primase protein,20200629,-
424949,17494472,V186_gp48,V186_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494473,V186_gp49,V186_gp49,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
424949,17494474,V186_gp50,V186_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494475,V186_gp51,V186_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494476,V186_gp52,V186_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494477,V186_gp53,V186_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494478,V186_gp54,V186_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494479,V186_gp55,V186_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494480,V186_gp56,V186_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494481,V186_gp57,V186_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494482,V186_gp58,V186_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494483,V186_gp59,V186_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494484,V186_gp60,V186_gp60,-,-,-,-,putative class I holin,protein-coding,-,-,-,putative class I holin,20200629,-
424949,17494485,V186_gp61,V186_gp61,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
424949,17494486,V186_gp62,V186_gp62,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
424949,17494487,V186_gp63,V186_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494488,V186_gp64,V186_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494489,V186_gp65,V186_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494490,V186_gp66,V186_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494491,V186_gp67,V186_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494492,V186_gp68,V186_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494493,V186_gp69,V186_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424949,17494494,V186_gp01,V186_gp01,-,-,-,-,putative phage terminase small subunit,protein-coding,-,-,-,putative phage terminase small subunit,20200629,-
424949,17603259,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
