#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662333,40092788,FDI78_gp02,FDI78_gp02,RCCRONUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1662333,40092809,FDI78_gp23,FDI78_gp23,RCCRONUS_23,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1662333,40092810,FDI78_gp24,FDI78_gp24,RCCRONUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092811,FDI78_gp25,FDI78_gp25,RCCRONUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092812,FDI78_gp26,FDI78_gp26,RCCRONUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092813,FDI78_gp27,FDI78_gp27,RCCRONUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092814,FDI78_gp28,FDI78_gp28,RCCRONUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092815,FDI78_gp29,FDI78_gp29,RCCRONUS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092816,FDI78_gp30,FDI78_gp30,RCCRONUS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092817,FDI78_gp31,FDI78_gp31,RCCRONUS_31,-,-,-,partitioning protein,protein-coding,-,-,-,partitioning protein,20201221,-
1662333,40092818,FDI78_gp32,FDI78_gp32,RCCRONUS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092819,FDI78_gp33,FDI78_gp33,RCCRONUS_33,-,-,-,RepA,protein-coding,-,-,-,RepA,20201221,-
1662333,40092820,FDI78_gp34,FDI78_gp34,RCCRONUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092821,FDI78_gp35,FDI78_gp35,RCCRONUS_35,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1662333,40092822,FDI78_gp36,FDI78_gp36,RCCRONUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092823,FDI78_gp37,FDI78_gp37,RCCRONUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092824,FDI78_gp38,FDI78_gp38,RCCRONUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092825,FDI78_gp39,FDI78_gp39,RCCRONUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092826,FDI78_gp40,FDI78_gp40,RCCRONUS_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1662333,40092827,FDI78_gp41,FDI78_gp41,RCCRONUS_41,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1662333,40092828,FDI78_gp42,FDI78_gp42,RCCRONUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092829,FDI78_gp43,FDI78_gp43,RCCRONUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662333,40092830,FDI78_gp44,FDI78_gp44,RCCRONUS_44,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662333,40092831,FDI78_gp01,FDI78_gp01,RCCRONUS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1662333,40120204,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
