#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445727,18503843,2,CH12_gp02,PBI_OAKER_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1445727,18503865,24,CH12_gp24,PBI_OAKER_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1445727,18503866,25,CH12_gp25,PBI_OAKER_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1445727,18503867,26,CH12_gp26,PBI_OAKER_26,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1445727,18503868,27,CH12_gp27,PBI_OAKER_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1445727,18503869,28,CH12_gp28,PBI_OAKER_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1445727,18503870,29,CH12_gp29,PBI_OAKER_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1445727,18503871,30,CH12_gp30,PBI_OAKER_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
1445727,18503872,31,CH12_gp31,PBI_OAKER_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1445727,18503873,32,CH12_gp32,PBI_OAKER_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503874,33,CH12_gp33,PBI_OAKER_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503875,34,CH12_gp34,PBI_OAKER_34,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1445727,18503876,35,CH12_gp35,PBI_OAKER_35,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1445727,18503877,36,CH12_gp36,PBI_OAKER_36,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1445727,18503878,37,CH12_gp37,PBI_OAKER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503879,38,CH12_gp38,PBI_OAKER_38,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1445727,18503880,39,CH12_gp39,PBI_OAKER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503881,40,CH12_gp40,PBI_OAKER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503882,41,CH12_gp41,PBI_OAKER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503883,42,CH12_gp42,PBI_OAKER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503884,43,CH12_gp43,PBI_OAKER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503885,44,CH12_gp44,PBI_OAKER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503886,45,CH12_gp45,PBI_OAKER_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503887,46,CH12_gp46,PBI_OAKER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503888,47,CH12_gp47,PBI_OAKER_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503889,48,CH12_gp48,PBI_OAKER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503890,49,CH12_gp49,PBI_OAKER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503891,50,CH12_gp50,PBI_OAKER_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503892,51,CH12_gp51,PBI_OAKER_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503893,52,CH12_gp52,PBI_OAKER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503894,53,CH12_gp53,PBI_OAKER_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503895,54,CH12_gp54,PBI_OAKER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503896,55,CH12_gp55,PBI_OAKER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503897,56,CH12_gp56,PBI_OAKER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503898,57,CH12_gp57,PBI_OAKER_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503899,58,CH12_gp58,PBI_OAKER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503900,59,CH12_gp59,PBI_OAKER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503901,60,CH12_gp60,PBI_OAKER_60,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1445727,18503902,61,CH12_gp61,PBI_OAKER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503903,62,CH12_gp62,PBI_OAKER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503904,63,CH12_gp63,PBI_OAKER_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503905,64,CH12_gp64,PBI_OAKER_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503906,65,CH12_gp65,PBI_OAKER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503907,66,CH12_gp66,PBI_OAKER_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503908,67,CH12_gp67,PBI_OAKER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503909,68,CH12_gp68,PBI_OAKER_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503910,69,CH12_gp69,PBI_OAKER_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503911,70,CH12_gp70,PBI_OAKER_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503912,71,CH12_gp71,PBI_OAKER_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503913,72,CH12_gp72,PBI_OAKER_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503914,73,CH12_gp73,PBI_OAKER_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503915,74,CH12_gp74,PBI_OAKER_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503916,75,CH12_gp75,PBI_OAKER_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503917,76,CH12_gp76,PBI_OAKER_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503918,77,CH12_gp77,PBI_OAKER_77,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20201221,-
1445727,18503919,78,CH12_gp78,PBI_OAKER_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503920,79,CH12_gp79,PBI_OAKER_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503921,80,CH12_gp80,PBI_OAKER_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503922,81,CH12_gp81,PBI_OAKER_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503923,82,CH12_gp82,PBI_OAKER_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503924,83,CH12_gp83,PBI_OAKER_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503925,84,CH12_gp84,PBI_OAKER_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503926,85,CH12_gp85,PBI_OAKER_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503927,86,CH12_gp86,PBI_OAKER_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503928,87,CH12_gp87,PBI_OAKER_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503929,88,CH12_gp88,PBI_OAKER_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503930,89,CH12_gp89,PBI_OAKER_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503931,90,CH12_gp90,PBI_OAKER_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503932,91,CH12_gp91,PBI_OAKER_91,-,-,-,primase/polymerase,protein-coding,-,-,-,primase/polymerase,20201221,-
1445727,18503933,92,CH12_gp92,PBI_OAKER_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18503934,1,CH12_gp01,PBI_OAKER_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445727,18558799,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Oaker).,other,-,-,-,-,20200513,-
