#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1933107,54979095,HOR57_gp02,HOR57_gp02,B_2,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210212,-
1933107,54979116,HOR57_gp23,HOR57_gp23,B_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979117,HOR57_gp24,HOR57_gp24,B_24,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210212,-
1933107,54979118,HOR57_gp25,HOR57_gp25,B_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933107,54979119,HOR57_gp26,HOR57_gp26,B_26,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210212,-
1933107,54979120,HOR57_gp27,HOR57_gp27,B_27,-,-,-,andolysin,protein-coding,-,-,-,andolysin,20210212,-
1933107,54979121,HOR57_gp28,HOR57_gp28,B_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979122,HOR57_gp29,HOR57_gp29,B_29,-,-,-,DNA mimic ocr,protein-coding,-,-,-,DNA mimic ocr,20201221,-
1933107,54979123,HOR57_gp30,HOR57_gp30,B_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979124,HOR57_gp31,HOR57_gp31,B_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979125,HOR57_gp32,HOR57_gp32,B_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979126,HOR57_gp33,HOR57_gp33,B_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979127,HOR57_gp34,HOR57_gp34,B_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979128,HOR57_gp35,HOR57_gp35,B_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979129,HOR57_gp36,HOR57_gp36,B_36,-,-,-,catalytic beta propeller domain of endosialidase,protein-coding,-,-,-,catalytic beta propeller domain of endosialidase,20210212,-
1933107,54979130,HOR57_gp37,HOR57_gp37,B_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979131,HOR57_gp38,HOR57_gp38,B_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979132,HOR57_gp39,HOR57_gp39,B_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979133,HOR57_gp40,HOR57_gp40,B_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979134,HOR57_gp41,HOR57_gp41,B_41,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210129,-
1933107,54979135,HOR57_gp42,HOR57_gp42,B_42,-,-,-,putative acetyl-CoA acetyltransferase,protein-coding,-,-,-,putative acetyl-CoA acetyltransferase,20201221,-
1933107,54979136,HOR57_gp43,HOR57_gp43,B_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979137,HOR57_gp44,HOR57_gp44,B_44,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1933107,54979138,HOR57_gp45,HOR57_gp45,B_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979139,HOR57_gp46,HOR57_gp46,B_46,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1933107,54979140,HOR57_gp47,HOR57_gp47,B_47,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210212,-
1933107,54979141,HOR57_gp48,HOR57_gp48,B_48,-,-,-,putative internal virion protein,protein-coding,-,-,-,putative internal virion protein,20210212,-
1933107,54979142,HOR57_gp49,HOR57_gp49,B_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1933107,54979143,HOR57_gp50,HOR57_gp50,B_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,54979144,HOR57_gp51,HOR57_gp51,B_51,-,-,-,putative tail tubular B protein,protein-coding,-,-,-,putative tail tubular B protein,20201221,-
1933107,54979145,HOR57_gp52,HOR57_gp52,B_52,-,-,-,tail tubular A protein,protein-coding,-,-,-,tail tubular A protein,20210129,-
1933107,54979146,HOR57_gp53,HOR57_gp53,B_53,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210212,-
1933107,54979147,HOR57_gp54,HOR57_gp54,B_54,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1933107,54979148,HOR57_gp55,HOR57_gp55,B_55,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20210212,-
1933107,54979149,HOR57_gp01,HOR57_gp01,B_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1933107,55153411,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage B AB-2017).,other,-,-,-,-,20200610,-
