#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887644,29068461,2,BIZ75_gp02,SEA_CAROLANN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1887644,29068491,37,BIZ75_gp37,SEA_CAROLANN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068492,38,BIZ75_gp38,SEA_CAROLANN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068493,39,BIZ75_gp39,SEA_CAROLANN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068494,40,BIZ75_gp40,SEA_CAROLANN_40,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200927,-
1887644,29068495,41,BIZ75_gp41,SEA_CAROLANN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887644,29068496,42,BIZ75_gp42,SEA_CAROLANN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068497,43,BIZ75_gp43,SEA_CAROLANN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068498,44,BIZ75_gp44,SEA_CAROLANN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068499,45,BIZ75_gp45,SEA_CAROLANN_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1887644,29068500,46,BIZ75_gp46,SEA_CAROLANN_46,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
1887644,29068501,47,BIZ75_gp47,SEA_CAROLANN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068502,48,BIZ75_gp48,SEA_CAROLANN_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1887644,29068503,49,BIZ75_gp49,SEA_CAROLANN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068504,50,BIZ75_gp50,SEA_CAROLANN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068505,51,BIZ75_gp51,SEA_CAROLANN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068506,52,BIZ75_gp52,SEA_CAROLANN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068507,53,BIZ75_gp53,SEA_CAROLANN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068508,54,BIZ75_gp54,SEA_CAROLANN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068509,55,BIZ75_gp55,SEA_CAROLANN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068510,56,BIZ75_gp56,SEA_CAROLANN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068511,57,BIZ75_gp57,SEA_CAROLANN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068512,58,BIZ75_gp58,SEA_CAROLANN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068513,59,BIZ75_gp59,SEA_CAROLANN_59,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1887644,29068514,60,BIZ75_gp60,SEA_CAROLANN_60,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
1887644,29068515,61,BIZ75_gp61,SEA_CAROLANN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068516,62,BIZ75_gp62,SEA_CAROLANN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068517,63,BIZ75_gp63,SEA_CAROLANN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068518,64,BIZ75_gp64,SEA_CAROLANN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068519,65,BIZ75_gp65,SEA_CAROLANN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068520,66,BIZ75_gp66,SEA_CAROLANN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068521,67,BIZ75_gp67,SEA_CAROLANN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068522,68,BIZ75_gp68,SEA_CAROLANN_68,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1887644,29068523,69,BIZ75_gp69,SEA_CAROLANN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068524,70,BIZ75_gp70,SEA_CAROLANN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068525,71,BIZ75_gp71,SEA_CAROLANN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068526,72,BIZ75_gp72,SEA_CAROLANN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068527,73,BIZ75_gp73,SEA_CAROLANN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068528,75,BIZ75_gp75,SEA_CAROLANN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068529,76,BIZ75_gp76,SEA_CAROLANN_76,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1887644,29068530,77,BIZ75_gp77,SEA_CAROLANN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068531,78,BIZ75_gp78,SEA_CAROLANN_78,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1887644,29068532,79,BIZ75_gp79,SEA_CAROLANN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068533,80,BIZ75_gp80,SEA_CAROLANN_80,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1887644,29068534,74,BIZ75_gp74,SEA_CAROLANN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887644,29068535,3,BIZ75_gp03,SEA_CAROLANN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1887644,29068536,8,BIZ75_gp08,SEA_CAROLANN_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1887644,29068537,15,BIZ75_gp16,SEA_CAROLANN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1887644,29068538,19,BIZ75_gp19,SEA_CAROLANN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887644,29068539,21,BIZ75_gp21,SEA_CAROLANN_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210424,-
1887644,29068540,1,BIZ75_gp01,SEA_CAROLANN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1887644,29140074,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
