#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
455364,26048869,ceV_002,ceV_002,-,-,-,-,multiple glycosyltransferase domain containing protein,protein-coding,-,-,-,multiple glycosyltransferase domain containing protein,20200909,-
455364,26048884,ceV_017,ceV_017,-,-,-,-,putative exostosin family protein/glycosyltransferase for heparan sulfate,protein-coding,-,-,-,putative exostosin family protein/glycosyltransferase for heparan sulfate,20200909,-
455364,26048885,ceV_018,ceV_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048886,ceV_019,ceV_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048887,ceV_020,ceV_020,-,-,-,-,MIGE-like protein,protein-coding,-,-,-,MIGE-like protein,20200909,-
455364,26048888,ceV_021,ceV_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048889,ceV_022,ceV_022,-,-,-,-,MIGE-like protein,protein-coding,-,-,-,MIGE-like protein,20200909,-
455364,26048890,ceV_023,ceV_023,-,-,-,-,Alkylated (methylated) DNA repair protein,protein-coding,-,-,-,Alkylated (methylated) DNA repair protein,20200909,-
455364,26048891,ceV_024,ceV_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048892,ceV_025,ceV_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048893,ceV_026,ceV_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048894,ceV_027,ceV_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048895,ceV_028,ceV_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048896,ceV_029,ceV_029,-,-,-,-,Uracil-DNA glycosylase,protein-coding,-,-,-,Uracil-DNA glycosylase,20200909,-
455364,26048897,ceV_030,ceV_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048898,ceV_031,ceV_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048899,ceV_032,ceV_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048900,ceV_033,ceV_033,-,-,-,-,Papain-like cystein peptidase,protein-coding,-,-,-,Papain-like cystein peptidase,20200909,-
455364,26048901,ceV_034,ceV_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048902,ceV_035,ceV_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048903,ceV_036,ceV_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048904,ceV_037,ceV_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048905,ceV_038,ceV_038,-,-,-,-,SAP domain containing protein,protein-coding,-,-,-,SAP domain containing protein,20200909,-
455364,26048906,ceV_039,ceV_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048907,ceV_040,ceV_040,-,-,-,-,Erv1 / Alr family protein,protein-coding,-,-,-,Erv1 / Alr family protein,20200909,-
455364,26048908,ceV_041,ceV_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048909,ceV_042,ceV_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048910,ceV_043,ceV_043,-,-,-,-,Intein containing ATP-dependent Lon peptidase,protein-coding,-,-,-,Intein containing ATP-dependent Lon peptidase,20200909,-
455364,26048911,ceV_044,ceV_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048912,ceV_045,ceV_045,-,-,-,-,putative XRNA family 5'-3' exonuclease,protein-coding,-,-,-,putative XRNA family 5'-3' exonuclease,20200909,-
455364,26048913,ceV_046,ceV_046,-,-,-,-,putative thioredoxin family protein,protein-coding,-,-,-,putative thioredoxin family protein,20200909,-
455364,26048914,ceV_047,ceV_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048915,ceV_048,ceV_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048916,ceV_049,ceV_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048917,ceV_050,ceV_050,-,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200909,-
455364,26048918,ceV_051,ceV_051,-,-,-,-,chaperone protein DnaJ,protein-coding,-,-,-,chaperone protein DnaJ,20200909,-
455364,26048919,ceV_052,ceV_052,-,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200909,-
455364,26048920,ceV_053,ceV_053,-,-,-,-,RING-finger domain containing protein,protein-coding,-,-,-,RING-finger domain containing protein,20200909,-
455364,26048921,ceV_054,ceV_054,-,-,-,-,ubiquitin conjugating enzyme E2,protein-coding,-,-,-,ubiquitin conjugating enzyme E2,20200909,-
455364,26048922,ceV_055,ceV_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048923,ceV_056,ceV_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048924,ceV_057,ceV_057,-,-,-,-,putative TATA-box binding protein,protein-coding,-,-,-,putative TATA-box binding protein,20200909,-
455364,26048925,ceV_058,ceV_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048926,ceV_059,ceV_059,-,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200909,-
455364,26048927,ceV_060,ceV_060,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200909,-
455364,26048928,ceV_061,ceV_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048929,ceV_062,ceV_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048930,ceV_063,ceV_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048931,ceV_064,ceV_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048932,ceV_065,ceV_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048933,ceV_066,ceV_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048934,ceV_067,ceV_067,-,-,-,-,eukaryotic initiation factor 4E,protein-coding,-,-,-,eukaryotic initiation factor 4E,20200909,-
455364,26048935,ceV_068,ceV_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048936,ceV_069,ceV_069,-,-,-,-,proliferating cell nuclear antigen,protein-coding,-,-,-,proliferating cell nuclear antigen,20200909,-
455364,26048937,ceV_070,ceV_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048938,ceV_071,ceV_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048939,ceV_072,ceV_072,-,-,-,-,DNA topoisomerase II,protein-coding,-,-,-,DNA topoisomerase II,20200909,-
455364,26048940,ceV_073,ceV_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048941,ceV_074,ceV_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048942,ceV_075,ceV_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048943,ceV_076,ceV_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048944,ceV_077,ceV_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048945,ceV_078,ceV_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048946,ceV_524,ceV_524,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26048947,ceV_080,ceV_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048948,ceV_081,ceV_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048949,ceV_082,ceV_082,-,-,-,-,ABC-ATPase domain containing protein,protein-coding,-,-,-,ABC-ATPase domain containing protein,20200909,-
455364,26048950,ceV_083,ceV_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048951,ceV_084,ceV_084,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20200909,-
455364,26048952,ceV_085,ceV_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048953,ceV_086,ceV_086,-,-,-,-,major capsid protein 2,protein-coding,-,-,-,major capsid protein 2,20200909,-
455364,26048954,ceV_087,ceV_087,-,-,-,-,major capsid protein 2,protein-coding,-,-,-,major capsid protein 2,20200909,-
455364,26048955,ceV_088,ceV_088,-,-,-,-,major capsid protein 2,protein-coding,-,-,-,major capsid protein 2,20200909,-
455364,26048956,ceV_089,ceV_089,-,-,-,-,putative phosphoinositide-specific phospholipase C-beta2,protein-coding,-,-,-,putative phosphoinositide-specific phospholipase C-beta2,20200909,-
455364,26048957,ceV_090,ceV_090,-,-,-,-,putative polyA polymerase catalytic subunit,protein-coding,-,-,-,putative polyA polymerase catalytic subunit,20200909,-
455364,26048958,ceV_091,ceV_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048959,ceV_092,ceV_092,-,-,-,-,MIGE-like and Zn finger domain containing protein,protein-coding,-,-,-,MIGE-like and Zn finger domain containing protein,20200909,-
455364,26048960,ceV_093,ceV_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048961,ceV_094,ceV_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048962,ceV_095,ceV_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048963,ceV_096,ceV_096,-,-,-,-,putative patatin-like phospholipase,protein-coding,-,-,-,putative patatin-like phospholipase,20200909,-
455364,26048964,ceV_097,ceV_097,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200909,-
455364,26048965,ceV_098,ceV_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048966,ceV_099,ceV_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048967,ceV_100,ceV_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048968,ceV_101,ceV_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048969,ceV_102,ceV_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048970,ceV_103,ceV_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048971,ceV_104,ceV_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048972,ceV_105,ceV_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048973,ceV_106,ceV_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048974,ceV_107,ceV_107,-,-,-,-,QP-repeat containing DNA-directed RNA polymerase II subunit D,protein-coding,-,-,-,QP-repeat containing DNA-directed RNA polymerase II subunit D,20200909,-
455364,26048975,ceV_108,ceV_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048976,ceV_109,ceV_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048977,ceV_110,ceV_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048978,ceV_111,ceV_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048979,ceV_112,ceV_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048980,ceV_113,ceV_113,-,-,-,-,"Intein containing GDP-mannose 4,6-dehydratase",protein-coding,-,-,-,"Intein containing GDP-mannose 4,6-dehydratase",20200909,-
455364,26048981,ceV_114,ceV_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048982,ceV_115,ceV_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048983,ceV_116,ceV_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048984,ceV_117,ceV_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048985,ceV_118,ceV_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048986,ceV_119,ceV_119,-,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200909,-
455364,26048987,ceV_120,ceV_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048988,ceV_121,ceV_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048989,ceV_122,ceV_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048990,ceV_123,ceV_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048991,ceV_124,ceV_124,-,-,-,-,putative phosphotransferase,protein-coding,-,-,-,putative phosphotransferase,20200909,-
455364,26048992,ceV_125,ceV_125,-,-,-,-,putative VV A32-like packaging ATPase,protein-coding,-,-,-,putative VV A32-like packaging ATPase,20200909,-
455364,26048993,ceV_126,ceV_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048994,ceV_127,ceV_127,-,-,-,-,tRNA-Ile-lysidine synthase,protein-coding,-,-,-,tRNA-Ile-lysidine synthase,20200909,-
455364,26048995,ceV_128,ceV_128,-,-,-,-,Light Harvesting Complex protein,protein-coding,-,-,-,Light Harvesting Complex protein,20200909,-
455364,26048996,ceV_129,ceV_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26048997,ceV_130,ceV_130,-,-,-,-,DUF2177 domain containing protein,protein-coding,-,-,-,DUF2177 domain containing protein,20200909,-
455364,26048998,ceV_131,ceV_131,-,-,-,-,COG4956 domain containing protein,protein-coding,-,-,-,COG4956 domain containing protein,20200909,-
455364,26048999,ceV_132,ceV_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049000,ceV_133,ceV_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049001,ceV_134,ceV_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049002,ceV_135,ceV_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049003,ceV_136,ceV_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049004,ceV_137,ceV_137,-,-,-,-,superoxide dismutase Cu-Zn,protein-coding,-,-,-,superoxide dismutase Cu-Zn,20200909,-
455364,26049005,ceV_138,ceV_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049006,ceV_139,ceV_139,-,-,-,-,Arginase,protein-coding,-,-,-,Arginase,20200909,-
455364,26049007,ceV_140,ceV_140,-,-,-,-,guanosine 5'-monophosphate oxidoreductase/ ou inosine monophosphate dehydrogenase,protein-coding,-,-,-,guanosine 5'-monophosphate oxidoreductase/ ou inosine monophosphate dehydrogenase,20200909,-
455364,26049008,ceV_141,ceV_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049009,ceV_142,ceV_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049010,ceV_143,ceV_143,-,-,-,-,ELP3-like protein acetyltransferase,protein-coding,-,-,-,ELP3-like protein acetyltransferase,20200909,-
455364,26049011,ceV_144,ceV_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049012,ceV_145,ceV_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049013,ceV_146,ceV_146,-,-,-,-,"Trans-2-enoyl-CoA reductase (TER) and 2,4-dienoyl-CoA reductase (DECR)",protein-coding,-,-,-,"Trans-2-enoyl-CoA reductase (TER) and 2,4-dienoyl-CoA reductase (DECR)",20200909,-
455364,26049014,ceV_147,ceV_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049015,ceV_148,ceV_148,-,-,-,-,GIY-YIG endonuclease superfamily protein,protein-coding,-,-,-,GIY-YIG endonuclease superfamily protein,20200909,-
455364,26049016,ceV_149,ceV_149,-,-,-,-,classe V aminotransferase,protein-coding,-,-,-,classe V aminotransferase,20200909,-
455364,26049017,ceV_150,ceV_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049018,ceV_151,ceV_151,-,-,-,-,putative phosphotransferase,protein-coding,-,-,-,putative phosphotransferase,20200909,-
455364,26049019,ceV_152,ceV_152,-,-,-,-,quaternary amonium transporter,protein-coding,-,-,-,quaternary amonium transporter,20200909,-
455364,26049020,ceV_153,ceV_153,-,-,-,-,serine/threonine Mitogen-activated Protein kinase,protein-coding,-,-,-,serine/threonine Mitogen-activated Protein kinase,20200909,-
455364,26049021,ceV_154,ceV_154,-,-,-,-,Fe-S cluster assembly scaffold protein,protein-coding,-,-,-,Fe-S cluster assembly scaffold protein,20200909,-
455364,26049022,ceV_155,ceV_155,-,-,-,-,"Zinc finger, C3HC4 type domaine containing protein, RING superfamily",protein-coding,-,-,-,"Zinc finger, C3HC4 type domaine containing protein, RING superfamily",20200909,-
455364,26049023,ceV_156,ceV_156,-,-,-,-,Ubiquitin,protein-coding,-,-,-,Ubiquitin,20200909,-
455364,26049024,ceV_157,ceV_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049025,ceV_158,ceV_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049026,ceV_159,ceV_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049027,ceV_160,ceV_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049028,ceV_161,ceV_161,-,-,-,-,putative prenyltransferase protein,protein-coding,-,-,-,putative prenyltransferase protein,20200909,-
455364,26049029,ceV_162,ceV_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049030,ceV_163,ceV_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049031,ceV_164,ceV_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049032,ceV_165,ceV_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049033,ceV_166,ceV_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049034,ceV_167,ceV_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049035,ceV_168,ceV_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049036,ceV_169,ceV_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049037,ceV_170,ceV_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049038,ceV_171,ceV_171,-,-,-,-,Phospholipase/Carboxylesterase,protein-coding,-,-,-,Phospholipase/Carboxylesterase,20200909,-
455364,26049039,ceV_172,ceV_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049040,ceV_173,ceV_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049041,ceV_174,ceV_174,-,-,-,-,von Willebrand factor type A domain containing protein,protein-coding,-,-,-,von Willebrand factor type A domain containing protein,20200909,-
455364,26049042,ceV_175,ceV_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049043,ceV_176,ceV_176,-,-,-,-,collagen and repeat containing protein,protein-coding,-,-,-,collagen and repeat containing protein,20200909,-
455364,26049044,ceV_177,ceV_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049045,ceV_178,ceV_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049046,ceV_179,ceV_179,-,-,-,-,Multiple type acyltransferase domains containing protein,protein-coding,-,-,-,Multiple type acyltransferase domains containing protein,20200909,-
455364,26049047,ceV_180,ceV_180,-,-,-,-,glucosyltransferase TPR containing protein,protein-coding,-,-,-,glucosyltransferase TPR containing protein,20200909,-
455364,26049048,ceV_181,ceV_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049049,ceV_182,ceV_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049050,ceV_183,ceV_183,-,-,-,-,glycosyltransferase family 2,protein-coding,-,-,-,glycosyltransferase family 2,20200909,-
455364,26049051,ceV_184,ceV_184,-,-,-,-,collagen triple helix,protein-coding,-,-,-,collagen triple helix,20200909,-
455364,26049052,ceV_185,ceV_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049053,ceV_186,ceV_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049054,ceV_187,ceV_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049055,ceV_188,ceV_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049056,ceV_189,ceV_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049057,ceV_190,ceV_190,-,-,-,-,zinc-binding loop containing protein,protein-coding,-,-,-,zinc-binding loop containing protein,20200909,-
455364,26049058,ceV_191,ceV_191,-,-,-,-,major capsid protein 1,protein-coding,-,-,-,major capsid protein 1,20200909,-
455364,26049059,ceV_192,ceV_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049060,ceV_193,ceV_193,-,-,-,-,Poxvirus related late transcription factor VLTF3,protein-coding,-,-,-,Poxvirus related late transcription factor VLTF3,20200909,-
455364,26049061,ceV_194,ceV_194,-,-,-,-,PAN/APPLE-like domain containing protein,protein-coding,-,-,-,PAN/APPLE-like domain containing protein,20200909,-
455364,26049062,ceV_195,ceV_195,-,-,-,-,Repeat containing Hsp70,protein-coding,-,-,-,Repeat containing Hsp70,20200909,-
455364,26049063,ceV_196,ceV_196,-,-,-,-,Ubox/RING superfamily domain containing protein,protein-coding,-,-,-,Ubox/RING superfamily domain containing protein,20200909,-
455364,26049064,ceV_197,ceV_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049065,ceV_198,ceV_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049066,ceV_199,ceV_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049067,ceV_200,ceV_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049068,ceV_201,ceV_201,-,-,-,-,RING-finger domain containing protein,protein-coding,-,-,-,RING-finger domain containing protein,20200909,-
455364,26049069,ceV_202,ceV_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049070,ceV_203,ceV_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049071,ceV_204,ceV_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049072,ceV_205,ceV_205,-,-,-,-,VV A18-like helicase,protein-coding,-,-,-,VV A18-like helicase,20200909,-
455364,26049073,ceV_206,ceV_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
