#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792287,56167398,H3H30_gp02,H3H30_gp02,vBEcoSP27_02,-,-,-,adenine methylase,protein-coding,-,-,-,adenine methylase,20200905,-
1792287,56167433,H3H30_gp37,H3H30_gp37,vBEcoSP27_37,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20200905,-
1792287,56167434,H3H30_gp38,H3H30_gp38,vBEcoSP27_371,-,-,-,NinE protein,protein-coding,-,-,-,NinE protein,20200905,-
1792287,56167435,H3H30_gp39,H3H30_gp39,vBEcoSP27_38,-,-,-,putitave protein,protein-coding,-,-,-,putitave protein,20200728,-
1792287,56167436,H3H30_gp40,H3H30_gp40,vBEcoSP27_39,-,-,-,putitave protein,protein-coding,-,-,-,putitave protein,20200728,-
1792287,56167437,H3H30_gp41,H3H30_gp41,vBEcoSP27_40,-,-,-,Ant protein,protein-coding,-,-,-,Ant protein,20210406,-
1792287,56167438,H3H30_gp42,H3H30_gp42,vBEcoSP27_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167439,H3H30_gp43,H3H30_gp43,vBEcoSP27_42,-,-,-,DNA-binding protein Roi,protein-coding,-,-,-,DNA-binding protein Roi,20200905,-
1792287,56167440,H3H30_gp44,H3H30_gp44,vBEcoSP27_43,-,-,-,NinG protein,protein-coding,-,-,-,NinG protein,20200926,-
1792287,56167441,H3H30_gp45,H3H30_gp45,vBEcoSP27_44,-,-,-,NinH protein,protein-coding,-,-,-,NinH protein,20201003,-
1792287,56167442,H3H30_gp46,H3H30_gp46,vBEcoSP27_45,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20210212,-
1792287,56167443,H3H30_gp47,H3H30_gp47,vBEcoSP27_46,-,-,-,DNA modification methylase,protein-coding,-,-,-,DNA modification methylase,20200728,-
1792287,56167444,H3H30_gt01,H3H30_gt01,vBEcoSP27_r001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792287,56167445,H3H30_gt02,H3H30_gt02,vBEcoSP27_r002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792287,56167446,H3H30_gt03,H3H30_gt03,vBEcoSP27_r003,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792287,56167447,H3H30_gp88,H3H30_gp88,vBEcoSP27_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1792287,56167448,H3H30_gp87,H3H30_gp87,vBEcoSP27_48,-,-,-,chloramphenicol acetyltransferase,protein-coding,-,-,-,chloramphenicol acetyltransferase,20210417,-
1792287,56167449,H3H30_gp86,H3H30_gp86,vBEcoSP27_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1792287,56167450,H3H30_gp85,H3H30_gp85,vBEcoSP27_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167451,H3H30_gp84,H3H30_gp84,vBEcoSP27_51,-,-,-,putitave protein,protein-coding,-,-,-,putitave protein,20200728,-
1792287,56167452,H3H30_gp83,H3H30_gp83,vBEcoSP27_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167453,H3H30_gp82,H3H30_gp82,vBEcoSP27_53,-,-,-,lysis protein S,protein-coding,-,-,-,lysis protein S,20210417,-
1792287,56167454,H3H30_gp81,H3H30_gp81,vBEcoSP27_54,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201010,-
1792287,56167455,H3H30_gp80,H3H30_gp80,vBEcoSP27_55,-,-,-,antirepressor protein Ant,protein-coding,-,-,-,antirepressor protein Ant,20210417,-
1792287,56167456,H3H30_gp79,H3H30_gp79,vBEcoSP27_551,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167457,H3H30_gp78,H3H30_gp78,vBEcoSP27_56,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20210417,-
1792287,56167458,H3H30_gp77,H3H30_gp77,vBEcoSP27_57,-,-,-,lipoprotein Bor,protein-coding,-,-,-,lipoprotein Bor,20210212,-
1792287,56167459,H3H30_gp76,H3H30_gp76,vBEcoSP27_58,-,-,-,putitave protein,protein-coding,-,-,-,putitave protein,20200728,-
1792287,56167460,H3H30_gp75,H3H30_gp75,vBEcoSP27_59,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200728,-
1792287,56167461,H3H30_gp74,H3H30_gp74,vBEcoSP27_60,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201003,-
1792287,56167462,H3H30_gp73,H3H30_gp73,vBEcoSP27_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167463,H3H30_gp72,H3H30_gp72,vBEcoSP27_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167464,H3H30_gp71,H3H30_gp71,vBEcoSP27_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1792287,56167465,H3H30_gp70,H3H30_gp70,vBEcoSP27_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167466,H3H30_gp69,H3H30_gp69,vBEcoSP27_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167467,H3H30_gp68,H3H30_gp68,vBEcoSP27_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167468,H3H30_gp67,H3H30_gp67,vBEcoSP27_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167469,H3H30_gp66,H3H30_gp66,vBEcoSP27_68,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210406,-
1792287,56167470,H3H30_gp65,H3H30_gp65,vBEcoSP27_69,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201010,-
1792287,56167471,H3H30_gp64,H3H30_gp64,vBEcoSP27_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167472,H3H30_gp63,H3H30_gp63,vBEcoSP27_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167473,H3H30_gp62,H3H30_gp62,vBEcoSP27_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167474,H3H30_gp61,H3H30_gp61,vBEcoSP27_73,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201003,-
1792287,56167475,H3H30_gp60,H3H30_gp60,vBEcoSP27_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167476,H3H30_gp59,H3H30_gp59,vBEcoSP27_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167477,H3H30_gp58,H3H30_gp58,vBEcoSP27_76,-,-,-,outer membrane protein Lom precursor,protein-coding,-,-,-,outer membrane protein Lom precursor,20210406,-
1792287,56167478,H3H30_gp57,H3H30_gp57,vBEcoSP27_761,-,-,-,small toxic polypeptide,protein-coding,-,-,-,small toxic polypeptide,20210327,-
1792287,56167479,H3H30_gp56,H3H30_gp56,vBEcoSP27_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167480,H3H30_gp55,H3H30_gp55,vBEcoSP27_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167481,H3H30_gp54,H3H30_gp54,vBEcoSP27_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167482,H3H30_gp53,H3H30_gp53,vBEcoSP27_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167483,H3H30_gp52,H3H30_gp52,vBEcoSP27_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56167484,H3H30_gp51,H3H30_gp51,vBEcoSP27_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1792287,56167485,H3H30_gp50,H3H30_gp50,vBEcoSP27_83,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
1792287,56167486,H3H30_gp49,H3H30_gp49,vBEcoSP27_84,-,-,-,Xis,protein-coding,-,-,-,Xis,20210129,-
1792287,56167487,H3H30_gp48,H3H30_gp48,vBEcoSP27_85,-,-,-,antirepressor protein AntB,protein-coding,-,-,-,antirepressor protein AntB,20210424,-
1792287,56167488,H3H30_gp01,H3H30_gp01,vBEcoSP27_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792287,56238757,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200729,-
