#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
663557,8683796,2,PEACHES_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
663557,8683844,50,PEACHES_50,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
663557,8683845,51,PEACHES_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683846,52,PEACHES_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683847,53,PEACHES_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683848,54,PEACHES_54,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
663557,8683849,55,PEACHES_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
663557,8683850,56,PEACHES_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683851,57,PEACHES_57,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210123,-
663557,8683852,58,PEACHES_58,-,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201221,-
663557,8683853,59,PEACHES_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663557,8683854,60,PEACHES_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683855,61,PEACHES_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683856,62,PEACHES_62,-,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210417,-
663557,8683857,63,PEACHES_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683858,64,PEACHES_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683859,65,PEACHES_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683860,66,PEACHES_66,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210123,-
663557,8683861,67,PEACHES_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683862,68,PEACHES_68,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210102,-
663557,8683863,69,PEACHES_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683864,70,PEACHES_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683865,71,PEACHES_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683866,72,PEACHES_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683867,73,PEACHES_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683868,74,PEACHES_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683869,75,PEACHES_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663557,8683870,76,PEACHES_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683871,77,PEACHES_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683872,78,PEACHES_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683873,79,PEACHES_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683874,80,PEACHES_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683875,81,PEACHES_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663557,8683876,82,PEACHES_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683877,83,PEACHES_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683878,84,PEACHES_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683879,85,PEACHES_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683880,86,PEACHES_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8683881,1,PEACHES_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
663557,8690662,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Peaches; Mycobacterium phage Peaches).,other,-,-,-,-,20200513,-
