#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713262,62974233,2,JZX77_gp02,SEA_DUMPSTERDUDE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210228,-
2713262,62974251,20,JZX77_gp20,SEA_DUMPSTERDUDE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2713262,62974252,21,JZX77_gp21,SEA_DUMPSTERDUDE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2713262,62974253,22,JZX77_gp22,SEA_DUMPSTERDUDE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2713262,62974254,23,JZX77_gp23,SEA_DUMPSTERDUDE_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210228,-
2713262,62974255,24,JZX77_gp24,SEA_DUMPSTERDUDE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974256,25,JZX77_gp25,SEA_DUMPSTERDUDE_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210320,-
2713262,62974257,26,JZX77_gp26,SEA_DUMPSTERDUDE_26,-,-,-,holin,protein-coding,-,-,-,holin,20210320,-
2713262,62974258,27,JZX77_gp27,SEA_DUMPSTERDUDE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974259,28,JZX77_gp28,SEA_DUMPSTERDUDE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713262,62974260,29,JZX77_gp29,SEA_DUMPSTERDUDE_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210320,-
2713262,62974261,30,JZX77_gp30,SEA_DUMPSTERDUDE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974262,31,JZX77_gp31,SEA_DUMPSTERDUDE_31,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210320,-
2713262,62974263,32,JZX77_gp32,SEA_DUMPSTERDUDE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974264,33,JZX77_gp33,SEA_DUMPSTERDUDE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713262,62974265,34,JZX77_gp34,SEA_DUMPSTERDUDE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974266,35,JZX77_gp35,SEA_DUMPSTERDUDE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974267,36,JZX77_gp36,SEA_DUMPSTERDUDE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974268,37,JZX77_gp37,SEA_DUMPSTERDUDE_37,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210320,-
2713262,62974269,38,JZX77_gp38,SEA_DUMPSTERDUDE_38,-,-,-,BrnT-like toxin,protein-coding,-,-,-,BrnT-like toxin,20210228,-
2713262,62974270,39,JZX77_gp39,SEA_DUMPSTERDUDE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713262,62974271,40,JZX77_gp40,SEA_DUMPSTERDUDE_40,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210320,-
2713262,62974272,41,JZX77_gp41,SEA_DUMPSTERDUDE_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210320,-
2713262,62974273,42,JZX77_gp42,SEA_DUMPSTERDUDE_42,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210228,-
2713262,62974274,43,JZX77_gp43,SEA_DUMPSTERDUDE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974275,44,JZX77_gp44,SEA_DUMPSTERDUDE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974276,45,JZX77_gp45,SEA_DUMPSTERDUDE_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210320,-
2713262,62974277,46,JZX77_gp46,SEA_DUMPSTERDUDE_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210320,-
2713262,62974278,47,JZX77_gp47,SEA_DUMPSTERDUDE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974279,48,JZX77_gp48,SEA_DUMPSTERDUDE_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210320,-
2713262,62974280,49,JZX77_gp49,SEA_DUMPSTERDUDE_49,-,-,-,excise,protein-coding,-,-,-,excise,20210228,-
2713262,62974281,50,JZX77_gp50,SEA_DUMPSTERDUDE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974282,51,JZX77_gp51,SEA_DUMPSTERDUDE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974283,52,JZX77_gp52,SEA_DUMPSTERDUDE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713262,62974284,53,JZX77_gp53,SEA_DUMPSTERDUDE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974285,54,JZX77_gp54,SEA_DUMPSTERDUDE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974286,55,JZX77_gp55,SEA_DUMPSTERDUDE_55,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210320,-
2713262,62974287,56,JZX77_gp56,SEA_DUMPSTERDUDE_56,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210228,-
2713262,62974288,57,JZX77_gp57,SEA_DUMPSTERDUDE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974289,58,JZX77_gp58,SEA_DUMPSTERDUDE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974290,59,JZX77_gp59,SEA_DUMPSTERDUDE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974291,60,JZX77_gp60,SEA_DUMPSTERDUDE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974292,61,JZX77_gp61,SEA_DUMPSTERDUDE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974293,62,JZX77_gp62,SEA_DUMPSTERDUDE_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210320,-
2713262,62974294,63,JZX77_gp63,SEA_DUMPSTERDUDE_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210228,-
2713262,62974295,64,JZX77_gp64,SEA_DUMPSTERDUDE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974296,65,JZX77_gp65,SEA_DUMPSTERDUDE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713262,62974297,66,JZX77_gp66,SEA_DUMPSTERDUDE_66,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210320,-
2713262,62974298,67,JZX77_gp67,SEA_DUMPSTERDUDE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974299,68,JZX77_gp68,SEA_DUMPSTERDUDE_68,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2713262,62974300,69,JZX77_gp69,SEA_DUMPSTERDUDE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974301,70,JZX77_gp70,SEA_DUMPSTERDUDE_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210228,-
2713262,62974302,71,JZX77_gp71,SEA_DUMPSTERDUDE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210228,-
2713262,62974303,1,JZX77_gp01,SEA_DUMPSTERDUDE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210228,-
2713262,62974907,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210301,-
