#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767562,60331726,2,I5H68_gp002,PBI_MOVA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2767562,60331817,99,I5H68_gp099,PBI_MOVA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331818,101,I5H68_gp101,PBI_MOVA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331819,102,I5H68_gp102,PBI_MOVA_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331820,103,I5H68_gp103,PBI_MOVA_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2767562,60331821,104,I5H68_gp104,PBI_MOVA_104,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2767562,60331822,105,I5H68_gp105,PBI_MOVA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331823,97,I5H68_gp097,PBI_MOVA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331824,73,I5H68_gp073,PBI_MOVA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331825,81,I5H68_gp081,PBI_MOVA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331826,106,I5H68_gp106,PBI_MOVA_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2767562,60331827,29,I5H68_gp029,PBI_MOVA_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2767562,60331828,50,I5H68_gp050,PBI_MOVA_50,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2767562,60331829,63,I5H68_gp063,PBI_MOVA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331830,100,I5H68_gp100,PBI_MOVA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767562,60331831,1,I5H68_gp001,PBI_MOVA_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767562,60338911,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
