#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027259,55808261,HYP47_gp02,HYP47_gp02,LP9903_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027259,55808292,HYP47_gp33,HYP47_gp33,LP9903_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808293,HYP47_gp34,HYP47_gp34,LP9903_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808294,HYP47_gp35,HYP47_gp35,LP9903_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808295,HYP47_gp36,HYP47_gp36,LP9903_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
2027259,55808296,HYP47_gp37,HYP47_gp37,LP9903_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808297,HYP47_gp38,HYP47_gp38,LP9903_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808298,HYP47_gp39,HYP47_gp39,LP9903_39,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
2027259,55808299,HYP47_gp40,HYP47_gp40,LP9903_40,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2027259,55808300,HYP47_gp41,HYP47_gp41,LP9903_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808301,HYP47_gp42,HYP47_gp42,LP9903_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808302,HYP47_gp43,HYP47_gp43,LP9903_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808303,HYP47_gp44,HYP47_gp44,LP9903_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808304,HYP47_gp45,HYP47_gp45,LP9903_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027259,55808305,HYP47_gp46,HYP47_gp46,LP9903_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027259,55808306,HYP47_gp47,HYP47_gp47,LP9903_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808307,HYP47_gp48,HYP47_gp48,LP9903_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808308,HYP47_gp49,HYP47_gp49,LP9903_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808309,HYP47_gp50,HYP47_gp50,LP9903_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808310,HYP47_gp51,HYP47_gp51,LP9903_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808311,HYP47_gp52,HYP47_gp52,LP9903_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808312,HYP47_gp53,HYP47_gp53,LP9903_53,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2027259,55808313,HYP47_gp54,HYP47_gp54,LP9903_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027259,55808314,HYP47_gp01,HYP47_gp01,LP9903_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201010,-
2027259,55863451,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
