#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2704031,55626426,HWD03_gp002,HWD03_gp002,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2704031,55626442,HWD03_gp018,HWD03_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626443,HWD03_gp019,HWD03_gp019,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210320,-
2704031,55626444,HWD03_gp020,HWD03_gp020,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200620,-
2704031,55626445,HWD03_gp021,HWD03_gp021,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200620,-
2704031,55626446,HWD03_gp022,HWD03_gp022,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210320,-
2704031,55626447,HWD03_gp023,HWD03_gp023,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210320,-
2704031,55626448,HWD03_gp024,HWD03_gp024,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210320,-
2704031,55626449,HWD03_gp025,HWD03_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626450,HWD03_gp026,HWD03_gp026,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20200620,-
2704031,55626451,HWD03_gp027,HWD03_gp027,-,-,-,-,tail fiber chaperone,protein-coding,-,-,-,tail fiber chaperone,20210320,-
2704031,55626452,HWD03_gp028,HWD03_gp028,-,-,-,-,permuted papain-like amidase,protein-coding,-,-,-,permuted papain-like amidase,20210320,-
2704031,55626453,HWD03_gp029,HWD03_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626454,HWD03_gp030,HWD03_gp030,-,-,-,-,hybrid sensor histidine kinase - response regulator,protein-coding,-,-,-,hybrid sensor histidine kinase - response regulator,20210320,-
2704031,55626455,HWD03_gp031,HWD03_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626456,HWD03_gp032,HWD03_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626457,HWD03_gp033,HWD03_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626458,HWD03_gp034,HWD03_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626459,HWD03_gp035,HWD03_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626460,HWD03_gp036,HWD03_gp036,-,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20210320,-
2704031,55626461,HWD03_gp037,HWD03_gp037,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210320,-
2704031,55626462,HWD03_gp038,HWD03_gp038,-,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20210320,-
2704031,55626463,HWD03_gp039,HWD03_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626464,HWD03_gp040,HWD03_gp040,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200620,-
2704031,55626465,HWD03_gp041,HWD03_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626466,HWD03_gp042,HWD03_gp042,-,-,-,-,stomatin-like protein,protein-coding,-,-,-,stomatin-like protein,20210320,-
2704031,55626467,HWD03_gp043,HWD03_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626468,HWD03_gp044,HWD03_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626469,HWD03_gp045,HWD03_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626470,HWD03_gp046,HWD03_gp046,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210320,-
2704031,55626471,HWD03_gp047,HWD03_gp047,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210320,-
2704031,55626472,HWD03_gp048,HWD03_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626473,HWD03_gp049,HWD03_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626474,HWD03_gp050,HWD03_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626475,HWD03_gp051,HWD03_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626476,HWD03_gp052,HWD03_gp052,-,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210320,-
2704031,55626477,HWD03_gp053,HWD03_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626478,HWD03_gp054,HWD03_gp054,-,-,-,-,metallo-dependent phosphatase,protein-coding,-,-,-,metallo-dependent phosphatase,20200620,-
2704031,55626479,HWD03_gp055,HWD03_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626480,HWD03_gp056,HWD03_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626481,HWD03_gp057,HWD03_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626482,HWD03_gp058,HWD03_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626483,HWD03_gp059,HWD03_gp059,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200620,-
2704031,55626484,HWD03_gp060,HWD03_gp060,-,-,-,-,HTH homing endonuclease,protein-coding,-,-,-,HTH homing endonuclease,20200620,-
2704031,55626485,HWD03_gp061,HWD03_gp061,-,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200620,-
2704031,55626486,HWD03_gp062,HWD03_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626487,HWD03_gp063,HWD03_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626488,HWD03_gp064,HWD03_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626489,HWD03_gp065,HWD03_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626490,HWD03_gp066,HWD03_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626491,HWD03_gp067,HWD03_gp067,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210320,-
2704031,55626492,HWD03_gp068,HWD03_gp068,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20210320,-
2704031,55626493,HWD03_gp069,HWD03_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626494,HWD03_gp070,HWD03_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626495,HWD03_gp071,HWD03_gp071,-,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210320,-
2704031,55626496,HWD03_gp072,HWD03_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626497,HWD03_gp073,HWD03_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626498,HWD03_gp074,HWD03_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626499,HWD03_gp075,HWD03_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626500,HWD03_gp076,HWD03_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626501,HWD03_gp077,HWD03_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626502,HWD03_gp078,HWD03_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626503,HWD03_gp079,HWD03_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626504,HWD03_gp080,HWD03_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626505,HWD03_gp081,HWD03_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626506,HWD03_gp082,HWD03_gp082,-,-,-,-,DNA-binding HTH domain-containing protein,protein-coding,-,-,-,DNA-binding HTH domain-containing protein,20210320,-
2704031,55626507,HWD03_gp083,HWD03_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626508,HWD03_gp084,HWD03_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626509,HWD03_gp085,HWD03_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626510,HWD03_gp086,HWD03_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626511,HWD03_gp087,HWD03_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626512,HWD03_gp088,HWD03_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626513,HWD03_gp089,HWD03_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626514,HWD03_gp090,HWD03_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626515,HWD03_gp091,HWD03_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626516,HWD03_gp092,HWD03_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626517,HWD03_gp093,HWD03_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626518,HWD03_gp094,HWD03_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626519,HWD03_gp095,HWD03_gp095,-,-,-,-,transcription termination-antitermination domain-containing protein,protein-coding,-,-,-,transcription termination-antitermination domain-containing protein,20200620,-
2704031,55626520,HWD03_gp096,HWD03_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626521,HWD03_gp097,HWD03_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626522,HWD03_gp098,HWD03_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626523,HWD03_gp099,HWD03_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626524,HWD03_gp100,HWD03_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626525,HWD03_gp101,HWD03_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626526,HWD03_gp102,HWD03_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626527,HWD03_gp103,HWD03_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626528,HWD03_gp104,HWD03_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626529,HWD03_gp105,HWD03_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626530,HWD03_gp106,HWD03_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626531,HWD03_gp107,HWD03_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626532,HWD03_gp108,HWD03_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626533,HWD03_gp109,HWD03_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626534,HWD03_gp110,HWD03_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626535,HWD03_gp111,HWD03_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626536,HWD03_gp112,HWD03_gp112,-,-,-,-,proteasome-like protein,protein-coding,-,-,-,proteasome-like protein,20210320,-
2704031,55626537,HWD03_gp113,HWD03_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626538,HWD03_gp114,HWD03_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626539,HWD03_gp115,HWD03_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626540,HWD03_gp116,HWD03_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626541,HWD03_gp117,HWD03_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626542,HWD03_gp118,HWD03_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626543,HWD03_gp119,HWD03_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626544,HWD03_gp120,HWD03_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626545,HWD03_gp121,HWD03_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626546,HWD03_gp122,HWD03_gp122,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210320,-
2704031,55626547,HWD03_gp123,HWD03_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626548,HWD03_gp124,HWD03_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626549,HWD03_gp125,HWD03_gp125,-,-,-,-,DprA-like protein,protein-coding,-,-,-,DprA-like protein,20200620,-
2704031,55626550,HWD03_gp126,HWD03_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626551,HWD03_gp127,HWD03_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626552,HWD03_gp128,HWD03_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626553,HWD03_gp129,HWD03_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626554,HWD03_gp130,HWD03_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626555,HWD03_gp131,HWD03_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626556,HWD03_gp132,HWD03_gp132,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210320,-
2704031,55626557,HWD03_gp133,HWD03_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626558,HWD03_gp134,HWD03_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626559,HWD03_gp135,HWD03_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626560,HWD03_gp136,HWD03_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626561,HWD03_gp137,HWD03_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626562,HWD03_gp138,HWD03_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626563,HWD03_gp139,HWD03_gp139,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210320,-
2704031,55626564,HWD03_gp140,HWD03_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626565,HWD03_gp141,HWD03_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626566,HWD03_gp142,HWD03_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626567,HWD03_gp143,HWD03_gp143,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210320,-
2704031,55626568,HWD03_gp144,HWD03_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626569,HWD03_gp145,HWD03_gp145,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210320,-
2704031,55626570,HWD03_gp146,HWD03_gp146,-,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20210320,-
2704031,55626571,HWD03_gp147,HWD03_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626572,HWD03_gp148,HWD03_gp148,-,-,-,-,YopX-like protein,protein-coding,-,-,-,YopX-like protein,20210320,-
2704031,55626573,HWD03_gp149,HWD03_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626574,HWD03_gp150,HWD03_gp150,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210320,-
2704031,55626575,HWD03_gp151,HWD03_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626576,HWD03_gp152,HWD03_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626577,HWD03_gp153,HWD03_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626578,HWD03_gp154,HWD03_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2704031,55626579,HWD03_gp155,HWD03_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626580,HWD03_gp156,HWD03_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2704031,55626581,HWD03_gp001,HWD03_gp001,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210320,-
2704031,55636123,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
