#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2480623,55006163,HOU44_gp002,HOU44_gp002,STG2_2,-,-,-,nicking site-specific endonuclease,protein-coding,-,-,-,nicking site-specific endonuclease,20200910,-
2480623,55006190,HOU44_gp029,HOU44_gp029,STG2_29,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2480623,55006191,HOU44_gp030,HOU44_gp030,STG2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006192,HOU44_gp031,HOU44_gp031,STG2_31,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2480623,55006193,HOU44_gp032,HOU44_gp032,STG2_32,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2480623,55006194,HOU44_gp033,HOU44_gp033,STG2_33,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210129,-
2480623,55006195,HOU44_gp034,HOU44_gp034,STG2_34,-,-,-,putative transcription factor,protein-coding,-,-,-,putative transcription factor,20210403,-
2480623,55006196,HOU44_gp035,HOU44_gp035,STG2_35,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2480623,55006197,HOU44_gp036,HOU44_gp036,STG2_36,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
2480623,55006198,HOU44_gp037,HOU44_gp037,STG2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006199,HOU44_gp038,HOU44_gp038,STG2_38,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210129,-
2480623,55006200,HOU44_gp039,HOU44_gp039,STG2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006201,HOU44_gp040,HOU44_gp040,STG2_40,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20200910,-
2480623,55006202,HOU44_gp041,HOU44_gp041,STG2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006203,HOU44_gp042,HOU44_gp042,STG2_42,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
2480623,55006204,HOU44_gp043,HOU44_gp043,STG2_43,-,-,-,putative replication origin binding protein,protein-coding,-,-,-,putative replication origin binding protein,20210403,-
2480623,55006205,HOU44_gp044,HOU44_gp044,STG2_44,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
2480623,55006206,HOU44_gp045,HOU44_gp045,STG2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006207,HOU44_gp046,HOU44_gp046,STG2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2480623,55006208,HOU44_gp047,HOU44_gp047,STG2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006209,HOU44_gp048,HOU44_gp048,STG2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006210,HOU44_gp049,HOU44_gp049,STG2_49,-,-,-,NAD-dependent protein deacetylase of SIR2 family,protein-coding,-,-,-,NAD-dependent protein deacetylase of SIR2 family,20210403,-
2480623,55006211,HOU44_gp050,HOU44_gp050,STG2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006212,HOU44_gp051,HOU44_gp051,STG2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006213,HOU44_gp052,HOU44_gp052,STG2_52,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",20210403,-
2480623,55006214,HOU44_gp053,HOU44_gp053,STG2_53,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2480623,55006215,HOU44_gp054,HOU44_gp054,STG2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006216,HOU44_gp055,HOU44_gp055,STG2_55,-,-,-,ribonucleoside diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside diphosphate reductase alpha subunit,20210403,-
2480623,55006217,HOU44_gp056,HOU44_gp056,STG2_56,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",20210403,-
2480623,55006218,HOU44_gp057,HOU44_gp057,STG2_57,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
2480623,55006219,HOU44_gp058,HOU44_gp058,STG2_58,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2480623,55006220,HOU44_gp059,HOU44_gp059,STG2_59,-,-,-,protease,protein-coding,-,-,-,protease,20210403,-
2480623,55006221,HOU44_gp060,HOU44_gp060,STG2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006222,HOU44_gp061,HOU44_gp061,STG2_61,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20210403,-
2480623,55006223,HOU44_gp062,HOU44_gp062,STG2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006224,HOU44_gp063,HOU44_gp063,STG2_63,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200910,-
2480623,55006225,HOU44_gp064,HOU44_gp064,STG2_64,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200910,-
2480623,55006226,HOU44_gp065,HOU44_gp065,STG2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006227,HOU44_gp066,HOU44_gp066,STG2_66,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20210403,-
2480623,55006228,HOU44_gp067,HOU44_gp067,STG2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006229,HOU44_gp068,HOU44_gp068,STG2_68,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
2480623,55006230,HOU44_gp069,HOU44_gp069,STG2_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006231,HOU44_gp070,HOU44_gp070,STG2_70,-,-,-,spore cortex-lytic enzyme precursor,protein-coding,-,-,-,spore cortex-lytic enzyme precursor,20210129,-
2480623,55006232,HOU44_gp071,HOU44_gp071,STG2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006233,HOU44_gp072,HOU44_gp072,STG2_72,-,-,-,recombination related exonuclease,protein-coding,-,-,-,recombination related exonuclease,20210403,-
2480623,55006234,HOU44_gp073,HOU44_gp073,STG2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006235,HOU44_gt001,HOU44_gt001,STG2_t1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006236,HOU44_gp160,HOU44_gp160,STG2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006237,HOU44_gp159,HOU44_gp159,STG2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006238,HOU44_gp158,HOU44_gp158,STG2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006239,HOU44_gp157,HOU44_gp157,STG2_78,-,-,-,ribosylnicotinamide kinase,protein-coding,-,-,-,ribosylnicotinamide kinase,20210403,-
2480623,55006240,HOU44_gp156,HOU44_gp156,STG2_79,-,-,-,PnuC-like ribosyl nicotinamide transporter,protein-coding,-,-,-,PnuC-like ribosyl nicotinamide transporter,20210403,-
2480623,55006241,HOU44_gp155,HOU44_gp155,STG2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006242,HOU44_gt002,HOU44_gt002,STG2_t2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006243,HOU44_gp153,HOU44_gp153,STG2_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006244,HOU44_gt004,HOU44_gt004,STG2_t4,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006245,HOU44_gp151,HOU44_gp151,STG2_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006246,HOU44_gp150,HOU44_gp150,STG2_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006247,HOU44_gt005,HOU44_gt005,STG2_t5,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006248,HOU44_gp148,HOU44_gp148,STG2_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006249,HOU44_gt009,HOU44_gt009,STG2_t9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006250,HOU44_gt011,HOU44_gt011,STG2_t11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006251,HOU44_gt014,HOU44_gt014,STG2_t14,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006252,HOU44_gt016,HOU44_gt016,STG2_t16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006253,HOU44_gt017,HOU44_gt017,STG2_t17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006254,HOU44_gp142,HOU44_gp142,STG2_93,-,-,-,"rho-associated, coiled-coil containing protein kinase 2",protein-coding,-,-,-,"rho-associated, coiled-coil containing protein kinase 2",20210403,-
2480623,55006255,HOU44_gt018,HOU44_gt018,STG2_t18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006256,HOU44_gt021,HOU44_gt021,STG2_t21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006257,HOU44_gt023,HOU44_gt023,STG2_t23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006258,HOU44_gt025,HOU44_gt025,STG2_t25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006259,HOU44_gp137,HOU44_gp137,STG2_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006260,HOU44_gt028,HOU44_gt028,STG2_t28,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006261,HOU44_gp135,HOU44_gp135,STG2_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006262,HOU44_gt029,HOU44_gt029,STG2_t29,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006263,HOU44_gp133,HOU44_gp133,STG2_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006264,HOU44_gp132,HOU44_gp132,STG2_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006265,HOU44_gp131,HOU44_gp131,STG2_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006266,HOU44_gp130,HOU44_gp130,STG2_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006267,HOU44_gp129,HOU44_gp129,STG2_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2480623,55006268,HOU44_gp128,HOU44_gp128,STG2_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006269,HOU44_gp127,HOU44_gp127,STG2_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006270,HOU44_gp126,HOU44_gp126,STG2_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006271,HOU44_gp125,HOU44_gp125,STG2_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006272,HOU44_gp124,HOU44_gp124,STG2_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006273,HOU44_gp123,HOU44_gp123,STG2_112,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210403,-
2480623,55006274,HOU44_gp122,HOU44_gp122,STG2_113,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20210403,-
2480623,55006275,HOU44_gp121,HOU44_gp121,STG2_114,-,-,-,holin,protein-coding,-,-,-,holin,20200926,-
2480623,55006276,HOU44_gp120,HOU44_gp120,STG2_115,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210403,-
2480623,55006277,HOU44_gp119,HOU44_gp119,STG2_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006278,HOU44_gp118,HOU44_gp118,STG2_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006279,HOU44_gp117,HOU44_gp117,STG2_118,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210403,-
2480623,55006280,HOU44_gp116,HOU44_gp116,STG2_119,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210123,-
2480623,55006281,HOU44_gp115,HOU44_gp115,STG2_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006282,HOU44_gp114,HOU44_gp114,STG2_121,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210403,-
2480623,55006283,HOU44_gp113,HOU44_gp113,STG2_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006284,HOU44_gp112,HOU44_gp112,STG2_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006285,HOU44_gp111,HOU44_gp111,STG2_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006286,HOU44_gp110,HOU44_gp110,STG2_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006287,HOU44_gp109,HOU44_gp109,STG2_126,-,-,-,putative protein 2C,protein-coding,-,-,-,putative protein 2C,20200910,-
2480623,55006288,HOU44_gp108,HOU44_gp108,STG2_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006289,HOU44_gp107,HOU44_gp107,STG2_128,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200910,-
2480623,55006290,HOU44_gp106,HOU44_gp106,STG2_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2480623,55006291,HOU44_gp105,HOU44_gp105,STG2_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006292,HOU44_gp104,HOU44_gp104,STG2_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006293,HOU44_gp103,HOU44_gp103,STG2_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006294,HOU44_gp102,HOU44_gp102,STG2_133,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200910,-
2480623,55006295,HOU44_gp101,HOU44_gp101,STG2_134,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20200910,-
2480623,55006296,HOU44_gp100,HOU44_gp100,STG2_135,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2480623,55006297,HOU44_gp099,HOU44_gp099,STG2_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006298,HOU44_gp098,HOU44_gp098,STG2_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006299,HOU44_gp097,HOU44_gp097,STG2_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006300,HOU44_gp096,HOU44_gp096,STG2_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006301,HOU44_gp095,HOU44_gp095,STG2_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006302,HOU44_gp094,HOU44_gp094,STG2_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006303,HOU44_gp093,HOU44_gp093,STG2_142,-,-,-,iron ABC transporter permease,protein-coding,-,-,-,iron ABC transporter permease,20200910,-
2480623,55006304,HOU44_gp092,HOU44_gp092,STG2_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006305,HOU44_gp091,HOU44_gp091,STG2_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006306,HOU44_gp090,HOU44_gp090,STG2_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006307,HOU44_gp089,HOU44_gp089,STG2_146,-,-,-,DNA N-6-adenine methyltransferase,protein-coding,-,-,-,DNA N-6-adenine methyltransferase,20200910,-
2480623,55006308,HOU44_gp088,HOU44_gp088,STG2_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006309,HOU44_gp087,HOU44_gp087,STG2_148,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200910,-
2480623,55006310,HOU44_gp086,HOU44_gp086,STG2_149,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200910,-
2480623,55006311,HOU44_gp085,HOU44_gp085,STG2_150,-,-,-,A1 protein precursor,protein-coding,-,-,-,A1 protein precursor,20200910,-
2480623,55006312,HOU44_gp084,HOU44_gp084,STG2_151,-,-,-,A1 protein,protein-coding,-,-,-,A1 protein,20200910,-
2480623,55006313,HOU44_gp083,HOU44_gp083,STG2_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006314,HOU44_gp082,HOU44_gp082,STG2_153,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
2480623,55006315,HOU44_gp081,HOU44_gp081,STG2_154,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20200910,-
2480623,55006316,HOU44_gp080,HOU44_gp080,STG2_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2480623,55006317,HOU44_gp079,HOU44_gp079,STG2_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006318,HOU44_gp078,HOU44_gp078,STG2_157,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
2480623,55006319,HOU44_gp077,HOU44_gp077,STG2_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006320,HOU44_gp076,HOU44_gp076,STG2_159,-,-,-,receptor-blocking protein,protein-coding,-,-,-,receptor-blocking protein,20210403,-
2480623,55006321,HOU44_gp075,HOU44_gp075,STG2_160,-,-,-,receptor-binding protein,protein-coding,-,-,-,receptor-binding protein,20200910,-
2480623,55006322,HOU44_gp074,HOU44_gp074,STG2_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006323,HOU44_gp161,HOU44_gp161,STG2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2480623,55006324,HOU44_gt003,HOU44_gt003,STG2_t3,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006325,HOU44_gp154,HOU44_gp154,STG2_81,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20210403,-
2480623,55006326,HOU44_gp152,HOU44_gp152,STG2_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006327,HOU44_gt006,HOU44_gt006,STG2_t6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006328,HOU44_gt007,HOU44_gt007,STG2_t7,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006329,HOU44_gt008,HOU44_gt008,STG2_t8,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006330,HOU44_gp149,HOU44_gp149,STG2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006331,HOU44_gt010,HOU44_gt010,STG2_t10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006332,HOU44_gp147,HOU44_gp147,STG2_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006333,HOU44_gt012,HOU44_gt012,STG2_t12,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006334,HOU44_gt013,HOU44_gt013,STG2_t13,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006335,HOU44_gp146,HOU44_gp146,STG2_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2480623,55006336,HOU44_gt015,HOU44_gt015,STG2_t15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006337,HOU44_gp145,HOU44_gp145,STG2_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006338,HOU44_gp144,HOU44_gp144,STG2_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006339,HOU44_gp143,HOU44_gp143,STG2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006340,HOU44_gt019,HOU44_gt019,STG2_t19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006341,HOU44_gt020,HOU44_gt020,STG2_t20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006342,HOU44_gp141,HOU44_gp141,STG2_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006343,HOU44_gt022,HOU44_gt022,STG2_t22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006344,HOU44_gp140,HOU44_gp140,STG2_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006345,HOU44_gt024,HOU44_gt024,STG2_t24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006346,HOU44_gp139,HOU44_gp139,STG2_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006347,HOU44_gt026,HOU44_gt026,STG2_t26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006348,HOU44_gt027,HOU44_gt027,STG2_t27,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2480623,55006349,HOU44_gp138,HOU44_gp138,STG2_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2480623,55006350,HOU44_gp136,HOU44_gp136,STG2_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
