#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
694060,26040567,APL44_gp002,APL44_gp002,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201220,-
694060,26040594,APL44_gp029,APL44_gp029,-,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20201220,-
694060,26040595,APL44_gp030,APL44_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040596,APL44_gp031,APL44_gp031,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
694060,26040597,APL44_gp032,APL44_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040598,APL44_gp033,APL44_gp033,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040599,APL44_gp034,APL44_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040600,APL44_gp035,APL44_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040601,APL44_gp036,APL44_gp036,-,-,-,-,phage conserved structural protein,protein-coding,-,-,-,phage conserved structural protein,20200629,-
694060,26040602,APL44_gp037,APL44_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040603,APL44_gp038,APL44_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040604,APL44_gp039,APL44_gp039,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040605,APL44_gp040,APL44_gp040,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040606,APL44_gp041,APL44_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040607,APL44_gp042,APL44_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040608,APL44_gp043,APL44_gp043,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20210212,-
694060,26040609,APL44_gp044,APL44_gp044,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040610,APL44_gp045,APL44_gp045,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040611,APL44_gp046,APL44_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040612,APL44_gp047,APL44_gp047,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
694060,26040613,APL44_gp048,APL44_gp048,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
694060,26040614,APL44_gp049,APL44_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040615,APL44_gp050,APL44_gp050,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
694060,26040616,APL44_gp051,APL44_gp051,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
694060,26040617,APL44_gp052,APL44_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040618,APL44_gp053,APL44_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040619,APL44_gp054,APL44_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040620,APL44_gp055,APL44_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040621,APL44_gp056,APL44_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040622,APL44_gp057,APL44_gp057,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20200629,-
694060,26040623,APL44_gp058,APL44_gp058,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
694060,26040624,APL44_gp059,APL44_gp059,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200629,-
694060,26040625,APL44_gp060,APL44_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040626,APL44_gp061,APL44_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040627,APL44_gp062,APL44_gp062,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20210123,-
694060,26040628,APL44_gp063,APL44_gp063,-,-,-,-,putative phage DNA primase/helicase,protein-coding,-,-,-,putative phage DNA primase/helicase,20200629,-
694060,26040629,APL44_gp064,APL44_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040630,APL44_gp065,APL44_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040631,APL44_gp066,APL44_gp066,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
694060,26040632,APL44_gp067,APL44_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
694060,26040633,APL44_gp068,APL44_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040634,APL44_gp069,APL44_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040635,APL44_gp070,APL44_gp070,-,-,-,-,ribonucleoside triphosphate reductase alpha chain,protein-coding,-,-,-,ribonucleoside triphosphate reductase alpha chain,20200629,-
694060,26040636,APL44_gp071,APL44_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040637,APL44_gp072,APL44_gp072,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20201220,-
694060,26040638,APL44_gp073,APL44_gp073,-,-,-,-,anaerobic nucleoside diphosphate reductase,protein-coding,-,-,-,anaerobic nucleoside diphosphate reductase,20200629,-
694060,26040639,APL44_gp074,APL44_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040640,APL44_gp075,APL44_gp075,-,-,-,-,anaerobic NTP reductase,protein-coding,-,-,-,anaerobic NTP reductase,20200629,-
694060,26040641,APL44_gp076,APL44_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040642,APL44_gp077,APL44_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040643,APL44_gp078,APL44_gp078,-,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20200629,-
694060,26040644,APL44_gp079,APL44_gp079,-,-,-,-,putative nictotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nictotinate phosphoribosyltransferase,20200629,-
694060,26040645,APL44_gp080,APL44_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040646,APL44_gp081,APL44_gp081,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
694060,26040647,APL44_gp082,APL44_gp082,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200629,-
694060,26040648,APL44_gp083,APL44_gp083,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040649,APL44_gp084,APL44_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040650,APL44_gp085,APL44_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040651,APL44_gp086,APL44_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040652,APL44_gp087,APL44_gp087,-,-,-,-,phage conserved protein,protein-coding,-,-,-,phage conserved protein,20200629,-
694060,26040653,APL44_gp088,APL44_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040654,APL44_gp089,APL44_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040655,APL44_gp090,APL44_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040656,APL44_gp091,APL44_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040657,APL44_gp092,APL44_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040658,APL44_gp093,APL44_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040659,APL44_gp094,APL44_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040660,APL44_gp095,APL44_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040661,APL44_gp096,APL44_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040662,APL44_gp097,APL44_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040663,APL44_gp098,APL44_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040664,APL44_gp099,APL44_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040665,APL44_gp100,APL44_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040666,APL44_gp101,APL44_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040667,APL44_gp102,APL44_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040668,APL44_gp103,APL44_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040669,APL44_gp104,APL44_gp104,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
694060,26040670,APL44_gp105,APL44_gp105,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
694060,26040671,APL44_gp106,APL44_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040672,APL44_gp107,APL44_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040673,APL44_gp108,APL44_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
694060,26040674,APL44_gp109,APL44_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26040675,APL44_gp001,APL44_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
694060,26045486,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
