#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897769,60334978,I5H99_gp002,I5H99_gp002,SEA_WILLSTERREL_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
1897769,60335009,I5H99_gp036,I5H99_gp036,SEA_WILLSTERREL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335010,I5H99_gp037,I5H99_gp037,SEA_WILLSTERREL_37,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1897769,60335011,I5H99_gp038,I5H99_gp038,SEA_WILLSTERREL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335012,I5H99_gp040,I5H99_gp040,SEA_WILLSTERREL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335013,I5H99_gp041,I5H99_gp041,SEA_WILLSTERREL_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1897769,60335014,I5H99_gp042,I5H99_gp042,SEA_WILLSTERREL_42,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210129,-
1897769,60335015,I5H99_gp043,I5H99_gp043,SEA_WILLSTERREL_43,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
1897769,60335016,I5H99_gp044,I5H99_gp044,SEA_WILLSTERREL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335017,I5H99_gp045,I5H99_gp045,SEA_WILLSTERREL_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210406,-
1897769,60335018,I5H99_gp046,I5H99_gp046,SEA_WILLSTERREL_46,-,-,-,CRO antirepressor,protein-coding,-,-,-,CRO antirepressor,20210406,-
1897769,60335019,I5H99_gp047,I5H99_gp047,SEA_WILLSTERREL_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210406,-
1897769,60335020,I5H99_gp048,I5H99_gp048,SEA_WILLSTERREL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335021,I5H99_gp049,I5H99_gp049,SEA_WILLSTERREL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335022,I5H99_gp050,I5H99_gp050,SEA_WILLSTERREL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335023,I5H99_gp051,I5H99_gp051,SEA_WILLSTERREL_51,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
1897769,60335024,I5H99_gp052,I5H99_gp052,SEA_WILLSTERREL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335025,I5H99_gp053,I5H99_gp053,SEA_WILLSTERREL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335026,I5H99_gp054,I5H99_gp054,SEA_WILLSTERREL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335027,I5H99_gp055,I5H99_gp055,SEA_WILLSTERREL_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335028,I5H99_gp056,I5H99_gp056,SEA_WILLSTERREL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335029,I5H99_gp057,I5H99_gp057,SEA_WILLSTERREL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1897769,60335030,I5H99_gp058,I5H99_gp058,SEA_WILLSTERREL_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
1897769,60335031,I5H99_gp059,I5H99_gp059,SEA_WILLSTERREL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1897769,60335032,I5H99_gp060,I5H99_gp060,SEA_WILLSTERREL_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
1897769,60335033,I5H99_gp061,I5H99_gp061,SEA_WILLSTERREL_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1897769,60335034,I5H99_gp062,I5H99_gp062,SEA_WILLSTERREL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335035,I5H99_gp063,I5H99_gp063,SEA_WILLSTERREL_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335036,I5H99_gp064,I5H99_gp064,SEA_WILLSTERREL_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1897769,60335037,I5H99_gp065,I5H99_gp065,SEA_WILLSTERREL_65,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20201217,-
1897769,60335038,I5H99_gp066,I5H99_gp066,SEA_WILLSTERREL_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1897769,60335039,I5H99_gp068,I5H99_gp068,SEA_WILLSTERREL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1897769,60335040,I5H99_gp069,I5H99_gp069,SEA_WILLSTERREL_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335041,I5H99_gp070,I5H99_gp070,SEA_WILLSTERREL_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335042,I5H99_gp071,I5H99_gp071,SEA_WILLSTERREL_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1897769,60335043,I5H99_gp072,I5H99_gp072,SEA_WILLSTERREL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335044,I5H99_gp073,I5H99_gp073,SEA_WILLSTERREL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335045,I5H99_gp074,I5H99_gp074,SEA_WILLSTERREL_74,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
1897769,60335046,I5H99_gp075,I5H99_gp075,SEA_WILLSTERREL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335047,I5H99_gp076,I5H99_gp076,SEA_WILLSTERREL_76,-,-,-,carboxylase,protein-coding,-,-,-,carboxylase,20201129,-
1897769,60335048,I5H99_gp077,I5H99_gp077,SEA_WILLSTERREL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335049,I5H99_gp078,I5H99_gp078,SEA_WILLSTERREL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335050,I5H99_gp079,I5H99_gp079,SEA_WILLSTERREL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335051,I5H99_gp080,I5H99_gp080,SEA_WILLSTERREL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335052,I5H99_gp081,I5H99_gp081,SEA_WILLSTERREL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335053,I5H99_gp082,I5H99_gp082,SEA_WILLSTERREL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335054,I5H99_gp083,I5H99_gp083,SEA_WILLSTERREL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335055,I5H99_gp084,I5H99_gp084,SEA_WILLSTERREL_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335056,I5H99_gp085,I5H99_gp085,SEA_WILLSTERREL_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335057,I5H99_gp086,I5H99_gp086,SEA_WILLSTERREL_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335058,I5H99_gp087,I5H99_gp087,SEA_WILLSTERREL_87,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1897769,60335059,I5H99_gp088,I5H99_gp088,SEA_WILLSTERREL_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335060,I5H99_gp089,I5H99_gp089,SEA_WILLSTERREL_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335061,I5H99_gp090,I5H99_gp090,SEA_WILLSTERREL_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335062,I5H99_gp092,I5H99_gp092,SEA_WILLSTERREL_92,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210129,-
1897769,60335063,I5H99_gp093,I5H99_gp093,SEA_WILLSTERREL_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335064,I5H99_gp094,I5H99_gp094,SEA_WILLSTERREL_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335065,I5H99_gp095,I5H99_gp095,SEA_WILLSTERREL_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335066,I5H99_gp096,I5H99_gp096,SEA_WILLSTERREL_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335067,I5H99_gp097,I5H99_gp097,SEA_WILLSTERREL_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335068,I5H99_gp098,I5H99_gp098,SEA_WILLSTERREL_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335069,I5H99_gp099,I5H99_gp099,SEA_WILLSTERREL_99,-,-,-,glycosyltransferase/methyltransferase,protein-coding,-,-,-,glycosyltransferase/methyltransferase,20210424,-
1897769,60335070,I5H99_gp100,I5H99_gp100,SEA_WILLSTERREL_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201129,-
1897769,60335071,I5H99_gp101,I5H99_gp101,SEA_WILLSTERREL_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335072,I5H99_gp102,I5H99_gp102,SEA_WILLSTERREL_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1897769,60335073,I5H99_gp103,I5H99_gp103,SEA_WILLSTERREL_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1897769,60335074,I5H99_gp011,I5H99_gp011,SEA_WILLSTERREL_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
1897769,60335075,I5H99_gp013,I5H99_gp013,SEA_WILLSTERREL_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1897769,60335076,I5H99_gp017,I5H99_gp017,SEA_WILLSTERREL_17,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201129,-
1897769,60335077,I5H99_gp039,I5H99_gp039,SEA_WILLSTERREL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335078,I5H99_gp067,I5H99_gp067,SEA_WILLSTERREL_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335079,I5H99_gp091,I5H99_gp091,SEA_WILLSTERREL_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1897769,60335080,I5H99_gp104,I5H99_gp104,SEA_WILLSTERREL_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1897769,60335081,I5H99_gp001,I5H99_gp001,SEA_WILLSTERREL_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1897769,60338569,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage WillSterrel).,other,-,-,-,-,20201130,-
