#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1097752,40235136,2,FGG38_gp02,DOTPRODUCT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1097752,40235162,28,FGG38_gp28,DOTPRODUCT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235163,29,FGG38_gp29,DOTPRODUCT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235164,30,FGG38_gp30,DOTPRODUCT_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1097752,40235165,31,FGG38_gp31,DOTPRODUCT_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1097752,40235166,32,FGG38_gp32,DOTPRODUCT_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1097752,40235167,33,FGG38_gp33,DOTPRODUCT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1097752,40235168,34,FGG38_gp34,DOTPRODUCT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235169,35,FGG38_gp35,DOTPRODUCT_35,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20201220,-
1097752,40235170,36,FGG38_gp36,DOTPRODUCT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235171,37,FGG38_gp37,DOTPRODUCT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235172,38,FGG38_gp38,DOTPRODUCT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235173,40,FGG38_gp40,DOTPRODUCT_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1097752,40235174,41,FGG38_gp41,DOTPRODUCT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235175,42,FGG38_gp42,DOTPRODUCT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235176,43,FGG38_gp43,DOTPRODUCT_43,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20201220,-
1097752,40235177,44,FGG38_gp44,DOTPRODUCT_44,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
1097752,40235178,45,FGG38_gp45,DOTPRODUCT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235179,46,FGG38_gp46,DOTPRODUCT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235180,47,FGG38_gp47,DOTPRODUCT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235181,48,FGG38_gp48,DOTPRODUCT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235182,49,FGG38_gp49,DOTPRODUCT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235183,50,FGG38_gp50,DOTPRODUCT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235184,51,FGG38_gp51,DOTPRODUCT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1097752,40235185,52,FGG38_gp52,DOTPRODUCT_52,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1097752,40235186,53,FGG38_gp53,DOTPRODUCT_53,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20201220,-
1097752,40235187,54,FGG38_gp54,DOTPRODUCT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235188,55,FGG38_gp55,DOTPRODUCT_55,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1097752,40235189,56,FGG38_gp56,DOTPRODUCT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235190,58,FGG38_gp58,DOTPRODUCT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235191,59,FGG38_gp59,DOTPRODUCT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235192,60,FGG38_gp60,DOTPRODUCT_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1097752,40235193,62,FGG38_gp62,DOTPRODUCT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235194,63,FGG38_gp63,DOTPRODUCT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235195,64,FGG38_gp64,DOTPRODUCT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235196,65,FGG38_gp65,DOTPRODUCT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235197,66,FGG38_gp66,DOTPRODUCT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235198,67,FGG38_gp67,DOTPRODUCT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235199,68,FGG38_gp68,DOTPRODUCT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235200,69,FGG38_gp69,DOTPRODUCT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235201,70,FGG38_gp70,DOTPRODUCT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235202,71,FGG38_gp71,DOTPRODUCT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235203,72,FGG38_gp72,DOTPRODUCT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235204,73,FGG38_gp73,DOTPRODUCT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235205,74,FGG38_gp74,DOTPRODUCT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235206,75,FGG38_gp75,DOTPRODUCT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235207,76,FGG38_gp76,DOTPRODUCT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235208,77,FGG38_gp77,DOTPRODUCT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235209,78,FGG38_gp78,DOTPRODUCT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235210,79,FGG38_gp79,DOTPRODUCT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235211,80,FGG38_gp80,DOTPRODUCT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235212,82,FGG38_gp82,DOTPRODUCT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235213,83,FGG38_gp83,DOTPRODUCT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235214,84,FGG38_gp84,DOTPRODUCT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235215,85,FGG38_gp85,DOTPRODUCT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235216,86,FGG38_gp86,DOTPRODUCT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235217,87,FGG38_gp87,DOTPRODUCT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235218,88,FGG38_gp88,DOTPRODUCT_88,-,-,-,MerR-like protein,protein-coding,-,-,-,MerR-like protein,20210424,-
1097752,40235219,89,FGG38_gp89,DOTPRODUCT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235220,90,FGG38_gp90,DOTPRODUCT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235221,91,FGG38_gp91,DOTPRODUCT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235222,92,FGG38_gp92,DOTPRODUCT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235223,93,FGG38_gp93,DOTPRODUCT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235224,94,FGG38_gp94,DOTPRODUCT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235225,95,FGG38_gp95,DOTPRODUCT_95,-,-,-,polypeptide N-acetylgalactosaminyltransferase,protein-coding,-,-,-,polypeptide N-acetylgalactosaminyltransferase,20201220,-
1097752,40235226,96,FGG38_gp96,DOTPRODUCT_96,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20201220,-
1097752,40235227,97,FGG38_gp97,DOTPRODUCT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235228,98,FGG38_gp98,DOTPRODUCT_98,-,-,-,N-acetylglucosaminyltransferase,protein-coding,-,-,-,N-acetylglucosaminyltransferase,20201220,-
1097752,40235229,39,FGG38_gp39,DOTPRODUCT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235230,57,FGG38_gp57,DOTPRODUCT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235231,61,FGG38_gp61,DOTPRODUCT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235232,81,FGG38_gp81,DOTPRODUCT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1097752,40235233,1,FGG38_gp01,DOTPRODUCT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1097752,40340384,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage DotProduct; Mycobacterium phage DotProduct).,other,-,-,-,-,20200513,-
