#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767559,60329667,2,I5H48_gp002,PBI_HLUBIKAZI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2767559,60329695,30,I5H48_gp030,PBI_HLUBIKAZI_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201203,-
2767559,60329696,31,I5H48_gp031,PBI_HLUBIKAZI_31,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2767559,60329697,33,I5H48_gp033,PBI_HLUBIKAZI_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210129,-
2767559,60329698,34,I5H48_gp034,PBI_HLUBIKAZI_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210212,-
2767559,60329699,35,I5H48_gp035,PBI_HLUBIKAZI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329700,36,I5H48_gp036,PBI_HLUBIKAZI_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2767559,60329701,37,I5H48_gp037,PBI_HLUBIKAZI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329702,39,I5H48_gp039,PBI_HLUBIKAZI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329703,40,I5H48_gp040,PBI_HLUBIKAZI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329704,42,I5H48_gp042,PBI_HLUBIKAZI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329705,43,I5H48_gp043,PBI_HLUBIKAZI_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2767559,60329706,44,I5H48_gp044,PBI_HLUBIKAZI_44,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201203,-
2767559,60329707,45,I5H48_gp045,PBI_HLUBIKAZI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329708,46,I5H48_gp046,PBI_HLUBIKAZI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329709,48,I5H48_gp048,PBI_HLUBIKAZI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329710,49,I5H48_gp049,PBI_HLUBIKAZI_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201203,-
2767559,60329711,50,I5H48_gp050,PBI_HLUBIKAZI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329712,51,I5H48_gp051,PBI_HLUBIKAZI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329713,52,I5H48_gp052,PBI_HLUBIKAZI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2767559,60329714,53,I5H48_gp053,PBI_HLUBIKAZI_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2767559,60329715,54,I5H48_gp054,PBI_HLUBIKAZI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2767559,60329716,55,I5H48_gp055,PBI_HLUBIKAZI_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2767559,60329717,56,I5H48_gp056,PBI_HLUBIKAZI_56,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2767559,60329718,57,I5H48_gp057,PBI_HLUBIKAZI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329719,58,I5H48_gp058,PBI_HLUBIKAZI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2767559,60329720,59,I5H48_gp059,PBI_HLUBIKAZI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2767559,60329721,60,I5H48_gp060,PBI_HLUBIKAZI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2767559,60329722,61,I5H48_gp061,PBI_HLUBIKAZI_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2767559,60329723,62,I5H48_gp062,PBI_HLUBIKAZI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329724,64,I5H48_gp064,PBI_HLUBIKAZI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329725,65,I5H48_gp065,PBI_HLUBIKAZI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329726,66,I5H48_gp066,PBI_HLUBIKAZI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329727,67,I5H48_gp067,PBI_HLUBIKAZI_67,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2767559,60329728,68,I5H48_gp068,PBI_HLUBIKAZI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329729,69,I5H48_gp069,PBI_HLUBIKAZI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329730,70,I5H48_gp070,PBI_HLUBIKAZI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329731,71,I5H48_gp071,PBI_HLUBIKAZI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329732,73,I5H48_gp073,PBI_HLUBIKAZI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329733,75,I5H48_gp075,PBI_HLUBIKAZI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329734,76,I5H48_gp076,PBI_HLUBIKAZI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329735,77,I5H48_gp077,PBI_HLUBIKAZI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329736,79,I5H48_gp079,PBI_HLUBIKAZI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329737,81,I5H48_gp081,PBI_HLUBIKAZI_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329738,82,I5H48_gp082,PBI_HLUBIKAZI_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329739,83,I5H48_gp083,PBI_HLUBIKAZI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329740,84,I5H48_gp084,PBI_HLUBIKAZI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329741,85,I5H48_gp085,PBI_HLUBIKAZI_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329742,86,I5H48_gp086,PBI_HLUBIKAZI_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329743,87,I5H48_gp087,PBI_HLUBIKAZI_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329744,89,I5H48_gp089,PBI_HLUBIKAZI_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329745,90,I5H48_gp090,PBI_HLUBIKAZI_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329746,91,I5H48_gp091,PBI_HLUBIKAZI_91,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210406,-
2767559,60329747,92,I5H48_gp092,PBI_HLUBIKAZI_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329748,93,I5H48_gp093,PBI_HLUBIKAZI_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329749,94,I5H48_gp094,PBI_HLUBIKAZI_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329750,95,I5H48_gp095,PBI_HLUBIKAZI_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329751,96,I5H48_gp096,PBI_HLUBIKAZI_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329752,97,I5H48_gp097,PBI_HLUBIKAZI_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329753,98,I5H48_gp098,PBI_HLUBIKAZI_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329754,99,I5H48_gp099,PBI_HLUBIKAZI_99,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2767559,60329755,100,I5H48_gp100,PBI_HLUBIKAZI_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329756,32,I5H48_gp032,PBI_HLUBIKAZI_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2767559,60329757,47,I5H48_gp047,PBI_HLUBIKAZI_47,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2767559,60329758,63,I5H48_gp063,PBI_HLUBIKAZI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329759,72,I5H48_gp072,PBI_HLUBIKAZI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329760,78,I5H48_gp078,PBI_HLUBIKAZI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329761,80,I5H48_gp080,PBI_HLUBIKAZI_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329762,88,I5H48_gp088,PBI_HLUBIKAZI_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2767559,60329763,101,I5H48_gp101,PBI_HLUBIKAZI_101,-,-,-,glycosyltransferse,protein-coding,-,-,-,glycosyltransferse,20201203,-
2767559,60329764,102,I5H48_gp102,PBI_HLUBIKAZI_102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2767559,60329765,74,I5H48_gp074,PBI_HLUBIKAZI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329766,38,I5H48_gp038,PBI_HLUBIKAZI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2767559,60329767,41,I5H48_gp041,PBI_HLUBIKAZI_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2767559,60329768,1,I5H48_gp001,PBI_HLUBIKAZI_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2767559,60338907,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
