#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
541865,6964464,ST39-O_gp02,ST39-O_gp02,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20201220,-
541865,6964505,ST39-O_gp43,ST39-O_gp43,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
541865,6964506,ST39-O_gp44,ST39-O_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964507,ST39-O_gp45,ST39-O_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964508,ST39-O_gp46,ST39-O_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964509,ST39-O_gp47,ST39-O_gp47,-,-,-,-,Gp157,protein-coding,-,-,-,Gp157,20201220,-
541865,6964510,ST39-O_gp48,ST39-O_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964511,ST39-O_gp49,ST39-O_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964512,ST39-O_gp50,ST39-O_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964513,ST39-O_gp51,ST39-O_gp51,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
541865,6964514,ST39-O_gp52,ST39-O_gp52,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201220,-
541865,6964515,ST39-O_gp53,ST39-O_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964516,ST39-O_gp54,ST39-O_gp54,-,-,-,-,XRE-like regulator,protein-coding,-,-,-,XRE-like regulator,20201220,-
541865,6964517,ST39-O_gp55,ST39-O_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964518,ST39-O_gp56,ST39-O_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964519,ST39-O_gp57,ST39-O_gp57,-,-,-,-,cytolysin,protein-coding,-,-,-,cytolysin,20201220,-
541865,6964520,ST39-O_gp58,ST39-O_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964521,ST39-O_gp59,ST39-O_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964522,ST39-O_gp60,ST39-O_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964523,ST39-O_gp61,ST39-O_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964524,ST39-O_gp62,ST39-O_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
541865,6964525,ST39-O_gp01,ST39-O_gp01,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20201220,-
541865,6965723,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium perfringens bacteriophage 39-O; Clostridium phage 39-O).,other,-,-,-,-,20200513,-
