#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
215250,37039739,FA10DRAFT_100211,FA10DRAFT_100211,-,-,Unknown,-,thiolase,protein-coding,-,-,-,thiolase,20200918,-
215250,37039753,FA10DRAFT_103821,FA10DRAFT_103821,-,-,Unknown,-,nucleic acid-binding protein,protein-coding,-,-,-,nucleic acid-binding protein,20200918,-
215250,37039754,FA10DRAFT_103870,FA10DRAFT_103870,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20200918,-
215250,37039755,FA10DRAFT_104024,FA10DRAFT_104024,-,-,Unknown,-,tryptophanyl-tRNA synthetase,protein-coding,-,-,-,tryptophanyl-tRNA synthetase,20200918,-
215250,37039756,FA10DRAFT_104031,FA10DRAFT_104031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039757,FA10DRAFT_10486,FA10DRAFT_10486,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200918,-
215250,37039758,FA10DRAFT_105365,FA10DRAFT_105365,-,-,Unknown,-,Endosulfine-domain-containing protein,protein-coding,-,-,-,Endosulfine-domain-containing protein,20200918,-
215250,37039759,FA10DRAFT_105383,FA10DRAFT_105383,-,-,Unknown,-,Maf1-domain-containing protein,protein-coding,-,-,-,Maf1-domain-containing protein,20200918,-
215250,37039760,FA10DRAFT_105397,FA10DRAFT_105397,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039761,FA10DRAFT_105703,FA10DRAFT_105703,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039762,FA10DRAFT_105725,FA10DRAFT_105725,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039763,FA10DRAFT_106219,FA10DRAFT_106219,-,-,Unknown,-,calcium-dependent phosphotriesterase,protein-coding,-,-,-,calcium-dependent phosphotriesterase,20200918,-
215250,37039764,FA10DRAFT_106380,FA10DRAFT_106380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039765,FA10DRAFT_106573,FA10DRAFT_106573,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039766,FA10DRAFT_107224,FA10DRAFT_107224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039767,FA10DRAFT_107846,FA10DRAFT_107846,-,-,Unknown,-,Ribokinase-like protein,protein-coding,-,-,-,Ribokinase-like protein,20200918,-
215250,37039768,FA10DRAFT_107941,FA10DRAFT_107941,-,-,Unknown,-,nagb/rpia/CoA transferase-like protein,protein-coding,-,-,-,nagb/rpia/CoA transferase-like protein,20200918,-
215250,37039769,FA10DRAFT_108089,FA10DRAFT_108089,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20200918,-
215250,37039770,FA10DRAFT_108679,FA10DRAFT_108679,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039771,FA10DRAFT_108706,FA10DRAFT_108706,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039772,FA10DRAFT_108712,FA10DRAFT_108712,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200918,-
215250,37039773,FA10DRAFT_108880,FA10DRAFT_108880,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039774,FA10DRAFT_108882,FA10DRAFT_108882,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039775,FA10DRAFT_109250,FA10DRAFT_109250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039776,FA10DRAFT_109425,FA10DRAFT_109425,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039777,FA10DRAFT_109554,FA10DRAFT_109554,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039778,FA10DRAFT_109821,FA10DRAFT_109821,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039779,FA10DRAFT_109895,FA10DRAFT_109895,-,-,Unknown,-,UBC-like protein,protein-coding,-,-,-,UBC-like protein,20200918,-
215250,37039780,FA10DRAFT_110080,FA10DRAFT_110080,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039781,FA10DRAFT_110340,FA10DRAFT_110340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039782,FA10DRAFT_11044,FA10DRAFT_11044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039783,FA10DRAFT_110536,FA10DRAFT_110536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039784,FA10DRAFT_111647,FA10DRAFT_111647,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039785,FA10DRAFT_111674,FA10DRAFT_111674,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039786,FA10DRAFT_111805,FA10DRAFT_111805,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039787,FA10DRAFT_111857,FA10DRAFT_111857,-,-,Unknown,-,Metallo-dependent phosphatase,protein-coding,-,-,-,Metallo-dependent phosphatase,20200918,-
215250,37039788,FA10DRAFT_111974,FA10DRAFT_111974,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039789,FA10DRAFT_112110,FA10DRAFT_112110,-,-,Unknown,-,WLM-domain-containing protein,protein-coding,-,-,-,WLM-domain-containing protein,20200918,-
215250,37039790,FA10DRAFT_112318,FA10DRAFT_112318,-,-,Unknown,-,ribosome biogenesis protein ERB1,protein-coding,-,-,-,ribosome biogenesis protein ERB1,20200918,-
215250,37039791,FA10DRAFT_112461,FA10DRAFT_112461,-,-,Unknown,-,putative DNA replication licensing factor,protein-coding,-,-,-,putative DNA replication licensing factor,20200918,-
215250,37039792,FA10DRAFT_112579,FA10DRAFT_112579,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039793,FA10DRAFT_11268,FA10DRAFT_11268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039794,FA10DRAFT_112804,FA10DRAFT_112804,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039795,FA10DRAFT_112807,FA10DRAFT_112807,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039796,FA10DRAFT_112976,FA10DRAFT_112976,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039797,FA10DRAFT_113454,FA10DRAFT_113454,-,-,Unknown,-,methionine adenosyltransferase,protein-coding,-,-,-,methionine adenosyltransferase,20200918,-
215250,37039798,FA10DRAFT_11350,FA10DRAFT_11350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039799,FA10DRAFT_113611,FA10DRAFT_113611,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039800,FA10DRAFT_113692,FA10DRAFT_113692,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039801,FA10DRAFT_113740,FA10DRAFT_113740,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200918,-
215250,37039802,FA10DRAFT_113757,FA10DRAFT_113757,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20200918,-
215250,37039803,FA10DRAFT_113952,FA10DRAFT_113952,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039804,FA10DRAFT_114252,FA10DRAFT_114252,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039805,FA10DRAFT_114465,FA10DRAFT_114465,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039806,FA10DRAFT_114749,FA10DRAFT_114749,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039807,FA10DRAFT_114838,FA10DRAFT_114838,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039808,FA10DRAFT_114944,FA10DRAFT_114944,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039809,FA10DRAFT_114953,FA10DRAFT_114953,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039810,FA10DRAFT_11512,FA10DRAFT_11512,-,-,Unknown,-,DUF926-domain-containing protein,protein-coding,-,-,-,DUF926-domain-containing protein,20200918,-
215250,37039811,FA10DRAFT_11536,FA10DRAFT_11536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039812,FA10DRAFT_11561,FA10DRAFT_11561,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039813,FA10DRAFT_11588,FA10DRAFT_11588,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039814,FA10DRAFT_116080,FA10DRAFT_116080,-,-,Unknown,-,zf-C3HC-domain-containing protein,protein-coding,-,-,-,zf-C3HC-domain-containing protein,20200918,-
215250,37039815,FA10DRAFT_11614,FA10DRAFT_11614,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20200918,-
215250,37039816,FA10DRAFT_116425,FA10DRAFT_116425,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039817,FA10DRAFT_116709,FA10DRAFT_116709,-,-,Unknown,-,putative porphobilinogen synthase,protein-coding,-,-,-,putative porphobilinogen synthase,20200918,-
215250,37039818,FA10DRAFT_116772,FA10DRAFT_116772,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039819,FA10DRAFT_117127,FA10DRAFT_117127,-,-,Unknown,-,putative ubiquitin-specific processing protease 21,protein-coding,-,-,-,putative ubiquitin-specific processing protease 21,20200918,-
215250,37039820,FA10DRAFT_117429,FA10DRAFT_117429,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20200918,-
215250,37039821,FA10DRAFT_11751,FA10DRAFT_11751,-,-,Unknown,-,beta and beta-prime subunits of DNA dependent RNA-polymerase,protein-coding,-,-,-,beta and beta-prime subunits of DNA dependent RNA-polymerase,20200918,-
215250,37039822,FA10DRAFT_11763,FA10DRAFT_11763,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039823,FA10DRAFT_117724,FA10DRAFT_117724,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039824,FA10DRAFT_117988,FA10DRAFT_117988,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039825,FA10DRAFT_118115,FA10DRAFT_118115,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20200918,-
215250,37039826,FA10DRAFT_118166,FA10DRAFT_118166,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039827,FA10DRAFT_119022,FA10DRAFT_119022,-,-,Unknown,-,arsenical-resistance protein,protein-coding,-,-,-,arsenical-resistance protein,20200918,-
215250,37039828,FA10DRAFT_119206,FA10DRAFT_119206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039829,FA10DRAFT_119381,FA10DRAFT_119381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039830,FA10DRAFT_119817,FA10DRAFT_119817,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20200918,-
215250,37039831,FA10DRAFT_120314,FA10DRAFT_120314,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039832,FA10DRAFT_120542,FA10DRAFT_120542,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039833,FA10DRAFT_120631,FA10DRAFT_120631,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039834,FA10DRAFT_120676,FA10DRAFT_120676,-,-,Unknown,-,DNA/RNA polymerase,protein-coding,-,-,-,DNA/RNA polymerase,20200918,-
215250,37039835,FA10DRAFT_120919,FA10DRAFT_120919,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039836,FA10DRAFT_121145,FA10DRAFT_121145,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039837,FA10DRAFT_121275,FA10DRAFT_121275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039838,FA10DRAFT_121320,FA10DRAFT_121320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039839,FA10DRAFT_121524,FA10DRAFT_121524,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039840,FA10DRAFT_121844,FA10DRAFT_121844,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039841,FA10DRAFT_122140,FA10DRAFT_122140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039842,FA10DRAFT_122159,FA10DRAFT_122159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039843,FA10DRAFT_122167,FA10DRAFT_122167,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039844,FA10DRAFT_122223,FA10DRAFT_122223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039845,FA10DRAFT_122804,FA10DRAFT_122804,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039846,FA10DRAFT_122816,FA10DRAFT_122816,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039847,FA10DRAFT_122835,FA10DRAFT_122835,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200918,-
215250,37039848,FA10DRAFT_12290,FA10DRAFT_12290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039849,FA10DRAFT_122926,FA10DRAFT_122926,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039850,FA10DRAFT_122945,FA10DRAFT_122945,-,-,Unknown,-,gamma-glutamyl phosphate reductase GPR,protein-coding,-,-,-,gamma-glutamyl phosphate reductase GPR,20200918,-
215250,37039851,FA10DRAFT_12316,FA10DRAFT_12316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039852,FA10DRAFT_123189,FA10DRAFT_123189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039853,FA10DRAFT_123292,FA10DRAFT_123292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039854,FA10DRAFT_123412,FA10DRAFT_123412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039855,FA10DRAFT_123569,FA10DRAFT_123569,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039856,FA10DRAFT_123764,FA10DRAFT_123764,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200918,-
215250,37039857,FA10DRAFT_123809,FA10DRAFT_123809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039858,FA10DRAFT_123960,FA10DRAFT_123960,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039859,FA10DRAFT_124148,FA10DRAFT_124148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039860,FA10DRAFT_124170,FA10DRAFT_124170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039861,FA10DRAFT_124271,FA10DRAFT_124271,-,-,Unknown,-,MED14-domain-containing protein,protein-coding,-,-,-,MED14-domain-containing protein,20200918,-
215250,37039862,FA10DRAFT_124887,FA10DRAFT_124887,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039863,FA10DRAFT_124928,FA10DRAFT_124928,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039864,FA10DRAFT_125166,FA10DRAFT_125166,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039865,FA10DRAFT_125288,FA10DRAFT_125288,-,-,Unknown,-,putative general amino acid permease,protein-coding,-,-,-,putative general amino acid permease,20200918,-
215250,37039866,FA10DRAFT_125727,FA10DRAFT_125727,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039867,FA10DRAFT_125827,FA10DRAFT_125827,-,-,Unknown,-,BRE1-domain-containing protein,protein-coding,-,-,-,BRE1-domain-containing protein,20200918,-
215250,37039868,FA10DRAFT_125909,FA10DRAFT_125909,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039869,FA10DRAFT_126043,FA10DRAFT_126043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039870,FA10DRAFT_12616,FA10DRAFT_12616,-,-,Unknown,-,thiamine diphosphate-binding protein,protein-coding,-,-,-,thiamine diphosphate-binding protein,20200918,-
215250,37039871,FA10DRAFT_126205,FA10DRAFT_126205,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200918,-
215250,37039872,FA10DRAFT_126307,FA10DRAFT_126307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039873,FA10DRAFT_126448,FA10DRAFT_126448,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039874,FA10DRAFT_126983,FA10DRAFT_126983,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039875,FA10DRAFT_127229,FA10DRAFT_127229,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039876,FA10DRAFT_127707,FA10DRAFT_127707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039877,FA10DRAFT_128002,FA10DRAFT_128002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039878,FA10DRAFT_128003,FA10DRAFT_128003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039879,FA10DRAFT_128099,FA10DRAFT_128099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039880,FA10DRAFT_128144,FA10DRAFT_128144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039881,FA10DRAFT_128195,FA10DRAFT_128195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039882,FA10DRAFT_128351,FA10DRAFT_128351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039883,FA10DRAFT_128529,FA10DRAFT_128529,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039884,FA10DRAFT_128563,FA10DRAFT_128563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039885,FA10DRAFT_128571,FA10DRAFT_128571,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039886,FA10DRAFT_128631,FA10DRAFT_128631,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039887,FA10DRAFT_128985,FA10DRAFT_128985,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200918,-
215250,37039888,FA10DRAFT_129153,FA10DRAFT_129153,-,-,Unknown,-,putative NADH-ubiquinone oxidoreductase 30.4 kDa subunit mitochondrial precursor,protein-coding,-,-,-,putative NADH-ubiquinone oxidoreductase 30.4 kDa subunit mitochondrial precursor,20200918,-
215250,37039889,FA10DRAFT_129226,FA10DRAFT_129226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039890,FA10DRAFT_130273,FA10DRAFT_130273,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20200918,-
215250,37039891,FA10DRAFT_130553,FA10DRAFT_130553,-,-,Unknown,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20200918,-
215250,37039892,FA10DRAFT_130751,FA10DRAFT_130751,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039893,FA10DRAFT_13081,FA10DRAFT_13081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039894,FA10DRAFT_130835,FA10DRAFT_130835,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039895,FA10DRAFT_130898,FA10DRAFT_130898,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039896,FA10DRAFT_130964,FA10DRAFT_130964,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039897,FA10DRAFT_130982,FA10DRAFT_130982,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039898,FA10DRAFT_131120,FA10DRAFT_131120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039899,FA10DRAFT_131198,FA10DRAFT_131198,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039900,FA10DRAFT_131205,FA10DRAFT_131205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039901,FA10DRAFT_131227,FA10DRAFT_131227,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039902,FA10DRAFT_131236,FA10DRAFT_131236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039903,FA10DRAFT_131472,FA10DRAFT_131472,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039904,FA10DRAFT_132637,FA10DRAFT_132637,-,-,Unknown,-,IDO-domain-containing protein,protein-coding,-,-,-,IDO-domain-containing protein,20200918,-
215250,37039905,FA10DRAFT_133059,FA10DRAFT_133059,-,-,Unknown,-,nucleotide-diphospho-sugar transferase,protein-coding,-,-,-,nucleotide-diphospho-sugar transferase,20200918,-
215250,37039906,FA10DRAFT_133093,FA10DRAFT_133093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039907,FA10DRAFT_133248,FA10DRAFT_133248,-,-,Unknown,-,RCC1/BLIP-II,protein-coding,-,-,-,RCC1/BLIP-II,20200918,-
215250,37039908,FA10DRAFT_133412,FA10DRAFT_133412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039909,FA10DRAFT_133505,FA10DRAFT_133505,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
215250,37039910,FA10DRAFT_133804,FA10DRAFT_133804,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
