#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591132,55618813,2,HWC40_gp02,SEA_WHACK_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200829,-
2591132,55618836,25,HWC40_gp25,SEA_WHACK_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2591132,55618837,26,HWC40_gp26,SEA_WHACK_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2591132,55618838,27,HWC40_gp27,SEA_WHACK_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618839,28,HWC40_gp28,SEA_WHACK_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2591132,55618840,29,HWC40_gp29,SEA_WHACK_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2591132,55618841,30,HWC40_gp30,SEA_WHACK_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618842,31,HWC40_gp31,SEA_WHACK_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618843,32,HWC40_gp32,SEA_WHACK_32,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2591132,55618844,33,HWC40_gp33,SEA_WHACK_33,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2591132,55618845,34,HWC40_gp34,SEA_WHACK_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2591132,55618846,35,HWC40_gp35,SEA_WHACK_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618847,36,HWC40_gp36,SEA_WHACK_36,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210424,-
2591132,55618848,37,HWC40_gp37,SEA_WHACK_37,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2591132,55618849,38,HWC40_gp38,SEA_WHACK_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2591132,55618850,39,HWC40_gp39,SEA_WHACK_39,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2591132,55618851,40,HWC40_gp40,SEA_WHACK_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200829,-
2591132,55618852,41,HWC40_gp41,SEA_WHACK_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2591132,55618853,42,HWC40_gp42,SEA_WHACK_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618854,43,HWC40_gp43,SEA_WHACK_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618855,44,HWC40_gp44,SEA_WHACK_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618856,45,HWC40_gp45,SEA_WHACK_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618857,46,HWC40_gp46,SEA_WHACK_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618858,47,HWC40_gp47,SEA_WHACK_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618859,48,HWC40_gp48,SEA_WHACK_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618860,49,HWC40_gp49,SEA_WHACK_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618861,50,HWC40_gp50,SEA_WHACK_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618862,51,HWC40_gp51,SEA_WHACK_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618863,52,HWC40_gp52,SEA_WHACK_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618864,53,HWC40_gp53,SEA_WHACK_53,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2591132,55618865,54,HWC40_gp54,SEA_WHACK_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618866,55,HWC40_gp55,SEA_WHACK_55,-,-,-,ASC-1 transcription coactivator,protein-coding,-,-,-,ASC-1 transcription coactivator,20210424,-
2591132,55618867,56,HWC40_gp56,SEA_WHACK_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618868,57,HWC40_gp57,SEA_WHACK_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618869,58,HWC40_gp58,SEA_WHACK_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618870,59,HWC40_gp59,SEA_WHACK_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618871,60,HWC40_gp60,SEA_WHACK_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618872,61,HWC40_gp61,SEA_WHACK_61,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20200829,-
2591132,55618873,62,HWC40_gp62,SEA_WHACK_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618874,63,HWC40_gp63,SEA_WHACK_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618875,64,HWC40_gp64,SEA_WHACK_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2591132,55618876,65,HWC40_gp65,SEA_WHACK_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618877,66,HWC40_gp66,SEA_WHACK_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618878,67,HWC40_gp67,SEA_WHACK_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
2591132,55618879,68,HWC40_gp68,SEA_WHACK_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618880,69,HWC40_gp69,SEA_WHACK_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591132,55618881,70,HWC40_gp70,SEA_WHACK_70,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2591132,55618882,71,HWC40_gp71,SEA_WHACK_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618883,72,HWC40_gp72,SEA_WHACK_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618884,73,HWC40_gp73,SEA_WHACK_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618885,74,HWC40_gp74,SEA_WHACK_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618886,75,HWC40_gp75,SEA_WHACK_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591132,55618887,76,HWC40_gp76,SEA_WHACK_76,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200620,-
2591132,55618888,77,HWC40_gp77,SEA_WHACK_77,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200620,-
2591132,55618889,1,HWC40_gp01,SEA_WHACK_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200829,-
2591132,55636006,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
