#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698420,26624715,SEA_TASP14_2,SEA_TASP14_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1698420,26624766,SEA_TASP14_53,SEA_TASP14_53,-,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20201003,-
1698420,26624767,SEA_TASP14_54,SEA_TASP14_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624768,SEA_TASP14_55,SEA_TASP14_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624769,SEA_TASP14_56,SEA_TASP14_56,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1698420,26624770,SEA_TASP14_57,SEA_TASP14_57,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1698420,26624771,SEA_TASP14_58,SEA_TASP14_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624772,SEA_TASP14_59,SEA_TASP14_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624773,SEA_TASP14_60,SEA_TASP14_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624774,SEA_TASP14_61,SEA_TASP14_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624775,SEA_TASP14_62,SEA_TASP14_62,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1698420,26624776,SEA_TASP14_63,SEA_TASP14_63,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200910,-
1698420,26624777,SEA_TASP14_64,SEA_TASP14_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624778,SEA_TASP14_65,SEA_TASP14_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624779,SEA_TASP14_66,SEA_TASP14_66,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20200919,-
1698420,26624780,SEA_TASP14_67,SEA_TASP14_67,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200919,-
1698420,26624781,SEA_TASP14_68,SEA_TASP14_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624782,SEA_TASP14_69,SEA_TASP14_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624783,SEA_TASP14_70,SEA_TASP14_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1698420,26624784,SEA_TASP14_71,SEA_TASP14_71,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200910,-
1698420,26624785,SEA_TASP14_72,SEA_TASP14_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624786,SEA_TASP14_73,SEA_TASP14_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624787,SEA_TASP14_74,SEA_TASP14_74,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
1698420,26624788,SEA_TASP14_75,SEA_TASP14_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624789,SEA_TASP14_76,SEA_TASP14_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624790,SEA_TASP14_77,SEA_TASP14_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624791,SEA_TASP14_78,SEA_TASP14_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624792,SEA_TASP14_79,SEA_TASP14_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624793,SEA_TASP14_80,SEA_TASP14_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624794,SEA_TASP14_81,SEA_TASP14_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624795,SEA_TASP14_82,SEA_TASP14_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624796,SEA_TASP14_83,SEA_TASP14_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624797,SEA_TASP14_84,SEA_TASP14_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624798,SEA_TASP14_85,SEA_TASP14_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624799,SEA_TASP14_86,SEA_TASP14_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624800,SEA_TASP14_87,SEA_TASP14_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624801,SEA_TASP14_88,SEA_TASP14_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624802,SEA_TASP14_89,SEA_TASP14_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624803,SEA_TASP14_90,SEA_TASP14_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26624804,SEA_TASP14_1,SEA_TASP14_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1698420,26680927,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Tasp14).,other,-,-,-,-,20200513,-
