#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
489830,10973686,HaGV_gp002,HaGV_gp002,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180816,-
489830,10973701,HaGV_gp017,HaGV_gp017,-,-,-,-,polyhedral envelope protein,protein-coding,-,-,-,polyhedral envelope protein,20180816,-
489830,10973702,HaGV_gp018,HaGV_gp018,-,-,-,-,polyhedral envelope protein/p10 fusion,protein-coding,-,-,-,polyhedral envelope protein/p10 fusion,20180816,-
489830,10973703,HaGV_gp019,HaGV_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973704,HaGV_gp020,HaGV_gp020,-,-,-,-,p94,protein-coding,-,-,-,p94,20180816,-
489830,10973705,HaGV_gp021,HaGV_gp021,-,-,-,-,SprT,protein-coding,-,-,-,SprT,20180816,-
489830,10973706,HaGV_gp022,HaGV_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973707,HaGV_gp023,HaGV_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973708,HaGV_gp024,HaGV_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973709,HaGV_gp025,HaGV_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973710,HaGV_gp026,HaGV_gp026,-,-,-,-,envelope fusion protein,protein-coding,-,-,-,envelope fusion protein,20180816,-
489830,10973711,HaGV_gp027,HaGV_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973712,HaGV_gp028,HaGV_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973713,HaGV_gp029,HaGV_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973714,HaGV_gp030,HaGV_gp030,-,-,-,-,per os infectivity factor-3,protein-coding,-,-,-,per os infectivity factor-3,20180816,-
489830,10973715,HaGV_gp031,HaGV_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973716,HaGV_gp032,HaGV_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973717,HaGV_gp033,HaGV_gp033,-,-,-,-,late expression factor-2,protein-coding,-,-,-,late expression factor-2,20180816,-
489830,10973718,HaGV_gp034,HaGV_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973719,HaGV_gp036,HaGV_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973720,HaGV_gp035,HaGV_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973721,HaGV_gp037,HaGV_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973722,HaGV_gp038,HaGV_gp038,-,-,-,-,matrix metalloprotease,protein-coding,-,-,-,matrix metalloprotease,20180816,-
489830,10973723,HaGV_gp039,HaGV_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973724,HaGV_gp040,HaGV_gp040,-,-,-,-,p13,protein-coding,-,-,-,p13,20180816,-
489830,10973725,HaGV_gp041,HaGV_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973726,HaGV_gp042,HaGV_gp042,-,-,-,-,per os infectivity factor-2,protein-coding,-,-,-,per os infectivity factor-2,20180816,-
489830,10973727,HaGV_gp043,HaGV_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973728,HaGV_gp044,HaGV_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973729,HaGV_gp045,HaGV_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973730,HaGV_gp046,HaGV_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973731,HaGV_gp047,HaGV_gp047,-,-,-,-,viral ubiquitin,protein-coding,-,-,-,viral ubiquitin,20180816,-
489830,10973732,HaGV_gp048,HaGV_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973733,HaGV_gp049,HaGV_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973734,HaGV_gp050,HaGV_gp050,-,-,-,-,pp31,protein-coding,-,-,-,pp31,20180816,-
489830,10973735,HaGV_gp051,HaGV_gp051,-,-,-,-,late expression factor-11,protein-coding,-,-,-,late expression factor-11,20180816,-
489830,10973736,HaGV_gp052,HaGV_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973737,HaGV_gp053,HaGV_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973738,HaGV_gp054,HaGV_gp054,-,-,-,-,BRO-A,protein-coding,-,-,-,BRO-A,20180816,-
489830,10973739,HaGV_gp055,HaGV_gp055,-,-,-,-,BRO-B,protein-coding,-,-,-,BRO-B,20180816,-
489830,10973740,HaGV_gp056,HaGV_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973741,HaGV_gp057,HaGV_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973742,HaGV_gp058,HaGV_gp058,-,-,-,-,BRO-C,protein-coding,-,-,-,BRO-C,20180816,-
489830,10973743,HaGV_gp059,HaGV_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973744,HaGV_gp060,HaGV_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973745,HaGV_gp061,HaGV_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973746,HaGV_gp062,HaGV_gp062,-,-,-,-,HE65,protein-coding,-,-,-,HE65,20180816,-
489830,10973747,HaGV_gp063,HaGV_gp063,-,-,-,-,superoxide dismutase,protein-coding,-,-,-,superoxide dismutase,20180816,-
489830,10973748,HaGV_gp064,HaGV_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973749,HaGV_gp065,HaGV_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973750,HaGV_gp066,HaGV_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973751,HaGV_gp067,HaGV_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973752,HaGV_gp068,HaGV_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973753,HaGV_gp069,HaGV_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973754,HaGV_gp070,HaGV_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973755,HaGV_gp071,HaGV_gp071,-,-,-,-,BRO-D,protein-coding,-,-,-,BRO-D,20180816,-
489830,10973756,HaGV_gp072,HaGV_gp072,-,-,-,-,p74,protein-coding,-,-,-,p74,20180816,-
489830,10973757,HaGV_gp073,HaGV_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973758,HaGV_gp074,HaGV_gp074,-,-,-,-,p47,protein-coding,-,-,-,p47,20180816,-
489830,10973759,HaGV_gp075,HaGV_gp075,-,-,-,-,Rep-like protein,protein-coding,-,-,-,Rep-like protein,20180816,-
489830,10973760,HaGV_gp076,HaGV_gp076,-,-,-,-,Rep-like protein,protein-coding,-,-,-,Rep-like protein,20180816,-
489830,10973761,HaGV_gp077,HaGV_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973762,HaGV_gp078,HaGV_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973763,HaGV_gp079,HaGV_gp079,-,-,-,-,p38.7,protein-coding,-,-,-,p38.7,20180816,-
489830,10973764,HaGV_gp080,HaGV_gp080,-,-,-,-,late expression factor-1,protein-coding,-,-,-,late expression factor-1,20180816,-
489830,10973765,HaGV_gp081,HaGV_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973766,HaGV_gp082,HaGV_gp082,-,-,-,-,per os infectivity factor-1,protein-coding,-,-,-,per os infectivity factor-1,20180816,-
489830,10973767,HaGV_gp083,HaGV_gp083,-,-,-,-,fibroblast growth factor-1,protein-coding,-,-,-,fibroblast growth factor-1,20180816,-
489830,10973768,HaGV_gp084,HaGV_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973769,HaGV_gp085,HaGV_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973770,HaGV_gp086,HaGV_gp086,-,-,-,-,late expression factor-6,protein-coding,-,-,-,late expression factor-6,20180816,-
489830,10973771,HaGV_gp087,HaGV_gp087,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20180816,-
489830,10973772,HaGV_gp088,HaGV_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973773,HaGV_gp089,HaGV_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973774,HaGV_gp090,HaGV_gp090,-,-,-,-,p45,protein-coding,-,-,-,p45,20180816,-
489830,10973775,HaGV_gp091,HaGV_gp091,-,-,-,-,p12,protein-coding,-,-,-,p12,20180816,-
489830,10973776,HaGV_gp092,HaGV_gp092,-,-,-,-,p40,protein-coding,-,-,-,p40,20180816,-
489830,10973777,HaGV_gp093,HaGV_gp093,-,-,-,-,p6.9,protein-coding,-,-,-,p6.9,20180816,-
489830,10973778,HaGV_gp094,HaGV_gp094,-,-,-,-,late expression factor-5,protein-coding,-,-,-,late expression factor-5,20180816,-
489830,10973779,HaGV_gp095,HaGV_gp095,-,-,-,-,38K,protein-coding,-,-,-,38K,20180816,-
489830,10973780,HaGV_gp096,HaGV_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973781,HaGV_gp097,HaGV_gp097,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20180816,-
489830,10973782,HaGV_gp098,HaGV_gp098,-,-,-,-,occlusion-derived virus envelope protein ODV-E25,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E25,20180816,-
489830,10973783,HaGV_gp099,HaGV_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973784,HaGV_gp100,HaGV_gp100,-,-,-,-,p33,protein-coding,-,-,-,p33,20180816,-
489830,10973785,HaGV_gp101,HaGV_gp101,-,-,-,-,BRO-E,protein-coding,-,-,-,BRO-E,20180816,-
489830,10973786,HaGV_gp102,HaGV_gp102,-,-,-,-,BRO-F,protein-coding,-,-,-,BRO-F,20180816,-
489830,10973787,HaGV_gp103,HaGV_gp103,-,-,-,-,ChaB,protein-coding,-,-,-,ChaB,20180816,-
489830,10973788,HaGV_gp104,HaGV_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973789,HaGV_gp105,HaGV_gp105,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20180816,-
489830,10973790,HaGV_gp106,HaGV_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973791,HaGV_gp107,HaGV_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973792,HaGV_gp108,HaGV_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973793,HaGV_gp109,HaGV_gp109,-,-,-,-,gp37,protein-coding,-,-,-,gp37,20180816,-
489830,10973794,HaGV_gp110,HaGV_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973795,HaGV_gp111,HaGV_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973796,HaGV_gp112,HaGV_gp112,-,-,-,-,late expression factor-4,protein-coding,-,-,-,late expression factor-4,20180816,-
489830,10973797,HaGV_gp113,HaGV_gp113,-,-,-,-,vp39 major capsid protein,protein-coding,-,-,-,vp39 major capsid protein,20180816,-
489830,10973798,HaGV_gp114,HaGV_gp114,-,-,-,-,occlusion-derived virus envelope protein ODV-EC27,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-EC27,20180816,-
489830,10973799,HaGV_gp115,HaGV_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973800,HaGV_gp116,HaGV_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973801,HaGV_gp117,HaGV_gp117,-,-,-,-,BRO-G,protein-coding,-,-,-,BRO-G,20180816,-
489830,10973802,HaGV_gp118,HaGV_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973803,HaGV_gp119,HaGV_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973804,HaGV_gp120,HaGV_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973805,HaGV_gp121,HaGV_gp121,-,-,-,-,vp91 capsid protein,protein-coding,-,-,-,vp91 capsid protein,20180816,-
489830,10973806,HaGV_gp122,HaGV_gp122,-,-,-,-,telokinin-like protein-20,protein-coding,-,-,-,telokinin-like protein-20,20180816,-
489830,10973807,HaGV_gp123,HaGV_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973808,HaGV_gp124,HaGV_gp124,-,-,-,-,gp41,protein-coding,-,-,-,gp41,20180816,-
489830,10973809,HaGV_gp125,HaGV_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973810,HaGV_gp126,HaGV_gp126,-,-,-,-,very late expression factor-1,protein-coding,-,-,-,very late expression factor-1,20180816,-
489830,10973811,HaGV_gp127,HaGV_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973812,HaGV_gp128,HaGV_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973813,HaGV_gp129,HaGV_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973814,HaGV_gp130,HaGV_gp130,-,-,-,-,conotoxin-like peptide,protein-coding,-,-,-,conotoxin-like peptide,20180816,-
489830,10973815,HaGV_gp131,HaGV_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973816,HaGV_gp132,HaGV_gp132,-,-,-,-,late expression factor-7,protein-coding,-,-,-,late expression factor-7,20180816,-
489830,10973817,HaGV_gp133,HaGV_gp133,-,-,-,-,BRO-H,protein-coding,-,-,-,BRO-H,20180816,-
489830,10973818,HaGV_gp134,HaGV_gp134,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180816,-
489830,10973819,HaGV_gp135,HaGV_gp135,-,-,-,-,desmoplakin,protein-coding,-,-,-,desmoplakin,20180816,-
489830,10973820,HaGV_gp136,HaGV_gp136,-,-,-,-,late expression factor-3,protein-coding,-,-,-,late expression factor-3,20180816,-
489830,10973821,HaGV_gp137,HaGV_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973822,HaGV_gp138,HaGV_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973823,HaGV_gp139,HaGV_gp139,-,-,-,-,inhibitor of apoptosis-5,protein-coding,-,-,-,inhibitor of apoptosis-5,20180816,-
489830,10973824,HaGV_gp140,HaGV_gp140,-,-,-,-,late expression factor-9,protein-coding,-,-,-,late expression factor-9,20180816,-
489830,10973825,HaGV_gp141,HaGV_gp141,-,-,-,-,few polyhedra protein,protein-coding,-,-,-,few polyhedra protein,20180816,-
489830,10973826,HaGV_gp142,HaGV_gp142,-,-,-,-,ligase,protein-coding,-,-,-,ligase,20180816,-
489830,10973827,HaGV_gp143,HaGV_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973828,HaGV_gp144,HaGV_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973829,HaGV_gp145,HaGV_gp145,-,-,-,-,fibroblast growth factor-2,protein-coding,-,-,-,fibroblast growth factor-2,20180816,-
489830,10973830,HaGV_gp146,HaGV_gp146,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180816,-
489830,10973831,HaGV_gp147,HaGV_gp147,-,-,-,-,DNA helicase-2,protein-coding,-,-,-,DNA helicase-2,20180816,-
489830,10973832,HaGV_gp148,HaGV_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973833,HaGV_gp149,HaGV_gp149,-,-,-,-,late expression factor-8,protein-coding,-,-,-,late expression factor-8,20180816,-
489830,10973834,HaGV_gp150,HaGV_gp150,-,-,-,-,occlusion-derived virus envelope protein ODV-E66,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E66,20180816,-
489830,10973835,HaGV_gp151,HaGV_gp151,-,-,-,-,enhancin-1,protein-coding,-,-,-,enhancin-1,20180816,-
489830,10973836,HaGV_gp152,HaGV_gp152,-,-,-,-,enhancin-2,protein-coding,-,-,-,enhancin-2,20180816,-
489830,10973837,HaGV_gp153,HaGV_gp153,-,-,-,-,enhancin-3,protein-coding,-,-,-,enhancin-3,20210417,-
489830,10973838,HaGV_gp154,HaGV_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973839,HaGV_gp155,HaGV_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973840,HaGV_gp156,HaGV_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973841,HaGV_gp157,HaGV_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973842,HaGV_gp158,HaGV_gp158,-,-,-,-,BRO-I,protein-coding,-,-,-,BRO-I,20180816,-
489830,10973843,HaGV_gp159,HaGV_gp159,-,-,-,-,BRO-J,protein-coding,-,-,-,BRO-J,20180816,-
489830,10973844,HaGV_gp160,HaGV_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973845,HaGV_gp161,HaGV_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973846,HaGV_gp162,HaGV_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973847,HaGV_gp163,HaGV_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973848,HaGV_gp164,HaGV_gp164,-,-,-,-,enhancin-4,protein-coding,-,-,-,enhancin-4,20180816,-
489830,10973849,HaGV_gp165,HaGV_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973850,HaGV_gp166,HaGV_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973851,HaGV_gp167,HaGV_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973852,HaGV_gp168,HaGV_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973853,HaGV_gp169,HaGV_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973854,HaGV_gp170,HaGV_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973855,HaGV_gp171,HaGV_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973856,HaGV_gp172,HaGV_gp172,-,-,-,-,late expression factor-10,protein-coding,-,-,-,late expression factor-10,20180816,-
489830,10973857,HaGV_gp173,HaGV_gp173,-,-,-,-,vp1054 capsid protein,protein-coding,-,-,-,vp1054 capsid protein,20180816,-
489830,10973858,HaGV_gp174,HaGV_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973859,HaGV_gp175,HaGV_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973860,HaGV_gp176,HaGV_gp176,-,-,-,-,fibroblast growth factor-3,protein-coding,-,-,-,fibroblast growth factor-3,20180816,-
489830,10973861,HaGV_gp177,HaGV_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973862,HaGV_gp178,HaGV_gp178,-,-,-,-,ME53,protein-coding,-,-,-,ME53,20180816,-
489830,10973863,HaGV_gp179,HaGV_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
489830,10973864,HaGV_gp001,HaGV_gp001,-,-,-,-,granulin,protein-coding,-,-,-,granulin,20180816,-
489830,11027272,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210531,-
