#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873889,29079871,2,PBI_MAKEMAKE_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1873889,29079916,47,PBI_MAKEMAKE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079917,48,PBI_MAKEMAKE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079918,49,PBI_MAKEMAKE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079919,50,PBI_MAKEMAKE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079920,51,PBI_MAKEMAKE_51,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201221,-
1873889,29079921,52,PBI_MAKEMAKE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079922,53,PBI_MAKEMAKE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079923,54,PBI_MAKEMAKE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079924,55,PBI_MAKEMAKE_55,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1873889,29079925,56,PBI_MAKEMAKE_56,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1873889,29079926,58,PBI_MAKEMAKE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079927,59,PBI_MAKEMAKE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079928,60,PBI_MAKEMAKE_60,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1873889,29079929,61,PBI_MAKEMAKE_61,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201221,-
1873889,29079930,62,PBI_MAKEMAKE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079931,63,PBI_MAKEMAKE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079932,64,PBI_MAKEMAKE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079933,65,PBI_MAKEMAKE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079934,66,PBI_MAKEMAKE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079935,67,PBI_MAKEMAKE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079936,68,PBI_MAKEMAKE_68,-,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20201221,-
1873889,29079937,69,PBI_MAKEMAKE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079938,70,PBI_MAKEMAKE_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079939,71,PBI_MAKEMAKE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079940,72,PBI_MAKEMAKE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079941,73,PBI_MAKEMAKE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079942,74,PBI_MAKEMAKE_74,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201221,-
1873889,29079943,75,PBI_MAKEMAKE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079944,76,PBI_MAKEMAKE_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079945,77,PBI_MAKEMAKE_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079946,78,PBI_MAKEMAKE_78,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1873889,29079947,79,PBI_MAKEMAKE_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079948,80,PBI_MAKEMAKE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079949,81,PBI_MAKEMAKE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079950,82,PBI_MAKEMAKE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079951,83,PBI_MAKEMAKE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079952,84,PBI_MAKEMAKE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079953,85,PBI_MAKEMAKE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079954,86,PBI_MAKEMAKE_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079955,87,PBI_MAKEMAKE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079956,88,PBI_MAKEMAKE_88,-,-,-,-,NifU-like protein,protein-coding,-,-,-,NifU-like protein,20210424,-
1873889,29079957,89,PBI_MAKEMAKE_89,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1873889,29079958,90,PBI_MAKEMAKE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079959,91,PBI_MAKEMAKE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079960,92,PBI_MAKEMAKE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079961,93,PBI_MAKEMAKE_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079962,57,PBI_MAKEMAKE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873889,29079963,1,PBI_MAKEMAKE_1,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1873889,29140004,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
